set,english,context,afaan_oromo,alternates,reviewer,notes
phrases-01-greetings,Hello!,everyday greeting to anyone,,,,
phrases-01-greetings,Good morning.,greeting before noon,,,,
phrases-01-greetings,Good evening.,greeting at the end of the day,,,,
phrases-01-greetings,How are you?,speaking to one friend,,,,
phrases-01-greetings,"I am fine, thank you.",answering how are you,,,,
phrases-01-greetings,What is your name?,asking one child,,,,
phrases-01-greetings,My name is Caalaa.,keep the name Caalaa,,,,
phrases-01-greetings,Please.,,,,,
phrases-01-greetings,Thank you very much.,,,,,
phrases-01-greetings,"Yes, please.",,,,,
phrases-01-greetings,"No, thank you.",,,,,
phrases-01-greetings,Goodbye!,,,,,
phrases-02-family,This is my mother.,introducing someone nearby,,,,
phrases-02-family,This is my father.,introducing someone nearby,,,,
phrases-02-family,I have two sisters.,,,,,
phrases-02-family,I have one brother.,,,,,
phrases-02-family,My brother is small.,,,,,
phrases-02-family,My sister is tall.,,,,,
phrases-02-family,Where is my mother?,,,,,
phrases-02-family,My grandmother is at home.,,,,,
phrases-02-family,We are one family.,,,,,
phrases-02-family,My father is working.,,,,,
phrases-02-family,The baby is sleeping.,,,,,
phrases-02-family,I love my family.,,,,,
phrases-03-food,I want water.,a child asking a parent,,,,
phrases-03-food,I am hungry.,a child speaking about himself,,,,
phrases-03-food,I am thirsty.,,,,,
phrases-03-food,May I have milk?,,,,,
phrases-03-food,The food is good.,,,,,
phrases-03-food,I like meat.,,,,,
phrases-03-food,I do not like coffee.,,,,,
phrases-03-food,The bread is hot.,,,,,
phrases-03-food,Let us eat.,,,,,
phrases-03-food,I am eating porridge.,,,,,
phrases-03-food,The water is cold.,,,,,
phrases-03-food,I have finished eating.,,,,,
phrases-04-school,I am going to school.,a child speaking about himself,,,,
phrases-04-school,Where is my book?,looking for something,,,,
phrases-04-school,This is my teacher.,,,,,
phrases-04-school,I am reading a book.,,,,,
phrases-04-school,I am writing my name.,,,,,
phrases-04-school,I do not know.,,,,,
phrases-04-school,I know the answer.,,,,,
phrases-04-school,Please say it again.,,,,,
phrases-04-school,What does this word mean?,,,,,
phrases-04-school,The lesson is easy.,,,,,
phrases-04-school,The lesson is hard.,,,,,
phrases-04-school,I am learning Afaan Oromo.,,,,,
phrases-05-feelings,I am happy.,a child speaking about himself,,,,
phrases-05-feelings,I am tired.,a child speaking about himself,,,,
phrases-05-feelings,I am sad.,,,,,
phrases-05-feelings,I am not sick.,,,,,
phrases-05-feelings,My head hurts.,,,,,
phrases-05-feelings,My stomach hurts.,,,,,
phrases-05-feelings,I am cold.,,,,,
phrases-05-feelings,I am hot.,,,,,
phrases-05-feelings,Are you happy?,,,,,
phrases-05-feelings,Do not be afraid.,,,,,
phrases-05-feelings,I am sorry.,,,,,
phrases-05-feelings,I feel better now.,,,,,
phrases-06-play,Let us play.,speaking to one friend,,,,
phrases-06-play,Come here.,speaking to one friend,,,,
phrases-06-play,Wait for me.,,,,,
phrases-06-play,Look at the dog.,,,,,
phrases-06-play,The cat is on the chair.,,,,,
phrases-06-play,The bird is flying.,,,,,
phrases-06-play,Run fast!,,,,,
phrases-06-play,I am tired of running.,,,,,
phrases-06-play,That is my ball.,,,,,
phrases-06-play,"Give me the ball, please.",,,,,
phrases-06-play,Let us go home.,,,,,
phrases-06-play,It is dark now.,,,,,
phrases-07-home,I am at home.,a child speaking about himself,,,,
phrases-07-home,"Open the door, please.",speaking to one person,,,,
phrases-07-home,Close the window.,,,,,
phrases-07-home,Where is the water?,,,,,
phrases-07-home,The house is clean.,,,,,
phrases-07-home,I am washing my hands.,,,,,
phrases-07-home,I am going to sleep.,,,,,
phrases-07-home,Wake up!,,,,,
phrases-07-home,"Help me, please.",,,,,
phrases-07-home,Put it on the table.,,,,,
phrases-07-home,The room is small.,,,,,
phrases-07-home,I am sitting on the floor.,,,,,
phrases-08-questions,What is this?,pointing at something nearby,,,,
phrases-08-questions,Who is that?,asking about a person,,,,
phrases-08-questions,Where are you going?,,,,,
phrases-08-questions,When are we going?,,,,,
phrases-08-questions,Why are you crying?,,,,,
phrases-08-questions,How much is it?,,,,,
phrases-08-questions,How many children are there?,,,,,
phrases-08-questions,Whose book is this?,,,,,
phrases-08-questions,Can you help me?,,,,,
phrases-08-questions,Do you speak English?,,,,,
phrases-08-questions,Do you understand me?,,,,,
phrases-08-questions,Is this correct?,,,,,
phrases-09-market,I want one banana.,buying at a market,,,,
phrases-09-market,I want three eggs.,buying at a market,,,,
phrases-09-market,How much is the bread?,,,,,
phrases-09-market,That is too expensive.,,,,,
phrases-09-market,It is cheap.,,,,,
phrases-09-market,I have no money.,,,,,
phrases-09-market,"Give me two, please.",,,,,
phrases-09-market,I am going to the market.,,,,,
phrases-09-market,The market is far.,,,,,
phrases-09-market,The shop is near.,,,,,
phrases-09-market,"Thank you, that is all.",,,,,
phrases-09-market,Here is your money.,,,,,
phrases-10-day,Today is Monday.,keep the day name in Afaan Oromo,,,,
phrases-10-day,I get up in the morning.,a child describing a habit,,,,
phrases-10-day,I am going now.,,,,,
phrases-10-day,I will come tomorrow.,,,,,
phrases-10-day,We went yesterday.,,,,,
phrases-10-day,It is raining today.,,,,,
phrases-10-day,The sun is hot today.,,,,,
phrases-10-day,I am busy now.,,,,,
phrases-10-day,Let us go quickly.,,,,,
phrases-10-day,See you tomorrow.,,,,,
phrases-10-day,Good night.,,,,,
phrases-10-day,Sleep well.,,,,,
