unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-01-family,mother,noun,ayyoo,haadha,/ɐjːóː/,yes,high,see 'aayyoo',reviewed,,
unit-01-family,father,noun,abbaa,aabba | habbaayyoo | aabbaabba | abaabayyuu,/ɐbːɑ́ː/,yes,medium,father,,,
unit-01-family,child,noun,daa'im,dhala | saldheessa | mucaa | mucayyoo,/ˈdɑːʔɪm/,yes,medium,child,,,
unit-01-family,baby,noun,daa'ima,taaboree | amnuu | cittaa | arrittii,/ˈdɑːʔɪmɐ/,yes,medium,"baby, infant",,,
unit-01-family,brother,noun,obboleessa,koodee | goofaa | haadhoo | mandicha,/ɔbːɔleːsːɐ/,no,medium,brother,,,
unit-01-family,sister,noun,obboleettii,koodee | obboo | beembeetoo | bembeetoo,/ɔbːɔleːtːíː/,no,medium,sister,,,
unit-01-family,son,noun,ilma,balcha | sooree | abbaa gurbaa | ilma Kiristinnaa,,no,high,son,,,
unit-01-family,daughter,noun,intala,intalattii | jaartii-ilmaa | sootala | abbaa intalaa,,no,high,daughter,,,
unit-01-family,grandmother,noun,akkoo,,/ɐkːóː/,yes,high,see 'akkawoo',reviewed,,
unit-01-family,grandfather,noun,akaakayyuu,abaabiyyoo,/ɐkɑːkɐjːúː/,yes,high,grandfather,,,
unit-01-family,family,noun,maatii,abbaadhoo | haskaa | hortee | warra,,no,medium,family,,,
unit-01-family,boy,noun,gurbaa,,/ˈɡʊrbɑ́ː/,no,high,"you!, son!",reviewed,,
unit-01-family,girl,noun,dubara,intalattii | aseennaa | dumbushee | habalee,/ˈdʊbɐrɐ/,yes,high,girl,,,
unit-01-family,man,noun,dhiira,namittii | dhiirti | ja'uu | aseennaa,/ˈᶑiːrɐ/,yes,medium,man,,,
unit-01-family,woman,noun,dubarti,dubartii | gannee | hanfalaa | nadheen,/ˈdʊbɐrtɪ/,yes,medium,woman,,,
unit-01-family,friend,noun,daraboo,jaaltuu | michuu | saahiba | addooyyee,/ˈdɐrɐbóː/,yes,medium,friend,,,
unit-01-family,name,noun,maqaa,adulaala | adulee | amallaqaa | ameeraa,/mɐˈkʼɑ́ː/,no,high,name,,,
unit-01-family,home,noun,mana,,,no,high,house,reviewed,,
unit-01-family,husband,noun,dhirsa,abbaa warraa | abbaa manaa | goofaa | qaraa,/ˈᶑɪrsɐ/,yes,high,husband,,,
unit-01-family,wife,noun,jaartii,niitii | niitiifuudhuu | haadha manaa | obbolee,/ˈd͡ʒɑːrtíː/,no,medium,old (fem.),,,
unit-01-family,uncle,noun,eessuma,wasiila | abbuyyaa | aabboo xiqqaa | abbo guddoo,/eːsːʊmɐ/,yes,medium,uncle (maternal),,,
unit-01-family,aunt,noun,indoo,indoodoo | indootiyyaa | indootoo | adaadaa,/ɪndóː/,no,medium,"aunt, sister of one's mother",,,
unit-01-family,people,noun,nama,namoota | ummata | warra | boordoo,/ˈnɐ́mɐ/,no,medium,people,,,
unit-01-family,neighbor,noun,ollummaa,,/ɔlːʊmːɑ́ː/,no,low,neighbor hood,,,
unit-01-family,guest,noun,keessummaa,askutii,,no,high,guest,,,
