unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-02-food-and-drink,water,noun,bishaan,bisaani | dhimphuu | bacaqqee | baccee,/bɪˈʃɑ́ːn/,yes,medium,water,,,
unit-02-food-and-drink,milk,noun,annan,aannan | elmuu | adii sa'aa | helemachuu,/ɐnːɐn/,yes,medium,milk,,,
unit-02-food-and-drink,coffee,noun,buna,qaawwa | jalasoqa | aboolii | baaloo,/ˈbʊnɐ/,yes,medium,coffee,,,
unit-02-food-and-drink,tea,noun,baalashaay,baaloo | makirajii | makrajii | masalee,/ˈbɑːlɐʃɑːj/,yes,low,tea leaf,,,
unit-02-food-and-drink,bread,noun,abshiloo,amashoommoo | bixxibixxii | bixxiluu | caabitaa,/ɐbʃɪlóː/,yes,low,tick bread used to make local beer,,,
unit-02-food-and-drink,meat,noun,foon,addamaree | baktii | bocola | busuqqee,/ˈfoːn/,yes,high,meat,,,
unit-02-food-and-drink,egg,noun,bupha,kallee,,no,high,egg,reviewed,,
unit-02-food-and-drink,salt,noun,ashaboo,soogidda | amoolee | bassoo | basseessuu,/ɐʃɐbóː/,no,medium,salt,,,
unit-02-food-and-drink,sugar,noun,shukkaaraa,sukkaara | abraasaa | hagadaa | hoomisha shukkaaraa,,no,medium,sugar,,,
unit-02-food-and-drink,butter,noun,dhadhaa,dhalee | addaannoo | addaanuu | addanoo,/ˈᶑɐᶑɑ́ː/,yes,medium,butter,,,
unit-02-food-and-drink,honey,noun,damma,arraabsisa | daamuu | fasasee | jiisaa,/ˈdɐmːɐ/,yes,high,honey,,,
unit-02-food-and-drink,food,noun,nyaata,,,no,high,food,reviewed,,
unit-02-food-and-drink,fruit,noun,fuduraa,ijoo | arraddoo | ashooka | baddeessa,/ˈfʊdʊrɑ́ː/,yes,high,fruit,,,
unit-02-food-and-drink,banana,noun,muuzii,hoofichoo | huuxoo | ofichoo | oofichoo,,no,high,banana,,,
unit-02-food-and-drink,orange,noun,birtukaanii,burtukaana | boora,/ˈbɪrtʊkɑːníː/,yes,medium,orange (fruit),,,
unit-02-food-and-drink,onion,noun,alaangallee,shunkurtaa | qullubbii diimaa,/ɐlɑːnɡɐlːéː/,yes,low,kind of onion,,,
unit-02-food-and-drink,potato,noun,dinnicha,ifaatee | mosee | shoonee | shonee,/ˈdɪnːɪt͡ʃɐ/,yes,medium,potato (Coleus edulis),,,
unit-02-food-and-drink,maize,noun,boqqolloo,ansaaroo | algee | jalaharaa | oromee,/ˈbɔkʼːɔlːóː/,yes,high,"corn, maize",,,
unit-02-food-and-drink,barley,noun,garbuu,bassoo | buttujjii | samareeta | toloola,,no,high,barley,,,
unit-02-food-and-drink,porridge,noun,marqa,,,no,high,porridge,reviewed,,
unit-02-food-and-drink,cup,noun,kokii,kubbaayyaa | sinii | xoofoo | abooree,/ˈkɔkíː/,no,medium,cup,,,
unit-02-food-and-drink,plate,noun,caabii,asaafaa | shaanii | arkee | quuraa,/ˈt͡ʃʼɑːbíː/,yes,medium,plate,,,
unit-02-food-and-drink,spoon,noun,fallaana,fal'aana | keenxoo,/ˈfɐlːɑːnɐ/,yes,medium,spoon,,,
unit-02-food-and-drink,eat,verb,nyaachuu,raamuu | nyaatamaa | anfiriiruu | cafaquu,,no,medium,to eat,,,
unit-02-food-and-drink,drink,verb,dhuguu,dhugaatii | dhugdoo | obaafachuu | obaasisuu,/ˈᶑʊɡúː/,yes,high,to drink,,,
