unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-03-animals,dog,noun,buchillaa,foroca | forocuu | duchiifamuu,/ˈbʊt͡ʃɪlːɑ́ː/,yes,low,pup or puppy i.e. young dog,,,
unit-03-animals,cat,noun,adurree,bashoo | leessuu | agala | deeroo,/ɐdʊrːéː/,yes,medium,cat,,,
unit-03-animals,cow,noun,saawwa,sawwa | ameessa | dhaltii | elmaa,,no,medium,cow,,,
unit-03-animals,ox,noun,sangaa,qotiyyoo | haraashi | carii | dilbeetumma,/sɐnɡɑː/,no,medium,ox,,,
unit-03-animals,goat,noun,re'ee,goorana | kal'ee | hobobsa | karrooyyee,,no,medium,goat,,,
unit-03-animals,sheep,noun,bidoo,hoolee | hoolaa | busaayee | addamaree,/ˈbɪdóː/,yes,medium,sheep,,,
unit-03-animals,horse,noun,farda,lammacha | beennacha | cidhoo | bulloo,/ˈfɐ́rdɐ/,yes,high,horse,,,
unit-03-animals,donkey,noun,waaluu,harree | lammacha | bukurattii | bukurii,/ˈwɑːlúː/,no,medium,donkey (male),,,
unit-03-animals,camel,noun,gaala,gurboo | orgee,/ˈɡɑ́ːlɐ/,yes,high,camel,,,
unit-03-animals,chicken,noun,handaaqqoo,hindaaqqoo | indaanqoo | cuucii | handaaqqoo sookiyyoo,/ˈhɐndɑːkʼːóː/,no,medium,hen/chicken/cock,,,
unit-03-animals,bird,noun,allaattii,simbirroo | shimbiro | simbira | abarjulaa,/ɐlːɑːtːíː/,yes,medium,bird,,,
unit-03-animals,fish,noun,kalluuna,qurxummii | kiilobuu | waantoo | giilii,/ˈkɐlːuːnɐ/,no,medium,fish,,,
unit-03-animals,lion,noun,leenca,anfarroo | kublee | kulbee | saafela,/ˈleːnt͡ʃʼɐ/,no,high,lion,,,
unit-03-animals,elephant,noun,arba,humbaawoo | roodisa | huumbii | kunbii,/ɐrbɐ/,yes,high,elephant,,,
unit-03-animals,monkey,noun,anfarroo,buukumsa | jaldeessa-kootama | qurii | weennii,/ɐnfɐrːóː/,yes,low,mane of lion or monkey,,,
unit-03-animals,snake,noun,bofa,darabii | magarsuu | magariisuu | mar'ataa,/ˈbɔ́fɐ/,yes,high,snake,,,
unit-03-animals,mouse,noun,hantuuttee,fuliyoo | abbaa simboo | focii,/ˈhɐntuːtːéː/,no,medium,muscle,,,
unit-03-animals,hyena,noun,waraabeessa,qaxxaamuraa | harrittaa | yuusisuu | yuusaa,/ˈwɐrɑːbeːsːɐ/,no,medium,hyena,,,
unit-03-animals,leopard,noun,qeeransa,adokol | harqa | carquu | cirriqquu,/ˈkʼeːrɐnsɐ/,no,high,leopard,,,
unit-03-animals,buffalo,noun,yadii,gafarsa | gafaarsa | gurraalee | amartoo,/ˈjɐdíː/,no,medium,buffalo(fem),,,
unit-03-animals,bee,noun,kannisa,kaanniissa | gaagura' | jiisaa | sonii,/ˈkɐnːɪsɐ/,no,medium,bee,,,
unit-03-animals,fly,noun,tisiisa,barrisuu | balali'uu | ooffuu | qarcaasaa,,no,medium,fly (insect),,,
unit-03-animals,hen,noun,lukkuu,handaaqqoo | hindaaqqoo | indaanqoo | haadha lukkuu,,no,medium,hen,,,
unit-03-animals,calf,noun,sarbaa,jaabi | dhalattuu | jabbii | waatii,/ˈsɐrbɑ́ː/,no,medium,calf,,,
unit-03-animals,animal,noun,neefkaa,cibra | uusoo | caxoo | afuuffee,/ˈneːfkɑ́ː/,no,medium,animal,,,
