unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-04-numbers,one,num,tokko,aaragalfataa | adamsisaa | addeessaa | alagaa,/ˈtɔkːɔ/,yes,high,one,,,
unit-04-numbers,two,num,lama,walaallammii | lachuu | lolsiisuu | qarqabuu,/ˈlɐmɐ/,yes,high,two,,,
unit-04-numbers,three,num,sadii,sadeen | erbaa | fuulsadee | duququla,/ˈsɐdíː/,yes,high,three,,,
unit-04-numbers,four,num,afur,yagutoo,/ˈʔɐ́fʊr/,yes,high,four,,,
unit-04-numbers,five,num,shan,kiraar | chinkoo | duroo | meezoo,/ˈʃɐ́n/,yes,high,five,,,
unit-04-numbers,six,num,ja'a,jaha | jahii | jayii,,yes,medium,six,,,
unit-04-numbers,seven,num,torba,,/ˈtɔ́rbɐ/,yes,high,seven,,,
unit-04-numbers,eight,num,saddeet,zoodiyaak,/sɐdˈdéːt/,no,high,eight,,,
unit-04-numbers,nine,num,sagal,,/sɐˈɡɐ́l/,yes,high,nine,,,
unit-04-numbers,ten,num,kudhan,boondii | dumbulloo | saantima kudhan,/kʊˈᶑɐ́n/,no,high,ten,,,
unit-04-numbers,eleven,num,kudha tokko,,/ˈkʊᶑɐ tɔkːɔ/,no,high,eleven,,,
unit-04-numbers,twelve,num,kudha lama,saddeeqa,/ˈkʊᶑɐ lɐmɐ/,no,high,twelve,,,
unit-04-numbers,twenty,num,digdama,,,no,high,twenty,,,
unit-04-numbers,thirty,num,sodoma,soddoma,,no,medium,thirty,,,
unit-04-numbers,fifty,num,shantama,alaada,,yes,high,fifty,,,
unit-04-numbers,hundred,num,dhibba,daawullaa,/ˈᶑɪbːɐ/,yes,high,hundred,,,
unit-04-numbers,thousand,num,kuma,kumsaa,,no,high,thousand,,,
unit-04-numbers,first,num,aboolii,ashuuqqii | fugguu | dursiisuu | dursuu,/ɐboːlíː/,yes,low,first round boiled coffee,,,
unit-04-numbers,second,num,abbalamii,cichaa | jechisiifachuu | lammeefachiisuu | lammeeffachuu,/ɐbːɐlɐmíː/,yes,low,the second owner of wealth,,,
unit-04-numbers,third,num,hiribbii,siisoo,/ˈhɪrɪbːíː/,no,low,tend somebody's cattle to get half or onc third of th breed,,,
unit-04-numbers,number,noun,lakkoofsa,buqqisii | mangoo | lakkoofsa tartibaa,/ˈlɐkːoːfsɐ/,no,high,number,,,
unit-04-numbers,half,noun,cinaacha,walakkaa | alaada | hiribbii | abbaa cinaachaa,/ˈt͡ʃʼɪnɑːt͡ʃɐ/,yes,medium,ribs,,,
unit-04-numbers,many,adj,galaana,badaa | hoomaa | disaasaa | ciccituu,/ˈɡɐlɑːnɐ/,no,medium,many/much,,,
unit-04-numbers,few,adj,xiqqishoo,merqa | dudubbisaa | shikifii | shillimii,/ˈtʼɪkʼːɪʃóː/,no,medium,a few,,,
unit-04-numbers,count,verb,lakkaa'uu,lakkaawwachuu | lakkoofsisuu | oflakka'uu | herreegachuu,,no,high,to count,,,
