unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-05-colours-and-sizes,red,adj,diimaa,dimbiixxii | biluu | jorroo | algaasee,/ˈdiːmɑ́ː/,yes,high,red,,,
unit-05-colours-and-sizes,white,adj,adii,adanii | addaata | akkabaddoo | amaamaa,/ɐdíː/,yes,high,white,,,
unit-05-colours-and-sizes,black,adj,gurraacha,gugura | asaabala | gurraalee | dirbisaa,,no,medium,black,,,
unit-05-colours-and-sizes,green,adj,dheedhii,magarisa | magariisa | haffe | aanannoo,/ˈᶑeːᶑíː/,yes,medium,raw (food),,,
unit-05-colours-and-sizes,yellow,adj,kelloo,keelloo | bororoo | adaa | bulloo,,no,high,"yellow, misspelling of keelloo",,,
unit-05-colours-and-sizes,blue,adj,cuquliisa,dooqee | cuquliisa | buulloo,/ˈt͡ʃʼʊkʼʊliːsɐ/,yes,high,blue,,,
unit-05-colours-and-sizes,brown,adj,daammii,magaala | daabii | adaa | dummunyii,/ˈdɑːmːíː/,yes,high,brown,,,
unit-05-colours-and-sizes,grey,adj,daalacha,odolcha | arraayuu | bullaa | boolee,/ˈdɑːlɐt͡ʃɐ/,yes,high,gray,,,
unit-05-colours-and-sizes,big,adj,guddaa,alabicha | gidaaduu | jajjabaa | bokkolluu,/ˈɡʊdːɑ́ː/,no,high,big,,,
unit-05-colours-and-sizes,small,adj,dikkoo,canuu | yaraa | beeddee | faturaa,/ˈdɪkːóː/,yes,medium,"small, some, little",,,
unit-05-colours-and-sizes,long,adj,dheeraa,hordaa | aliiwaayaa | arrabiiyyee | babal'ii,,no,high,long,,,
unit-05-colours-and-sizes,short,adj,gabaabaa,dekkoo | ankaaksuu | hankaakaa | murqicha,,no,medium,short,,,
unit-05-colours-and-sizes,tall,adj,sooyyama,jabaachuu | gaaltama | alalaa | dheerachuu,/ˈsoːjːɐmɐ/,no,medium,"a tall, slender plant with tubular",,,
unit-05-colours-and-sizes,wide,adj,boochoo,mandiidaa | ruuda | babal'ii | basanqalaa,/ˈboːt͡ʃóː/,yes,high,Wide,,,
unit-05-colours-and-sizes,narrow,adj,dhiphoo,daandii | dhula | fucucii | dhiphisiisuu,,no,medium,"narrow, tight",,,
unit-05-colours-and-sizes,heavy,adj,ulfaataa,jorroo | dirsaa | eeluu | jirkaa,,no,high,heavy,,,
unit-05-colours-and-sizes,light,adj,ifaa,ibsaa | ifee | iftuu | balaqii,/ɪfɑ́ː/,no,medium,light,,,
unit-05-colours-and-sizes,new,adj,haaraa,boonqoo | elellee | damboobuu | handhuuruu,/hɑːrɑː/,no,high,new,,,
unit-05-colours-and-sizes,old,adj,moofaa,jaartii | raagaa | boordoo | dullum,,no,medium,old,,,
unit-05-colours-and-sizes,hot,adj,oo'aa,bulluquu | baktii | baqqoo | barbaree,/oːʔɑ́ː/,no,medium,hot; wam.,,,
unit-05-colours-and-sizes,cold,adj,qorraa,qabbanaayaa | dilalla'aa | dhaamocha | qorra,/ˈkʼɔrːɑ́ː/,no,medium,cold,,,
unit-05-colours-and-sizes,clean,adj,haruu,qulleessuu | haxaawuu | foksuu | haqsiisuu,,no,medium,to clean,,,
unit-05-colours-and-sizes,dirty,adj,boosaa,dhiqaa | booxxessuu | koseessuu | qamaaca'uu,/ˈboːsɑ́ː/,yes,high,"dirty, slovenly",,,
unit-05-colours-and-sizes,colour,noun,bifa,halluu | buulloo | qalama | halloomsuu,/ˈbɪfɐ/,yes,medium,colour,,,
unit-05-colours-and-sizes,size,noun,hammamaa,afoollee | bixxiluu | bixxilachiisuu | lakka'achuu,,no,high,size,,,
