unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-06-feelings-and-doing,happy,adj,gammachiisuu,gammaduu,/ˈɡɐmːɐt͡ʃiːsúː/,no,low,make some body happy,,,
unit-06-feelings-and-doing,sad,adj,gom'uu,goommuu,/ˈɡɔmʔúː/,no,low,"mourned, be depressed pensive or sad",,,
unit-06-feelings-and-doing,angry,adj,dheekkamuu,aarsuu | heeluu | gubachuu | gubuu,/ˈᶑeːkːɐmúː/,yes,high,"to scold, rebuke, angry",,,
unit-06-feelings-and-doing,tired,adj,dadhabuu,labbeessuu,/ˈdɐᶑɐbúː/,yes,low,"tire, toil be weak ===Verb===",,,
unit-06-feelings-and-doing,hungry,adj,xannisuu,beela'uu | beelessuu | qoonqa'uu | soomayyuu,/ˈtʼɐnːɪsúː/,no,high,"to hungry, to be fanmine stricken",,,
unit-06-feelings-and-doing,thirsty,adj,dhabsuu,dheebochuu,/ˈᶑɐbsúː/,yes,high,thirsty,,,
unit-06-feelings-and-doing,sick,adj,alaan'aluu,kinoofuu | wal'aansa | dhibama | balaqqamsiisuu,/ɐlɑːnʔɐlúː/,yes,high,"cry, esp. when they feel pain, sick (eg. babies)",,,
unit-06-feelings-and-doing,afraid,adj,bacachuu,,/ˈbɐt͡ʃʼɐt͡ʃúː/,yes,low,be afraid,,,
unit-06-feelings-and-doing,good,adj,kiilolee,dabaqqaa | aagimuu | cala'uu | aagituu,/ˈkiːlɔléː/,no,low,clear and good voice,,,
unit-06-feelings-and-doing,bad,adj,badaa,buqa | ciinca'aa | curaa | dhangaggeessaa,,no,high,"bad, evil, wicked",,,
unit-06-feelings-and-doing,play,verb,dhilliquu,taphachiisuu | taphachuu | galagaltoo | raambaa,/ˈᶑɪlːɪkʼúː/,yes,low,play the drum,,,
unit-06-feelings-and-doing,sleep,verb,ciisuu,muguu | muusahuu | raffu | hirriiba,/ˈt͡ʃʼiːsúː/,yes,medium,to sleep,,,
unit-06-feelings-and-doing,run,verb,fiiguu,arreeduu | fiffiiguu | harreeduu | kaachuu,/ˈfiːɡúː/,yes,medium,to run,,,
unit-06-feelings-and-doing,walk,verb,adeemuu,billisuu | deemsisuu | jaammmisuu | gamaluu,/ɐdeːmúː/,yes,high,to walk,,,
unit-06-feelings-and-doing,sit,verb,taa'uu,ammachiisuu | ammachuu | bashaaduu | gaditaa'uu,,no,high,to sit,,,
unit-06-feelings-and-doing,stand,verb,eejjennoo,dhaabbii | eejjennaa | ejjennaa | habalaka,/eːd͡ʒːɛnːóː/,yes,medium,stand,,,
unit-06-feelings-and-doing,come,verb,dhufuu,kottu | cinaa'uu | daandessuu | daaruu,/ˈᶑʊfúː/,yes,medium,to come,,,
unit-06-feelings-and-doing,go,verb,deemuu,dhaquu | lixuu | bahuu | cala'uu,/ˈdeːmúː/,yes,medium,to go,,,
unit-06-feelings-and-doing,speak,verb,dubbachuu,baanuu | dubbisiisuu | mammaaksisuu | minaaguu,/ˈdʊbːɐt͡ʃúː/,yes,medium,to speak,,,
unit-06-feelings-and-doing,hear,verb,dhaga'uu,dhageessisuu | gurraqeensuu,/ˈᶑɐɡɐʔúː/,yes,high,to hear,,,
unit-06-feelings-and-doing,see,verb,arguu,arkuu | ilaaluu | laaluu | addeeysuu,/ɐrɡúː/,yes,medium,to see,,,
unit-06-feelings-and-doing,read,verb,dubbisuu,qara'uu | dubbifamuu | dubbisiisuu | seecca'uu,/ˈdʊbːɪsúː/,yes,medium,to greet,,,
unit-06-feelings-and-doing,write,verb,barreessuu,katabuu | asoosuu | barreessifachuu | barreessisuu,/ˈbɐrːeːsːúː/,yes,medium,to write,,,
unit-06-feelings-and-doing,laugh,verb,kokkolfuu,qasaasuu | kolfuu | kofalchiisuu | kolfisiisuu,/ˈkɔkːɔlfúː/,no,medium,to laugh,,,
unit-06-feelings-and-doing,cry,verb,alaan'aluu,watwaachuu | iyyaa | carquu | cirriqquu,/ɐlɑːnʔɐlúː/,yes,medium,"cry, esp. when they feel pain, sick (eg. babies)",,,
