unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-07-body,head,noun,mataa,durayyeessa | abbaa manaa | abrii | agibaar,/mɐtɑː/,no,medium,head,,,
unit-07-body,hair,noun,rifeensa,dabbasaa | balaalii | cadheedhee | cimama,,no,medium,hair (on head),,,
unit-07-body,eye,noun,ija,agartuu | dhanfoora | dunuunfannaa | amajaajii,/ʔɪd͡ʒɐ/,no,high,eye,,,
unit-07-body,ear,noun,dhageettii,gurra | balaqa | guurii | dhagahuu,/ˈᶑɐɡeːtːíː/,yes,medium,ear,,,
unit-07-body,nose,noun,funyaan,funuuna | funuunsuu | funuunuu | furribaafachuu,/fʊɲːɑːn/,yes,high,nose,,,
unit-07-body,mouth,noun,afaan,ciffata | irgoo | lulluuqqaa | handartaa,/ɐfɑːn/,yes,high,mouth,,,
unit-07-body,tooth,noun,ilkee,ilkaan | aadigaa | andilkaa | shuwaaka,/ʔɪl.keː/,no,medium,tooth,,,
unit-07-body,tongue,noun,arraba,arrabmurii,/ɐrːɐbɐ/,yes,high,tongue,,,
unit-07-body,lip,noun,hidhii,buuyyuu | hamdoo | dura dhugduu | hidhii gubbaa,/ˈhɪᶑíː/,no,high,lip,,,
unit-07-body,neck,noun,moqoo,morgoo | morma | dannoo | boquu,/ˈmɔkʼóː/,no,medium,neck,,,
unit-07-body,shoulder,noun,gateetti,qoyiirara | gatiittii | ceekuu | da'ifoo,/ˈɡɐteːtːɪ/,no,medium,shoulder,,,
unit-07-body,arm,noun,dhundhuma,irree | hidhachiisuu | dhundhumuu,/ˈᶑʊnᶑʊmɐ/,yes,medium,arm,,,
unit-07-body,hand,noun,harka,ansoosillaa | ejjetaa | habalaa | habansa,,no,high,hand,,,
unit-07-body,finger,noun,quba,abbuxiqqoo | arrabsaa | daagujjaa | elemoo,,no,high,finger,,,
unit-07-body,nail,noun,bismaara,mismaara | morodee,/ˈbɪsmɑːrɐ/,yes,medium,nail,,,
unit-07-body,chest,noun,laphee,handaraafa,/ˈlɐpʼéː/,no,high,"chest, breast",,,
unit-07-body,heart,noun,onnee,laphee | honnee | gaggabsaa | singigeessuu,/ɔnːéː/,no,medium,heart,,,
unit-07-body,back,noun,dugda,anqalbaa | dudduuba | duuboo | erkoo,/ˈdʊɡdɐ/,yes,high,back,,,
unit-07-body,stomach,noun,garaacha,garaa | bulgasuu | halteeta | qochoma,,no,medium,stomach,,,
unit-07-body,belly,noun,borcii,macoo | garaa | huffoo | xerrebbee,/ˈbɔrt͡ʃʼíː/,yes,high,belly,,,
unit-07-body,leg,noun,luka,dachaafattuu | diriirfannaa | cabsoo | gambaallee,,no,medium,leg,,,
unit-07-body,knee,noun,jilba,gambaallee | many ee,,no,high,knee,,,
unit-07-body,foot,noun,kottee,miilla | ansoosillaa | dukkaa | faanajala,/ˈkɔtːéː/,no,medium,"foot print, trace, trail track hoof",,,
unit-07-body,toe,noun,quba miillaa,,,no,high,toe,,,
unit-07-body,skin,noun,googa,gogaa | condorroo | baarilee | injicha,,no,medium,skin,,,
