unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-08-health,illness,noun,dhukkuba,libalibii | wayyaa'uu,/ˈᶑʊkːʊbɐ/,yes,medium,"disease, illness",,,
unit-08-health,pain,noun,aʼa,ibrikuu | laalata | xaaxaatee | aada,/ɐʼɐ/,yes,low,painful voice of sharp pain.,,,
unit-08-health,fever,noun,laydaa,qandhoo | lagdaa | gubaa | ho'a,/ˈlɐjdɑ́ː/,no,medium,fever,,,
unit-08-health,cough,noun,ukaa,qufaa | qusa'uu | ukamuu | qufa'uu,/ʊkɑ́ː/,no,medium,cough,,,
unit-08-health,wound,noun,madaa,qonyonyaa | roojii | kulkula | taaffee,,no,high,"wound, injury",,,
unit-08-health,medicine,noun,daawwaa,qoricha | aanquu | alteeta | arraddoo,/ˈdɑːwːɑ́ː/,yes,high,medicine,,,
unit-08-health,doctor,noun,ogeessa fayyaa,abbaa qorichaa | haakimii | hakimii | hakiimii,/ɔɡeːsːɐ fɐjːɑ́ː/,no,high,doctor,,,
unit-08-health,hospital,noun,hospítaala,mana yaalaa,/ˈhɔspítɑːlɐ/,no,high,hospital,,,
unit-08-health,nurse,noun,dhukkubsachiisuu,sooruu | yaaluu,/ˈᶑʊkːʊbsɐt͡ʃiːsúː/,yes,high,nurse,,,
unit-08-health,blood,noun,dhiiga,aammoo | aantii | alagaa | dhalataa,/ˈᶑiːɡɐ/,yes,high,blood,,,
unit-08-health,health,noun,fayyaa,dhoramuu,/ˈfɐjːɑ́ː/,yes,high,health,,,
unit-08-health,sneeze,noun,axxissoo,axiffachuu | haxxiffachuu | axxififachiisuu | haxxiffachiisuu,/ɐtʼːɪsːóː/,yes,high,sneeze,,,
unit-08-health,headache,noun,mataa bowwuu,bowwaafachuu,,no,high,headache,,,
unit-08-health,thirst,noun,dheebuu,,/ˈᶑeːbúː/,yes,high,thirst,,,
unit-08-health,hunger,noun,doromii,duullii | beela,/ˈdɔrɔmíː/,yes,medium,hunger,,,
unit-08-health,dream,noun,abjuu,abjoochuu | manaamuu | abjuu laaluu | abjuu gaarii,/ɐbd͡ʒúː/,no,medium,dream,,,
unit-08-health,scar,noun,lamagii,birii,/ˈlɐmɐɡíː/,no,high,scar,,,
unit-08-health,sickness,noun,dandaa,olguura | maansaa | lollojji,/ˈdɐndɑ́ː/,yes,low,sleeping sickness,,,
unit-08-health,cure,noun,fayyisuu,dhunsuu | faduu | deeffachiisuu | dhunsiisuu,/ˈfɐjːɪsúː/,yes,medium,to cure,,,
unit-08-health,vomit,noun,diddiga,hoqqisa | balaqqama | hooqqisuu | hooqqisiisuu,/ˈdɪdːɪɡɐ/,yes,medium,vomit,,,
unit-08-health,injury,noun,madaa,saffaatoo,,no,high,"wound, injury",,,
unit-08-health,swelling,noun,dhiitoo,mashaa | dhiita | orbobbaa'uu | wassee,/ˈᶑiːtóː/,yes,medium,swelling,,,
unit-08-health,itch,noun,cittoo,ctoruu | biichee | hooqaa | cittaawuu,/ˈt͡ʃʼɪtːóː/,yes,high,itch,,,
unit-08-health,death,noun,du'a,cirifannoo | hobbaafannaa | oolchuu | ajala,/ˈdʊʔɐ/,yes,medium,death,,,
unit-08-health,life,noun,dhakkee,jiruu | umrii | ruhii | warra,/ˈᶑɐkːéː/,yes,medium,life,,,
