unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-09-clothes,clothes,noun,uffannaa,uffata | daara | azaaya | balasee,/ʊfːɐnːɑ́ː/,no,medium,clothes,,,
unit-09-clothes,shirt,noun,ubaara,kittaa | shamizii | biddiqqoo | dibbiqqoo,/ʊbɑːrɐ/,no,medium,shirt,,,
unit-09-clothes,trousers,noun,surree,bolaalee | kofoo,,no,high,"pants, trousers",,,
unit-09-clothes,dress,noun,lamii,arrabiiyyee | dirbadiri | dungusee | fittaalee,/ˈlɐmíː/,no,high,dress,,,
unit-09-clothes,skirt,noun,bongoo,kurtaa | qexxaa | hamfala | gembisoo,/ˈbɔnɡóː/,yes,medium,skirt,,,
unit-09-clothes,shoe,noun,kophee,koongoo | liistiroo,,no,high,shoe,,,
unit-09-clothes,hat,noun,gonfoo,baarmexaa | qoobii | amaamaa | kalawaa,/ˈɡɔnfóː/,no,medium,hat,,,
unit-09-clothes,cap,noun,gooffee,kuffiyyaa | mafee | mallayyoo | qoobii,/ˈɡoːfːéː/,no,medium,cap,,,
unit-09-clothes,belt,noun,dhukoo,qabattoo | saqqii | waraansillee | gurda,/ˈᶑʊkóː/,yes,medium,belt,,,
unit-09-clothes,coat,noun,kootii,baaxiyyaa | ducee | duuchee | kaabbortaa,/ˈkoːtíː/,no,high,coat,,,
unit-09-clothes,blanket,noun,banjaa,awusaa | baanaa | jifaara,/ˈbɐnd͡ʒɑ́ː/,yes,medium,blanket,,,
unit-09-clothes,cloth,noun,fittaala,uwwisa | wuccuu | ruufa | baladii,/ˈfɪtːɑːlɐ/,yes,medium,cloth (cultural),,,
unit-09-clothes,cotton,noun,jirbii,dirmoo | damacaa | dabalaa | boffee,/ˈd͡ʒɪrbíː/,no,high,cotton,,,
unit-09-clothes,wool,noun,suufii,,/ˈsuːfíː/,no,high,sunflower plant or seed,,,
unit-09-clothes,button,noun,biinkoo,kolbee | qawwisaa | qabdoo | kolbaa,/ˈbiːnkóː/,yes,medium,button,,,
unit-09-clothes,pocket,noun,kiisi,kiisii | baakkoo,,no,medium,pocket,,,
unit-09-clothes,ring,noun,hogee,qillica | quboo | qubeelaa | amartii,/ˈhɔɡéː/,no,medium,ring,,,
unit-09-clothes,necklace,noun,amartii,hamarti mormaa | masqalii | caaccuu,/ɐmɐrtíː/,yes,high,ring/necklace,,,
unit-09-clothes,bracelet,noun,aalboo,saldaaqa | laakkaa | maaldaa | gumee,/ɑːlbóː/,yes,medium,bracelet,,,
unit-09-clothes,earring,noun,gutichaa,lootii | dhugoo,/ˈɡʊtɪt͡ʃɑ́ː/,no,medium,earring,,,
unit-09-clothes,needle,noun,lilmoo,lilimmoo | mooxi | waranxoo | waantoo,/ˈlɪlmóː/,no,medium,needle,,,
unit-09-clothes,thread,noun,fowaa,dirmoo | boffee | kirrii | luqqisaa,/ˈfɔwɑ́ː/,yes,high,thread,,,
unit-09-clothes,scarf,noun,darbata,uffarmaa,/ˈdɐrbɐtɐ/,yes,medium,throwing,,,
unit-09-clothes,towel,noun,fooxaa,,/ˈfoːtʼɑ́ː/,yes,high,towel,,,
unit-09-clothes,bead,noun,helellaa,saddeeqa | haffe | jamaree,/ˈhɛlɛlːɑ́ː/,no,medium,"white glass, bead",,,
