unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-10-house,house,noun,mana,agibaar | agibaarittii | aseennaa | buyyitii,,no,high,house,,,
unit-10-house,door,noun,balbala,cufaa | cufanna | maqaanii | michichilaa,/ˈbɐlbɐlɐ/,yes,medium,"door, gate",,,
unit-10-house,window,noun,foddaa,maqaanii,/ˈfɔdːɑ́ː/,yes,high,window,,,
unit-10-house,roof,noun,awayaata,ajjeerraa | baabbuu | dimdimii | kabaa,/ɐwɐjɑːtɐ/,yes,high,roof,,,
unit-10-house,wall,noun,gidaara,girgiddaa | duppoo | girgijii | gorroo,/ˈɡɪdɑːrɐ/,no,medium,wall,,,
unit-10-house,floor,noun,lafama,seexoo | afata | hogdii | oodii,/ˈlɐfɐmɐ/,no,medium,floor,,,
unit-10-house,room,noun,xallisa,kuuta | adiyyee | dilboo | cichaa,/ˈtʼɐlːɪsɐ/,no,medium,"the situation of being in wander, room",,,
unit-10-house,bed,noun,siree,golaciisaa | inshiree | itillee | jal-galee,,no,high,bed,,,
unit-10-house,chair,noun,barcuma,irrateessoo | erkoo | dura bu'aa | haadha koraa,/ˈbɐrt͡ʃʼʊmɐ/,yes,medium,chair/seat/stool,,,
unit-10-house,table,noun,minjaala,baafannoo | dhi'aan | gabataa | leemaatii,,no,high,table,,,
unit-10-house,lamp,noun,faanosii,faanusa | ibsaa | kinnaaya | laambaa,/ˈfɑːnɔsíː/,yes,medium,lamp,,,
unit-10-house,key,noun,bantuu,furtuu | furaa | gurra buusa | furtuu afuurfannoo,/ˈbɐntúː/,yes,medium,key,,,
unit-10-house,fence,noun,dallaa,dhayii | mikkiila | araaressuu | dalleessuu,/ˈdɐlːɑ́ː/,yes,medium,fence,,,
unit-10-house,gate,noun,balbala,cufaa | cufanna | hulaa | bitimaa,/ˈbɐlbɐlɐ/,yes,medium,"door, gate",,,
unit-10-house,yard,noun,abaada,hiikee | marjeeji | hogolee | mana duuba,/ɐbɑːdɐ/,yes,high,"compound, yard",,,
unit-10-house,kitchen,noun,alawaadaa,alwaadaa | kushinaa | mana duuba | cichaa,/ɐlɐwɑːdɑ́ː/,yes,medium,kitchen,,,
unit-10-house,garden,noun,oboruu,manduubee | cilaaddama | jalaharaa | jalasoquu,/ɔbɔrúː/,no,medium,garden,,,
unit-10-house,stairs,noun,ejjeta,yaabbannoo,/ɛd͡ʒːɛtɐ/,yes,low,stairs or steps,,,
unit-10-house,shelf,noun,dulaaba,aansada | zalangaa | girgijii,/ˈdʊlɑːbɐ/,yes,medium,shelf,,,
unit-10-house,box,noun,aboona,saanduqa | baakkoo | habootuu | baalkosaa,/ɐboːnɐ/,yes,medium,box,,,
unit-10-house,basket,noun,ajanbilii,gibbona | gonofee | qembee | xooqee,/ɐd͡ʒɐnbɪlíː/,yes,medium,basket,,,
unit-10-house,bag,noun,boorsaa,aloolloo | qalqalloo | qaraxixii | biiroo,/ˈboːrsɑ́ː/,yes,high,"bag, sack",,,
unit-10-house,broom,noun,axoolaa,hartuu | harataa | acarabaa | hacarabaa,/ɐtʼoːlɑ́ː/,yes,medium,broom,,,
unit-10-house,mat,noun,keeshaa,jibbaa | kachoo | raroo | handaqii,/ˈkeːʃɑ́ː/,no,high,"mat, sack",,,
unit-10-house,curtain,noun,daatii,girdoo | machabaaloo | golga | dayeessa,/ˈdɑːtíː/,yes,medium,curtain,,,
