unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-11-kitchen,pot,noun,giicuu,hokkotee | okkotee | washoo | go'oo,/ˈɡiːt͡ʃʼúː/,no,medium,pot,,,
unit-11-kitchen,pan,noun,caabitaa,mosollee | xiliitee | maxabashaa | distii sibiilaa,/ˈt͡ʃʼɑːbɪtɑ́ː/,yes,low,local bread made on clay pan,,,
unit-11-kitchen,knife,noun,ablee,billaa | haaduu | qalaa | cuubee,/ɐbléː/,yes,medium,knife,,,
unit-11-kitchen,fork,noun,filoo,qoorbii,/ˈfɪlóː/,yes,high,"fork, strip",,,
unit-11-kitchen,bowl,noun,gabatee,killoo | qorii | golbachuu,/ˈɡɐbɐtéː/,no,low,large wooden dish or bowl,,,
unit-11-kitchen,bottle,noun,dulloo,qaruuraa | xaarmusii | buttullee | koddaa,/ˈdʊlːóː/,yes,medium,bottle,,,
unit-11-kitchen,jug,noun,ninniqa,ninniga,/ˈnɪnːɪkʼɐ/,no,medium,jug,,,
unit-11-kitchen,kettle,noun,manqorqoraa,masloolee | maarashoo | makrajii,/ˈmɐnkʼɔrkʼɔrɑ́ː/,no,medium,kettle,,,
unit-11-kitchen,lid,noun,ankalaba,gombiftuu | daboolaa | gunjaa | qadaada,/ɐnkɐlɐbɐ/,yes,medium,see 'anqalbaa',,,
unit-11-kitchen,cover,noun,boonkisii,daboolaa | dayeessa | gunjaa | qadaada,/ˈboːnkɪsíː/,yes,medium,cover,,,
unit-11-kitchen,firewood,noun,qoraan,xiifoo | libaallibbee,,no,high,firewood,,,
unit-11-kitchen,oven,noun,furnoo,romaca | geemmoo,/ˈfʊrnóː/,yes,medium,oven,,,
unit-11-kitchen,flour,noun,baarree,qaatii | toloola | unkuroo | wandaroo,/ˈbɑːrːéː/,yes,low,large gourd used to contain dough grass made container of flour.,,,
unit-11-kitchen,oil,noun,zayitii,quyyisa | fagulloo | nuugii | baqsiisuu,/ˈzɐjɪtíː/,yes,medium,"edible oil, oil",,,
unit-11-kitchen,cheese,noun,baaduu,qimixuu | ittoo loonii | cororsaa | irra buusa,/ˈbɑːdúː/,yes,medium,cheese,,,
unit-11-kitchen,spice,noun,hawaaja,mi'eessituu | urgeessituu | urgoo | quyyifa,/ˈhɐwɑːd͡ʒɐ/,no,medium,spice,,,
unit-11-kitchen,pepper,noun,barbaree,kolofoo | mimmixoo | lojoo | qaaraa,/ˈbɐrbɐréː/,yes,low,hot pepper,,,
unit-11-kitchen,soup,noun,layyoo,shorbaa | hurgufoo | koosara | mooquu,/ˈlɐjːóː/,no,medium,soup,,,
