unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-12-school,school,noun,mana barumsaa,darasaa,,no,high,school,,,
unit-12-school,teacher,noun,qaraasisaa,barsiiftuu | barsiisaa,/ˈkʼɐrɑːsɪsɑ́ː/,no,medium,teacher,,,
unit-12-school,student,noun,darasaa,,/ˈdɐrɐsɑ́ː/,yes,low,student of Quranic school,,,
unit-12-school,book,noun,kitaaba,dabtara | haragoo | qur'aana | dabalii,/ˈkɪtɑːbɐ/,no,high,book,,,
unit-12-school,page,noun,fuula saphaphuu,,/ˈfuːlɐ sɐpʼɐpʼúː/,yes,low,web page,,,
unit-12-school,pen,noun,kobbee,barreessaa | bitimaa | mooraa | shaxee,,no,medium,pen,,,
unit-12-school,pencil,noun,qubeessaa,barreessaa | kobbii,,no,medium,pencil,,,
unit-12-school,paper,noun,waraqaa,arrigoo | bariisaa | sooftii | gamshaa,,no,high,paper,,,
unit-12-school,letter,noun,xalayaa,a | A,/ˈtʼɐlɐjɑ́ː/,no,high,letter,,,
unit-12-school,word,noun,jecha,aabbo | dabarsoo | otola | qartii,,no,high,word,,,
unit-12-school,question,noun,gaaffii,iyyaafannaa | mallattoo gaffi,,no,medium,question,,,
unit-12-school,answer,noun,deebinsa,deebii | deebisa,/ˈdeːbɪnsɐ/,yes,medium,answer,,,
unit-12-school,lesson,noun,barumsa,laalessuu,/ˈbɐrʊmsɐ/,yes,high,lesson,,,
unit-12-school,story,noun,darbii,durdurii | fooqii | asooga,/ˈdɐrbíː/,yes,medium,story,,,
unit-12-school,song,noun,absaala,faarfannaa | sirba | weedduu | dannaboo,/ɐbsɑːlɐ/,yes,medium,song,,,
unit-12-school,language,noun,afaan,afkeeka | afmadda | geeddarafa | afaan garlamee,/ɐfɑːn/,yes,high,mouth,,,
unit-12-school,chalk,noun,boronqii,,/ˈbɔrɔnkʼíː/,yes,high,chalk,,,
unit-12-school,class,noun,daree,olaantiyyaa | saabbaa | fugaa | gita bittuu,/ˈdɐréː/,yes,low,a kind of low land tree,,,
unit-12-school,library,noun,mana kitaaba,,/ˈmɐnɐ kɪtɑːbɐ/,no,high,library,,,
unit-12-school,pupil,noun,gumaa ijaa,agartuu | qaroo,/ˈɡʊmɑː ɪd͡ʒɑ́ː/,no,high,pupil,,,
unit-12-school,knowledge,noun,beekumsa,barannoo | beekkachuu | gonfachuu,/ˈbeːkʊmsɐ/,yes,medium,knowledge,,,
unit-12-school,writing,noun,barreeffama,hololeessuu,/ˈbɐrːeːfːɐmɐ/,yes,high,writing; written text; piece of writing,,,
unit-12-school,reading,noun,dubbisa,,/ˈdʊbːɪsɐ/,yes,low,talk to somebody,,,
unit-12-school,game,noun,tapha,baqqoo | gabbaa | gombisa | gugsii,/ˈtɐpʼɐ/,no,high,"game, jock,",,,
unit-12-school,rule,noun,bittaa,dambii | sassararuu | mohuu | mootomuu,/ˈbɪtːɑ́ː/,yes,medium,purchase,,,
