unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-13-time,time,noun,wayita,yeroo | mosina | ittaansuu | ammii,/ˈwɐjɪtɐ/,no,medium,time,,,
unit-13-time,day,noun,bultii,gaafa | guyyaa | awandaroo | boromtii,/ˈbʊltíː/,yes,high,standard of living,,,
unit-13-time,night,noun,halkan,halkan har'aa | algadda | dibaa | gebexii,,no,high,night,,,
unit-13-time,morning,noun,barraaqa,orraa | ganama | abboroo | bakkalcha,/ˈbɐrːɑːkʼɐ/,yes,medium,morning,,,
unit-13-time,evening,noun,dhi'a,dhiya | galgala | aboorada | hacamooyyaa,/ˈᶑɪʔɐ/,yes,medium,evening,,,
unit-13-time,afternoon,noun,waaree booda,,/ˈwɑːreː boːdɐ/,no,high,afternoon,,,
unit-13-time,week,noun,torban,torbee | torbandarbe | torbandhufu | harka dhawaa,,no,medium,week,,,
unit-13-time,month,noun,baatii,aboorada | aldarba | gardaaduma | innika,/ˈbɑːtíː/,yes,high,month,,,
unit-13-time,year,noun,waggaa,jijjiirraa baraa | haddaar | kurmaana | bara duraa,,no,high,year,,,
unit-13-time,today,noun,guyyaa har'aa,,/ˈɡʊjːɑː hɐrʔɑ́ː/,no,high,today,,,
unit-13-time,tomorrow,noun,borumtaa,,/ˈbɔrʊmtɑ́ː/,yes,low,"next day, after tomorrow",,,
unit-13-time,hour,noun,saatii,,,no,high,hour,,,
unit-13-time,minute,noun,buquqaa,,/ˈbʊkʼʊkʼɑ́ː/,yes,low,"garbage, refuse",,,
unit-13-time,season,noun,tibba,waqtii | mosina | darabii | birroolee,/ˈtɪbːɐ/,no,medium,season,,,
unit-13-time,summer,noun,ganna,bonee | gordii | hobonbola,,no,high,summer,,,
unit-13-time,winter,noun,bona,bonaawuu | ganna bawuu,/ˈbɔnɐ/,yes,high,winter,,,
unit-13-time,spring,noun,arfaasaa,burqaa | furga'aa | calcalii | birroolee,/ɐrfɑːsɑ́ː/,yes,medium,"spring, springtime",,,
unit-13-time,autumn,noun,birraa,arfaasee,/ˈbɪrːɑ́ː/,yes,high,"autumn, fall",,,
unit-13-time,rain,noun,bokkaa,rooba | roobuu | baaldoo | baaxiyyaa,/ˈbɔkːɑ́ː/,yes,high,rain,,,
unit-13-time,sun,noun,biiftuu,biifuu | aduu | haduu | adulee,/ˈbiːftúː/,yes,medium,sun,,,
unit-13-time,moon,noun,addeessa,ji'a | zoodiyaak | elellee | fasasee,/ɐdːeːsːɐ/,yes,medium,moon,,,
unit-13-time,star,noun,hurjii,urgi | urjii | bakkalcha | qorsa,/ˈhʊrd͡ʒíː/,no,medium,star,,,
unit-13-time,sky,noun,samii,waaqa | olfagoo | gimmisuu,,no,medium,sky,,,
unit-13-time,dawn,noun,obboroo,boruu | bariifachuu | bariitu | bari'uu,,no,medium,dawn,,,
unit-13-time,dusk,noun,dimimmisa,,/ˈdɪmɪmːɪsɐ/,yes,high,dusk/twilight,,,
