unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-14-weather,wind,noun,bubbee,daawwaramuu | bubbisa | bubbisiisuu | buxii,/ˈbʊbːéː/,yes,medium,"hurricane, storm, wind",,,
unit-14-weather,cloud,noun,duumessa,baaldoo | duumessaa'uu,/ˈduːmɛsːɐ/,yes,high,cloud,,,
unit-14-weather,storm,noun,suulaa,bubbee | hobonboleessa | rooba hangaasuu,,no,medium,storm,,,
unit-14-weather,thunder,noun,bakakkaa,billiqqee | qaqawwii | mandichuu | mandihuu,/ˈbɐkɐkːɑ́ː/,yes,medium,thunder,,,
unit-14-weather,lightning,noun,balaqqeessa,angaasuu | billiqqee,/ˈbɐlɐkʼːeːsːɐ/,yes,medium,lightning,,,
unit-14-weather,heat,noun,o'a,ho'a | karkarsuu | o'isuu | xanxara,,no,medium,heat,,,
unit-14-weather,ice,noun,cabbii,jalaatii,/ˈt͡ʃʼɐbːíː/,yes,high,ice,,,
unit-14-weather,fog,noun,qayyoota,hurrii,/ˈkʼɐjːoːtɐ/,no,medium,fog,,,
unit-14-weather,dew,noun,fixeensa,,/ˈfɪtʼeːnsɐ/,yes,high,dew,,,
unit-14-weather,rainbow,noun,sabbata waaqayyoo,,/ˈsɐbːɐtɐ wɑːkʼɐjːóː/,no,high,rainbow,,,
unit-14-weather,shade,noun,caayaa,qabbana | ciibsaa,/ˈt͡ʃʼɑːjɑ́ː/,yes,medium,"shade, shadow",,,
unit-14-weather,drought,noun,hongee,ongee,/ˈhɔnɡéː/,no,low,drought or dry,,,
unit-14-weather,flood,noun,laabaa,galoo | lolaa | loosaa | towuu,/ˈlɑːbɑ́ː/,no,medium,flood,,,
unit-14-weather,mud,noun,dhoqqee,laaqii | dhidhimuu | dhooba | duppoo,/ˈᶑɔkʼːéː/,yes,medium,mud,,,
unit-14-weather,dust,noun,awwaara,buukanii | dhukkee | awaara | bunnisuu,/ɐwːɑːrɐ/,no,medium,dust,,,
unit-14-weather,smoke,noun,haara,aarsuu | xuuxuu | aaruu | aarfamuu,,no,medium,smoke (of fire),,,
unit-14-weather,air,noun,qilleensa,dhalatto | faalamaqilleensaa | xurree | haatuu balali'aa,,no,high,air,,,
unit-14-weather,darkness,noun,dukkana,,/ˈdʊkːɐnɐ/,yes,high,darkness,,,
unit-14-weather,frost,noun,boojjii,muqqur | muqura | waagii,/ˈboːd͡ʒːíː/,yes,medium,salty soil usually eaten by cattle,,,
unit-14-weather,weather,noun,amaleensa,caamessa | bulluqa | qorraa | maallimuu,/ɐmɐleːnsɐ/,yes,low,weather condition,,,
