unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-16-plants,tree,noun,muka,aadee | abbabbeessa | abbayyoo | abdaarii,/ˈmʊ́kɐ/,no,high,tree,,,
unit-16-plants,leaf,noun,baala,obeensa | gurra | aduffaa | ashanquxaa,/ˈbɑːlɐ/,yes,medium,leaf,,,
unit-16-plants,branch,noun,baarkoo,birkii | handaaraa | corgoggee | damee,/ˈbɑːrkóː/,yes,medium,branch,,,
unit-16-plants,root,noun,hidda,hundee | ammichoo | ansoosillaa | burii,/ˈhɪdːɐ/,no,medium,root,,,
unit-16-plants,flower,noun,abaaboo,hadaa | baallamii | daraaraa | adaa,/ɐbɑːbóː/,yes,high,flower,,,
unit-16-plants,seed,noun,sanyii,ijoo | facaafataa | saliixii | safii,,no,medium,seed,,,
unit-16-plants,bush,noun,gussii,huuxii | saaxoo | attaa | gussoo,/ˈɡʊsːíː/,no,medium,bush,,,
unit-16-plants,thorn,noun,qoraattii,xaroo | xiixaa | arraba dubartii | arraba qoraattii,/ˈkʼɔrɑːtːíː/,no,medium,thorn,,,
unit-16-plants,bark,noun,dutuu,qaana'a | solloqqee | bukumsa | dhoqonuu,/ˈdʊtúː/,yes,medium,bark,,,
unit-16-plants,wood,noun,ciraaroo,dhaanquu | dongora | falaxaa | foroorsaa,/ˈt͡ʃʼɪrɑːróː/,yes,low,brush wood or dry twinges used as fire wood,,,
unit-16-plants,trunk,noun,humbaawoo,huumbii | gudeelcha | kunbii,/ˈhʊmbɑːwóː/,no,low,trunk of elephant,,,
unit-16-plants,plant,noun,hadaa,aadigaa | aanannoo | abariree | acarabaa,/ˈhɐdɑ́ː/,yes,low,daisy plant or its flower,,,
unit-16-plants,crop,noun,bonee,gordii | hoboloo | qaarmii | guboo,/ˈbɔnéː/,yes,low,summer crop or vegetable produced by irrigation,,,
unit-16-plants,weed,noun,aramaa,haramaa | korkodaa | huura | aramuu,/ɐrɐmɑ́ː/,yes,medium,weed,,,
unit-16-plants,stem,noun,somaa,gubaalessa | homborokkee | futtiqii | futtiquu,/ˈsɔmɑ́ː/,no,high,"stalk, stem",,,
unit-16-plants,shoot,noun,xaaxessuu,biiluu | huuxoo | muuroo | quuxaa,/ˈtʼɑːtʼɛsːúː/,no,medium,shoot,,,
unit-16-plants,vine,noun,haraga,hidda | baggee | hancootee | hoomichoo,/ˈhɐrɐɡɐ/,no,medium,vine,,,
unit-16-plants,bamboo,noun,leemmana,sooyyama | faaggaa | kachoo | saxaraa,,no,medium,bamboo,,,
unit-16-plants,palm,noun,harruu,shanacha | ansoosillaa | daatuu | ducee,,no,medium,palm (of the hand),,,
unit-16-plants,cactus,noun,amoshaqaa,hadaamaa | adaamii | ciiree | ashooka,/ɐmɔʃɐkʼɑ́ː/,yes,medium,cactus,,,
unit-16-plants,moss,noun,saphaphuu,,/ˈsɐpʼɐpʼúː/,no,high,"algae or greenish water plant, moss",,,
unit-16-plants,pollen,noun,habaree,,/ˈhɐbɐréː/,no,high,pollen,,,
