unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-17-fruit,lemon,noun,dhugoo,xuuxxoo | loomii | masaraftaa,/ˈᶑʊɡóː/,yes,medium,lemon,,,
unit-17-fruit,mango,noun,maangoo,,,no,high,mango,,,
unit-17-fruit,apple,noun,poomii,ilippa | ooddoo | qomaaxee,/ˈpoːmíː/,yes,medium,apple,,,
unit-17-fruit,papaya,noun,paappaayaa,,/ˈpɑːpːɑːjɑ́ː/,yes,high,papaya,,,
unit-17-fruit,pineapple,noun,anaanaasii,,/ɐnɑːnɑːsíː/,yes,high,pineapple,,,
unit-17-fruit,tomato,noun,ajaagaarii,timaatimii | timaatima,/ɐd͡ʒɑːɡɑːríː/,yes,medium,tomato,,,
unit-17-fruit,garlic,noun,qurfoo,qullubbii,/ˈkʼʊrfóː/,no,medium,garlic,,,
unit-17-fruit,cabbage,noun,kaaboolii,yumoo | shaanaa | raatuu | raafuu,/ˈkɑːboːlíː/,no,medium,cabbage,,,
unit-17-fruit,carrot,noun,kaarotii,kaarooti,/ˈkɑːrɔtíː/,no,medium,carrot,,,
unit-17-fruit,pumpkin,noun,dabaaqula,curaa | kululuu | quuxaa,/ˈdɐbɑːkʼʊlɐ/,yes,high,pumpkin,,,
unit-17-fruit,bean,noun,baaqelaa,dafee | hardooma | hephoo | kotoree,/ˈbɑːkʼɛlɑ́ː/,yes,medium,bean,,,
unit-17-fruit,pea,noun,atara,aatoo | haatoo | kajii | ququmsuu,/ɐtɐrɐ/,yes,medium,pea,,,
unit-17-fruit,corn,noun,boqqolloo,deeddee | kijjoo | moshee | oromee,/ˈbɔkʼːɔlːóː/,yes,medium,"corn, maize",,,
unit-17-fruit,wheat,noun,qamadii,dargaa dargaayyee | wandaroo | qaxxee | unkutoo,/ˈkʼɐmɐdíː/,no,high,wheat,,,
unit-17-fruit,sorghum,noun,bulchee,coomee | duphoo | facee | ficaa,/ˈbʊlt͡ʃéː/,yes,low,a kind of sorghum,,,
unit-17-fruit,rice,noun,ruuzii,,,no,high,rice,,,
unit-17-fruit,spinach,noun,qoosxaa,,,no,high,spinach,,,
unit-17-fruit,melon,noun,ugoo,buqqee | habaha,/ʊɡóː/,no,medium,melon,,,
