unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-18-cooking,meal,noun,dhi'aan,dhiyeessuu | maaddii | dhiyeeffachuu,/ˈᶑɪʔɑːn/,yes,low,meal table,,,
unit-18-cooking,lunch,noun,dhiyaana,laaqana,/ˈᶑɪjɑːnɐ/,yes,medium,lunch,,,
unit-18-cooking,supper,noun,irbaata,oolchaa | maganfachuu,,no,high,supper,,,
unit-18-cooking,dinner,noun,subaaxa,bulaa | waamuu,/ˈsʊbɑːtʼɐ/,no,high,dinner,,,
unit-18-cooking,stew,noun,waxii,maraqaa | waxuu | duphoo | kollaa,,no,medium,stew,,,
unit-18-cooking,sauce,noun,maashaa,sinaabii | mosollee | cuubata | distii sibiilaa,/ˈmɑːʃɑ́ː/,no,medium,"sauce (of bean, pean)",,,
unit-18-cooking,dough,noun,bukoo,daabbooqoloo | daqqii | baarree | ganaana,/ˈbʊkóː/,yes,high,"dough, batter",,,
unit-18-cooking,juice,noun,cuunfaa,cimmiga | cumaa | cuunfachuu | cuunfuu,/ˈt͡ʃʼuːnfɑ́ː/,yes,medium,juice,,,
unit-18-cooking,beer,noun,biiraa,abshiloo | buqqurii | buttullee | calalii,/ˈbiːrɑ́ː/,yes,high,beer,,,
unit-18-cooking,taste,noun,dhamdhama,qacii | dhandhama | dhandhamchuu | tuttufachuu,/ˈᶑɐmᶑɐmɐ/,yes,medium,taste,,,
unit-18-cooking,cream,noun,qurruu,dibata | quyyifata | saaphaphuu | jalaatii,/ˈkʼʊrːúː/,no,medium,cream,,,
unit-18-cooking,fat,noun,cooma,dummunyii | ridama | tuntunoo | bokoree,/ˈt͡ʃʼoːmɐ/,yes,medium,fat (bodily tissue),,,
unit-18-cooking,broth,noun,koosara,maraqaa,/ˈkoːsɐrɐ/,no,medium,"soup, broth",,,
unit-18-cooking,mash,noun,lanqaxuu,lanqaxsiisuu,/ˈlɐnkʼɐtʼúː/,no,high,"mash, grind wet grain",,,
unit-18-cooking,slice,noun,kakamma'amuu,muraa | baqqana | kartafuu | kutachuu,/ˈkɐkɐmːɐʔɐmúː/,no,medium,slice,,,
unit-18-cooking,loaf,noun,fooggaluu,ishkiruu | cubbuxoo | cumboola | cafaqaa,/ˈfoːɡːɐlúː/,yes,high,loaf,,,
unit-18-cooking,grain,noun,midhaan,abaqii | akaawwii | ashaaroo | awwaaroo,,no,high,grain,,,
unit-18-cooking,husk,noun,quncee,shuqulsiisuu,/ˈkʼʊnt͡ʃʼéː/,no,high,"rind, husk",,,
unit-18-cooking,peel,noun,hophoo,solloqsuu | quncisuu | solloqqee firi | qunca'uu,/ˈhɔpʼóː/,no,medium,"cortex, peel",,,
unit-18-cooking,yeast,noun,rushii,xa'aa | raacitii | xajja'uu,/ˈrʊʃíː/,no,medium,yeast,,,
unit-18-cooking,portion,noun,dirgoo,,/ˈdɪrɡóː/,yes,high,"part, portion",,,
unit-18-cooking,leftovers,noun,hagooqqi,haqoogqachuu | haqooqqachiisuu | haqooqqamuu | haqooquu,/ˈhɐɡoːkʼːɪ/,no,low,cleared leftovers in a dish,,,
unit-18-cooking,feast,noun,qomora,nyaachisa,/ˈkʼɔmɔrɐ/,no,medium,feast,,,
unit-18-cooking,snack,noun,nyaabullee,,/ˈɲɑːbʊlːéː/,no,high,snack,,,
unit-18-cooking,cake,noun,keekii,caabetaa | xessoo,/ˈkeːkíː/,no,high,cake,,,
