unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-20-wild-animals,giraffe,noun,saattawwaa,sattawwaa,/ˈsɑːtːɐwːɑ́ː/,no,medium,giraffe,,,
unit-20-wild-animals,zebra,noun,harre diidoo,harree diidaa,,no,medium,zebra,,,
unit-20-wild-animals,baboon,noun,jaldeessa,jaldoo | jaldeesii | bukumsa | hoomaa jaldeessaa,/ˈd͡ʒɐldeːsːɐ/,no,medium,baboon (Papio anubis),,,
unit-20-wild-animals,antelope,noun,arroolee,qellejjee | biichee | gadamsa | warabboo,/ɐrːoːléː/,yes,medium,antelope,,,
unit-20-wild-animals,gazelle,noun,re'ee diidaa,tirgii,/ˈrɛʔeː diːdɑ́ː/,no,high,gazelle,,,
unit-20-wild-animals,rhinoceros,noun,orseesa,karkaarro | cittaa,/ɔrseːsɐ/,no,medium,rhinoceros,,,
unit-20-wild-animals,hippopotamus,noun,roophii,roobii | jaawwii | cirrii arbaa,/ˈroːpʼíː/,no,medium,hippopotamus,,,
unit-20-wild-animals,crocodile,noun,naacha,,,no,high,crocodile,,,
unit-20-wild-animals,lizard,noun,horonguda,lootuu | qarcoo | qorcoo | qarcabboo,/ˈhɔrɔnɡʊdɐ/,no,medium,lizard,,,
unit-20-wild-animals,frog,noun,fattee,raacha,/ˈfɐtːéː/,yes,medium,frog,,,
unit-20-wild-animals,fox,noun,sardiida,jeedala | jeedala diimtuu | ilmoo sardiida | jeedala fardaa,/ˈsɐrdiːdɐ/,no,medium,fox,,,
unit-20-wild-animals,jackal,noun,wangoo,jeedala | jeedala fardaa,,no,medium,jackal,,,
unit-20-wild-animals,wolf,noun,yeeyyii,jeedala,,no,high,wolf,,,
unit-20-wild-animals,bear,noun,qarabullee,qarambullee | obsuu | amaaqexa | gadhafuu,/ˈkʼɐrɐbʊlːéː/,no,medium,bear,,,
unit-20-wild-animals,deer,noun,gaaftorboo,biichee | gaafa torbo | gadamsa | kal'ee,/ˈɡɑːftɔrbóː/,no,medium,deer,,,
unit-20-wild-animals,porcupine,noun,addee,dhaddee,/ɐdːéː/,yes,medium,porcupine,,,
unit-20-wild-animals,squirrel,noun,osolee,curree,,no,medium,squirrel,,,
unit-20-wild-animals,bat,noun,lilliga,lillixa | liccee | simbira halkanii | arfii raajeffannoo,/ˈlɪlːɪɡɐ/,no,medium,bat,,,
unit-20-wild-animals,rat,noun,antuuta,haantuta | moorree | qaajibbuu | fuliyoo,/ɐntuːtɐ/,no,medium,rat,,,
unit-20-wild-animals,mole,noun,xuqaa,,/ˈtʼʊkʼɑ́ː/,no,high,mole,,,
