unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-21-birds,duck,noun,dakiiyyee,daakkiyyee | daakiyyee | dhotii | abroolee,/ˈdɐkiːjːéː/,yes,medium,duck,,,
unit-21-birds,goose,noun,daakkiyyee,daakiyyee,/ˈdɑːkːɪjːéː/,yes,medium,duck,,,
unit-21-birds,dove,noun,himimii,saballiisa | waanee | hamaraa,/ˈhɪmɪmíː/,no,medium,dove,,,
unit-21-birds,pigeon,noun,adarii,kurkuduu | handarii | saphallissa,/ɐdɐríː/,yes,medium,pigeon/turtledove,,,
unit-21-birds,crow,noun,araakoo,quraa | arraagessa | harraageessa | iyyuu,/ɐrɑːkóː/,yes,medium,crow,,,
unit-21-birds,eagle,noun,corofee,risaa | dhagabuusa | haadha gaattoo,/ˈt͡ʃʼɔrɔféː/,yes,medium,eagle,,,
unit-21-birds,hawk,noun,culullee,,/ˈt͡ʃʼʊlʊlːéː/,yes,high,hawk,,,
unit-21-birds,vulture,noun,foggii,ruumicha | dhotii | ondoolessa,/ˈfɔɡːíː/,yes,medium,vulture,,,
unit-21-birds,owl,noun,aadduu,jajjuu | urunguu | uruungguu | hadha onaa,/ɑːdːúː/,yes,medium,owl,,,
unit-21-birds,ostrich,noun,guchii,guuchii | rubboo,/ˈɡʊt͡ʃíː/,no,medium,ostrich,,,
unit-21-birds,stork,noun,haadha qufoo,,/ˈhɑːᶑɐ kʼʊfóː/,no,high,"cormorant, stork",,,
unit-21-birds,parrot,noun,torraa,,/ˈtɔrːɑ́ː/,no,high,parrot,,,
unit-21-birds,sparrow,noun,daalotee,,/ˈdɑːlɔtéː/,yes,high,sparrow,,,
unit-21-birds,swallow,noun,dhudha'uu,liqimsu | unaa | unachuu | dhudhaasisuu,/ˈᶑʊᶑɐʔúː/,yes,medium,to gulp,,,
unit-21-birds,nest,noun,man'ee,mandhee | mana simbiraa | godoo simbirroo,/ˈmɐnʔéː/,no,medium,nest,,,
unit-21-birds,wing,noun,goblaa,gofla | qoochoo | labooba | koochoo,/ˈɡɔblɑ́ː/,no,medium,wing,,,
unit-21-birds,feather,noun,baallee,qoochoo | labooba | guttiyyee | tuuttoo,/ˈbɑːlːéː/,yes,high,feather,,,
unit-21-birds,beak,noun,afaan,aflaaka | uuruu | otongora,/ɐfɑːn/,yes,medium,mouth,,,
unit-21-birds,claw,noun,cifa,anqooquu | anqooqsisuu | boccoquu,/ˈt͡ʃʼɪfɐ/,yes,high,claw (of lion),,,
unit-21-birds,tail,noun,eegee,aliiwaayaa | diboo | kicuu | luuxuu,/eːɡéː/,yes,high,tail,,,
unit-21-birds,flight,noun,barartii,,/ˈbɐrɐrtíː/,yes,high,flight,,,
unit-21-birds,heron,noun,haadha waaqoo,,/ˈhɑːᶑɐ wɑːkʼóː/,no,low,pelican or heron,,,
unit-21-birds,falcon,noun,simbirbuta,hamaraa | buttuu,/ˈsɪmbɪrbʊtɐ/,no,medium,falcon,,,
