unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-22-insects,insect,noun,damma daamuu,,/ˈdɐmːɐ dɑːmúː/,yes,low,"underground honey been like insects honey, honey produced by insect like a bee",,,
unit-22-insects,mosquito,noun,biimbii,bookee busaa | hagoobara binbee,/ˈbiːmbíː/,yes,high,mosquito,,,
unit-22-insects,wasp,noun,soonsa,,/ˈsoːnsɐ/,no,low,wasp hornet,,,
unit-22-insects,ant,noun,adeemaa,goondaa | mixii | tuchee | tussee,/ɐdeːmɑ́ː/,yes,medium,ant (euphemistic name),,,
unit-22-insects,termite,noun,rimma,kuyyisa,,no,high,termite,,,
unit-22-insects,spider,noun,aaroo,sarariitii | sharariitii | daara baaftuu | saaphaphuu,/ɑːróː/,yes,medium,spider,,,
unit-22-insects,web,noun,saphaphuu,dirii | dirbadiri | maxansasaphaphuu | saam'ee,/ˈsɐpʼɐpʼúː/,no,medium,"algae or greenish water plant, moss",,,
unit-22-insects,scorpion,noun,torbaan qabaa,,/ˈtɔrbɑːn kʼɐbɑ́ː/,no,high,scorpion,,,
unit-22-insects,butterfly,noun,biillaacha,billaacha | gurdummii,/ˈbiːlːɑːt͡ʃɐ/,yes,medium,butterfly,,,
unit-22-insects,locust,noun,awwaannisa,,/ɐwːɑːnːɪsɐ/,yes,high,locust,,,
unit-22-insects,grasshopper,noun,qorophisa,kuruphisaa | korophiissa | kuruphisa,/ˈkʼɔrɔpʼɪsɐ/,no,medium,grasshopper,,,
unit-22-insects,beetle,noun,boombii budaa,boombii bishaanii | boombii dammaa | boombii sa'aa,/ˈboːmbiː bʊdɑ́ː/,yes,high,beetle (insect with dark wing covers that live wood.),,,
unit-22-insects,worm,noun,raammoo,munyuuqaa | butuchuu | arraabbii | bilii,/ˈrɑːmːóː/,no,medium,"Worm, insects",,,
unit-22-insects,snail,noun,gaafoo,hilqaa | haadha gulgilii | caaccuu,/ˈɡɑːfóː/,no,medium,snail,,,
unit-22-insects,flea,noun,tafkii,,,no,high,flea,,,
unit-22-insects,louse,noun,hijiree,sasa'oo | cinii | hinjojjii | injijjii,/ˈhɪd͡ʒɪréː/,no,medium,louse,,,
unit-22-insects,tick,noun,shilmii,silmii | abshiloo | kaaboo,/ˈʃɪlmíː/,no,medium,tick,,,
unit-22-insects,caterpillar,noun,munyuuqaa,sugee,/ˈmʊɲuːkʼɑ́ː/,no,high,"crawling, cripple, wriggle",,,
unit-22-insects,cricket,noun,kuruphisa,,/ˈkʊrʊpʼɪsɐ/,no,high,"grasshopper, cricket,",,,
unit-22-insects,sting,noun,idduu,hidduu | hiddisiisuu | sonii | waabee,/ɪdːúː/,no,medium,to sting,,,
unit-22-insects,larva,noun,jiisaa,,/ˈd͡ʒiːsɑ́ː/,no,low,larva of honey bee,,,
