unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-23-market,market,noun,gabaa,machaara | araadaa | jaldhaaba | kofalee,/ˈɡɐbɑ́ː/,yes,medium,market,,,
unit-23-market,money,noun,maallaqa,qarshii | horoo | afalaamaa | diriidii,/ˈmɑːlːɐkʼɐ/,no,medium,money,,,
unit-23-market,price,noun,qaala'a,dabala gatii | jargii | gati baasuu,/ˈkʼɑːlɐʔɐ/,no,low,expensive of high price,,,
unit-23-market,shop,noun,dukkaana,suuqii | hujaarsa | mana bareedimaa | mana foonii,/ˈdʊkːɑːnɐ/,yes,high,shop,,,
unit-23-market,trade,noun,daldala,daldaluu | nagaduu | daldalachuu | daldalchiisuu,/ˈdɐldɐlɐ/,yes,high,trade,,,
unit-23-market,coin,noun,jannatoo,saantima | dinaara | farankaa | beesaa,/ˈd͡ʒɐnːɐtóː/,no,medium,coin,,,
unit-23-market,silver,noun,meeta,meetii | jannatoo-meetii | madaaliyaa meetii,/ˈmeːtɐ/,no,medium,silver,,,
unit-23-market,gold,noun,sokoo,warqii | warqee | seeqa | dahaaba,/ˈsɔkóː/,no,medium,gold,,,
unit-23-market,change,noun,diddiiruu,jijjiirama | sharafuu | jijjiiruu | deebii,/ˈdɪdːiːrúː/,yes,medium,change,,,
unit-23-market,debt,noun,liqeeffattuu,,/ˈlɪkʼeːfːɐtːúː/,no,low,one who is in debt (fem),,,
unit-23-market,loan,noun,hunjoo,liqaa | liqii | leqeessuu | liqeeffachuu,/ˈhʊnd͡ʒóː/,no,medium,loan,,,
unit-23-market,profit,noun,dhala,akkaa ol buufachuu,/ˈᶑɐlɐ/,yes,high,interest,,,
unit-23-market,loss,noun,hemaa,gaggaba | gachisuu | qarreessuu | irraa bawuu,/ˈhɛmɑ́ː/,no,high,loss,,,
unit-23-market,wealth,noun,badhaadhina,dunyaa | horooma | badhaadha | duniyaa,/ˈbɐᶑɑːᶑɪnɐ/,yes,medium,wealth,,,
unit-23-market,poverty,noun,hiyyummaa,deega | deegabaasuu | agabuu bulaa,,no,medium,poverty,,,
unit-23-market,scale,noun,daansaga,madaalloo | madaallii | gulantaa | madaala,/ˈdɑːnsɐɡɐ/,yes,medium,scale,,,
unit-23-market,weight,noun,ulfina,farasullaa | madaala ulfinaa | meeshaa madaalaa,,no,high,weight,,,
unit-23-market,measure,noun,biikkaa,qebellaa | daawullaa | bikkuu | dhahuu,/ˈbiːkːɑ́ː/,yes,medium,measure,,,
unit-23-market,sack,noun,jooniyyaa,boorsaa | keeshaa | cilgee | dooniyyaa,/ˈd͡ʒoːnɪjːɑ́ː/,no,medium,sack,,,
unit-23-market,customer,noun,maamila,beedee,,no,medium,customer,,,
unit-23-market,goods,noun,mi'a,alergama | dhiquu | meeshaa alergi | meeshaa dhumataa,/ˈmɪʔɐ/,no,high,goods,,,
unit-23-market,work,noun,maa'ii,hujii | qadhaaba | hojjetachuu | ojjechuu,/ˈmɑːʔíː/,no,medium,work,,,
unit-23-market,wage,noun,mindaa,riphaan loluu,/ˈmɪndɑ́ː/,yes,high,wage,,,
unit-23-market,tax,noun,gibira,qaraxa | ashuura | asxeessuu | abbaa galchaa,/ˈɡɪbɪrɐ/,no,medium,tax,,,
unit-23-market,gift,noun,kennaa,baalcha | gonfa | argaa | cirintii,/ˈkɛnːɑ́ː/,yes,medium,talent,,,
