unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-27-tools,tool,noun,buttoo,soofuu | kukkuttuu | gadiitoo | qugqurxaa,/ˈbʊtːóː/,yes,low,tool used to clear forest,,,
unit-27-tools,axe,noun,qottoo,dongora | faasii | fal'aatuu | fottoysituu,,no,high,"axe, hatchet",,,
unit-27-tools,hoe,noun,caqii,jembee | cakii | shuqunuu | caqee,/ˈt͡ʃʼɐkʼíː/,yes,medium,hoe,,,
unit-27-tools,rope,noun,funyoo,finyoo | foo'aa | haada | tushaa,/ˈfʊɲóː/,yes,medium,rope,,,
unit-27-tools,string,noun,siibaagoo,diruu | masanqoo | ribuu | xamboo,,no,high,string,,,
unit-27-tools,hammer,noun,burruusa,madooshaa,/ˈbʊrːuːsɐ/,yes,medium,hammer,,,
unit-27-tools,saw,noun,ilkaliila,seeruu | jiima-gordannaa,/ɪlkɐliːlɐ/,no,high,saw,,,
unit-27-tools,stick,noun,ulee,qabata | liccee | hapheeffamuu | satimuu,/ʔʊˈléː/,no,medium,stick,,,
unit-27-tools,spear,noun,eeboo,bashir | cokoo | faccee | jinfuu,/eːbóː/,yes,high,spear,,,
unit-27-tools,bow,noun,hiddaa,gugguutuu | dagaanii | futaasoo | halgata,/ˈhɪdːɑ́ː/,no,high,bow,,,
unit-27-tools,arrow,noun,xiiyyoo,xiyyaa | futaasoo,/ˈtʼiːjːóː/,no,medium,arrow,,,
unit-27-tools,shield,noun,gaachana,gachana | wantee | golboobuu,/ˈɡɑːt͡ʃɐnɐ/,no,medium,shield,,,
unit-27-tools,gun,noun,qawwee,albeenii | beeljigii | naasii | wacafoo,,no,high,gun (usually musket or rifle),,,
unit-27-tools,net,noun,mattangoo,saaphana | marayoo | binnoo | kiyyoo,/ˈmɐtːɐnɡóː/,no,medium,net (of fishing),,,
unit-27-tools,trap,noun,kilooba,meendo | mendoo | kiyyoo | qamaaxirii,/ˈkɪloːbɐ/,no,medium,trap (of fish),,,
unit-27-tools,plough,noun,sibbattii,tattaraaruu | qotuu | ciqirtii | dhiitaa,/ˈsɪbːɐtːíː/,no,high,plough,,,
unit-27-tools,yoke,noun,waanjoo,camaduu | xamaduu | cimdii | daagi,/ˈwɑːnd͡ʒóː/,no,medium,yoke,,,
unit-27-tools,iron,noun,sibiila,sibiilaa | kaawuyyaa | distii sibiilaa | eelee sibiilaa,/ˈsɪbiːlɐ/,no,medium,iron,,,
unit-27-tools,metal,noun,sibiila,distii | hankaassee | jinfuu | maddaa,/ˈsɪbiːlɐ/,no,high,iron,,,
unit-27-tools,glass,noun,fullee,burcuqqoo | callee | abooree | buurana,/ˈfʊlːéː/,yes,medium,glass (material),,,
unit-27-tools,clay,noun,suphee,faaraa | caabitaa | keyifa | maarashoo,,no,medium,clay,,,
unit-27-tools,leather,noun,gogaa,adoolaa | akorbashii | anqalbaa | bonkoo,,no,high,"hide, pelt",,,
unit-27-tools,plastic,noun,koongoo,kokii laastikii,/ˈkoːnɡóː/,no,low,a shoe made up of plastic,,,
