unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-28-culture,music,noun,muuziqaa,hawwisoo | kiraar,/ˈmuːzɪkʼɑ́ː/,no,high,music,,,
unit-28-culture,drum,noun,dibbee,dhibbisaa | didibbisa | goonoo | nagaarita,/ˈdɪbːéː/,yes,high,drum,,,
unit-28-culture,flute,noun,ululloo,uluullee | raambaa,/ʊlʊlːóː/,no,medium,flute,,,
unit-28-culture,dance,noun,daalala,dallala | hurruuba | shubbisa | dhiichisa,/ˈdɑːlɐlɐ/,yes,medium,dance,,,
unit-28-culture,riddle,noun,hibboo,hiibboo,/ˈhɪbːóː/,no,medium,riddle,,,
unit-28-culture,proverb,noun,mammaaksa,mammaakuu,/mɐmˈmɑ́ːksɐ/,no,high,"adage, proverb, saying",,,
unit-28-culture,poem,noun,mirriigsa,walaloo | mirriiqsuu | rumaanii | walaleessuu,/ˈmɪrːiːɡsɐ/,no,medium,poem,,,
unit-28-culture,wedding,noun,cidha,hacamooyyaa | waa'ela | gurguboo | aayyo aabbo,/ˈt͡ʃʼɪᶑɐ/,yes,high,wedding,,,
unit-28-culture,funeral,noun,du'a ga'ii,sirna awwaalaa | sirna awaalaa | adeemsa awwaalaa | sirna awwaalchaa,/ˈdʊʔɐ ɡɐʔíː/,yes,medium,funeral,,,
unit-28-culture,ceremony,noun,aadee,daaccii | fooqa | barcaa | irreecha,/ɑːdéː/,yes,low,tree used during a ritual ceremony called 'Ateetee',,,
unit-28-culture,blessing,noun,eebba,ammachiisa | nagaroo | mijuu | saayyee,/eːbːɐ/,yes,medium,blessing,,,
unit-28-culture,prayer,noun,sagada,kadhata | xu'aara | masqaleeffachuu,/ˈsɐɡɐdɐ/,no,medium,prayer,,,
unit-28-culture,god,noun,aseelloo,Waaqayyo | waaqa | Waaqa | awuliyaa,/ɐseːlːóː/,yes,medium,god,,,
unit-28-culture,spirit,noun,ayyaana,afuura | hafuuroo | karaamaa | awaayii,/ɐjːɑːnɐ/,yes,medium,spirit,,,
unit-28-culture,custom,noun,barsiifata,aadaa | dambii | duudhaa | akka qabaachuu,/ˈbɐrsiːfɐtɐ/,yes,medium,custom,,,
unit-28-culture,tradition,noun,barmoota,jifuu | duudhaa | furii | muka abbaa,/ˈbɐrmoːtɐ/,yes,medium,see 'barmoota',,,
unit-28-culture,clan,noun,birkii,habeebee | guduruu | jaawwii | hariiroo qomoo,/ˈbɪrkíː/,yes,high,"coercion, force",,,
unit-28-culture,elder,noun,jaarsa,abbabbaa | cirintii | aayyaa | hangafummaa,/ˈd͡ʒɑːrsɐ/,no,high,"elderly, elder",,,
unit-28-culture,holiday,noun,ayyaana waggaa,guyyaa ayyaanaa | jaaloo | giixoo | ayyaaneffachuu,/ɐjːɑːnɐ wɐɡːɑ́ː/,yes,medium,holiday,,,
