unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-29-verbs-move,jump,verb,korophisuu,qorophisuu | xarrisuu | utaaluu | finqiluu,/ˈkɔrɔpʼɪsúː/,no,medium,to jump,,,
unit-29-verbs-move,climb,verb,yaabuu,irra koruu | ol ba'uu | irra ba'uu | yaabbe huu,/ˈjɑːbúː/,no,medium,"climb, be on something.",,,
unit-29-verbs-move,fall,verb,bubuusuu,lixuu | jiguu | mittiquu | birraa,/ˈbʊbuːsúː/,yes,medium,"drop, fall, get off",,,
unit-29-verbs-move,lie,verb,hofonfoluu,sobuu | kijibuu | soba | kijiba,/ˈhɔfɔnfɔlúː/,no,medium,to lie,,,
unit-29-verbs-move,enter,verb,galuu,duuduu | lixuu | seenuu | seensisiifachuu,,no,medium,to enter,,,
unit-29-verbs-move,leave,verb,baatuu,gachisuu | dhiisuu | hambisiisuu | oochisuu,/ˈbɑːtúː/,yes,high,to leave,,,
unit-29-verbs-move,return,verb,deebi'uu,deebisuu | itti deebi'uu | barakatii | dugda baafachuu,/ˈdeːbɪʔúː/,yes,medium,"to come back, return",,,
unit-29-verbs-move,arrive,verb,gahuu,qaqqabachiisuu | qaqqabachuu | qaxxisa,/ˈɡɐhúː/,no,high,"reach, arrive",,,
unit-29-verbs-move,follow,verb,jaladeemuu,hordofuu | aansuu | faanadhahuu | faana bu'uu,/ˈd͡ʒɐlɐdeːmúː/,no,medium,follow,,,
unit-29-verbs-move,flee,verb,baqachuu,baqachiisuu,/ˈbɐkʼɐt͡ʃúː/,yes,high,"to flee, run away",,,
unit-29-verbs-move,carry,verb,baacuu,baachuu | baachifachuu | baachisiisuu | baattachuu,/ˈbɑːt͡ʃʼúː/,yes,medium,to carry,,,
unit-29-verbs-move,bring,verb,fiduu,deebifachuu | fichisisuu | dachaasuu | dhiyeeffachuu,/ˈfɪdúː/,yes,high,to bring,,,
unit-29-verbs-move,send,verb,erguu,dhaammachuu | dhamsachuu | ergachuu | futta'uu,/ɛrɡúː/,yes,high,to send,,,
unit-29-verbs-move,push,verb,dhiibuu,jifachuu | ha'iisa | dhiibbachuu | qooqqifachuu,/ˈᶑiːbúː/,yes,high,to push,,,
unit-29-verbs-move,pull,verb,harkifachuu,harkisuu | arkisiisuu | baaragguu | harkisiisuu,/ˈhɐrkɪfɐt͡ʃúː/,no,medium,draw/pull (for one's self),,,
unit-29-verbs-move,turn,verb,dabaree,hinkoo | darabee | inkoo | deebisisuu,/ˈdɐbɐréː/,yes,medium,turn,,,
unit-29-verbs-move,cross,verb,cehuu,dallansisuu | ceesifamuu | ceesiftuu | ceesisuu,/ˈt͡ʃʼɛhúː/,yes,medium,"to cross, go across some thing",,,
unit-29-verbs-move,swim,verb,dakuu,daakuu | haphaluu | killa lixuu,/ˈdɐkúː/,yes,medium,to swim,,,
unit-29-verbs-move,ride,verb,gulufuu,uddeellataa,/ˈɡʊlʊfúː/,no,high,ride,,,
unit-29-verbs-move,pass,verb,dabruu,darbuu | ce'achuu | ceesifamuu | dawwaruu,/ˈdɐbrúː/,yes,medium,to pass,,,
unit-29-verbs-move,wait,verb,afachuu,dukkaneefachuu | eeggachuu | dhiisifachuu | ganameeffachuu,/ɐfɐt͡ʃúː/,yes,high,to wait,,,
unit-29-verbs-move,hurry,verb,ariifachuu,dafuu | nafa'uu | jarjarsuu | sardamuu,/ɐriːfɐt͡ʃúː/,yes,medium,to hurry,,,
unit-29-verbs-move,travel,verb,imaltuu,,/ɪmɐltúː/,no,low,tourist,,,
unit-29-verbs-move,crawl,verb,daaddisuu,loohuu | loowuu | munyuuquu | daa' imuu,/ˈdɑːdːɪsúː/,yes,medium,"to toddle, to crawl",,,
