unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-30-verbs-speak,say,verb,jechuu,jedhuu | baanuu | ja'uu | farrisiisuu,/ˈd͡ʒɛt͡ʃúː/,no,medium,say,,,
unit-30-verbs-speak,tell,verb,itti himuu,himmitee | himsiifachuu | maallimuu | mammaakamuu,/ɪtːɪ hɪmúː/,no,medium,tell,,,
unit-30-verbs-speak,ask,verb,gaafachuu,iyyaafachuu | qorqoruu | iyyachuu | hawwachuu,,no,high,"to ask, inquire",,,
unit-30-verbs-speak,call,verb,waammachuu,waamsifachuu | waamsisuu | yaammachuu | awwaachuu,/ˈwɑːmːɐt͡ʃúː/,no,low,to call for oneself,,,
unit-30-verbs-speak,shout,verb,oo'uu,iyyuu | gadooduu | caraansiisuu | dutuu,/oːʔúː/,no,medium,shout,,,
unit-30-verbs-speak,whisper,verb,hasaasuu,asaasuu | asaasa | hasaasa | husuu,/ˈhɐsɑːsúː/,no,medium,to whisper,,,
unit-30-verbs-speak,sing,verb,alalaasuu,geeraruu | mikkiruu | weeddisuu | wallisuu,/ɐlɐlɑːsúː/,yes,medium,to sing,,,
unit-30-verbs-speak,think,verb,yaaduu,abbaluu | abbala | abuurrachuu | ajjamsisuu,,no,medium,to think,,,
unit-30-verbs-speak,know,verb,beekuu,qorqoruu | walbeekuu | wallaalchiisuu | wallaaluu,/ˈbeːkúː/,yes,high,to know,,,
unit-30-verbs-speak,understand,verb,hubachuu,dhamdhamsiisuu | hubatamuu,,no,high,to understand,,,
unit-30-verbs-speak,remember,verb,yaadachuu,yaaddachiisuu,,no,medium,to remember,,,
unit-30-verbs-speak,forget,verb,dagachuu,irraanfachuu | daguu | irraanfachiisuu | ofdagachuu,/ˈdɐɡɐt͡ʃúː/,yes,medium,to forget,,,
unit-30-verbs-speak,learn,verb,baruu,barachuu,/ˈbɐrúː/,yes,medium,to learn,,,
unit-30-verbs-speak,teach,verb,qaraasisuu,barsiifachuu,/ˈkʼɐrɑːsɪsúː/,no,high,to teach,,,
unit-30-verbs-speak,believe,verb,amanuu,,/ɐmɐnúː/,yes,high,to believe,,,
unit-30-verbs-speak,want,verb,fedhuu,soroobuu | soqachuu,/ˈfɛᶑúː/,yes,medium,"to want, desire, wish",,,
unit-30-verbs-speak,hope,verb,abdii,herreegachuu | abdachiisuu | abdataa | irraa bawuu,/ɐbdíː/,yes,medium,hope,,,
unit-30-verbs-speak,fear,verb,sodaa,onnee dhabuu | bir'achuu | sodaachisuu | sodaachuu,,no,medium,fear,,,
unit-30-verbs-speak,love,verb,jaalachuu,jaalala | marartoo | jaalachiisuu | jaalatamuu,,no,medium,"to love, like",,,
unit-30-verbs-speak,hate,verb,falquu,balfachuu | jibba | waljibbuu,/ˈfɐlkʼúː/,yes,medium,to hate,,,
unit-30-verbs-speak,decide,verb,murteessuu,mursisuu | murtoomfachuu | murachuu | murteessisuu,,no,high,to decide,,,
unit-30-verbs-speak,promise,verb,abdachiisuu,hirbuu | waadaa | wareega | ahadii,/ɐbdɐt͡ʃiːsúː/,yes,medium,"to give hope, promise",,,
unit-30-verbs-speak,greet,verb,dubbisuu,simuu | waldubbisuu,/ˈdʊbːɪsúː/,yes,high,to greet,,,
unit-30-verbs-speak,thank,verb,galateeffachuu,galateeffachiisuu | nibaruu,/ˈɡɐlɐteːfːɐt͡ʃúː/,no,high,to thank,,,
unit-30-verbs-speak,pray,verb,hoqobuu,kadhachuu | sagaduu | salaata | irreefachiisuu,/ˈhɔkʼɔbúː/,no,medium,to pray,,,
