unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-32-verbs-body,wake,verb,dammaquu,dammaqsuu | hulmaa bawuu,/ˈdɐmːɐkʼúː/,yes,low,to wake up (intransitive),,,
unit-32-verbs-body,listen,verb,dhaggeeffachuu,dhageeffachuu | dhaggeeffatamuu | jalaa qabuu,/ˈᶑɐɡːeːfːɐt͡ʃúː/,yes,medium,to listen,,,
unit-32-verbs-body,smell,verb,suurrachuu,fuunfachuu | suufuu | foolii | ciincaa,/ˈsuːrːɐt͡ʃúː/,no,medium,smell,,,
unit-32-verbs-body,touch,verb,xuquu,tuquu | tuqsisuu | tuttuquu | qaqqabaa,/ˈtʼʊkʼúː/,no,medium,touch,,,
unit-32-verbs-body,feel,verb,ceemma'uu,dhaamochuu | dukukuu | hafuursuu | mararsiifachuu,/ˈt͡ʃʼeːmːɐʔúː/,yes,low,being hesitant,,,
unit-32-verbs-body,breathe,verb,hafuura baafachuu,afuura baasuu,/ˈhɐfuːrɐ bɑːfɐt͡ʃúː/,no,high,breathe,,,
unit-32-verbs-body,bite,verb,ciniinuu,cininnachuu | hamachuu | hiddisiisuu | maqaa dhawuu,/ˈt͡ʃʼɪniːnúː/,yes,medium,to bite,,,
unit-32-verbs-body,chew,verb,alaanfachuu,alanfachuu | qamahuu | gogordamuu | alanfachiisuu,/ɐlɑːnfɐt͡ʃúː/,yes,medium,chew,,,
unit-32-verbs-body,spit,verb,tufuu,akkifata | aakkii | aakkifachuu | bulgaafachuu,,no,medium,to spit,,,
unit-32-verbs-body,bathe,verb,qaqqaammachuu,,/ˈkʼɐkʼːɑːmːɐt͡ʃúː/,no,low,warm oneself by fire sun- bathe,,,
unit-32-verbs-body,rest,verb,aaragalfachuu,bayyanachuu | boqonnaa | qabbaneeffannaa | hobbaafannaa,/ɑːrɐɡɐlfɐt͡ʃúː/,yes,medium,to rest,,,
unit-32-verbs-body,die,verb,du'uu,cichuu | biyyee nyaachuu | biliqjechuu | gamuu,/ˈdʊʔúː/,yes,medium,to die,,,
unit-32-verbs-body,grow,verb,biqiluu,marguu | dagaagsisuu | dargaggoomuu | dagaaguu,/ˈbɪkʼɪlúː/,yes,medium,"grow, geminate/sprout",,,
unit-32-verbs-body,heal,verb,dhinuu,,/ˈᶑɪnúː/,yes,low,recover heal,,,
unit-32-verbs-body,yawn,verb,hamuummachuu,hamuummaa | hamuummachisuu,/ˈhɐmuːmːɐt͡ʃúː/,no,high,to yawn (self),,,
unit-32-verbs-body,blink,verb,qisuu,biliqisuu | libsachuu | libsuu | billiqa,/ˈkʼɪsúː/,no,medium,to blink,,,
unit-32-verbs-body,shiver,verb,hollachuu,kerkersuu | ollachuu | roqomuu | hollachiisuu,/ˈhɔlːɐt͡ʃúː/,no,medium,to shiver,,,
unit-32-verbs-body,sweat,verb,dafquu,dafqa | dafqisiisuu,/ˈdɐfkʼúː/,yes,high,to sweat,,,
unit-32-verbs-body,tremble,verb,rom'uu,suuka'uu,/ˈrɔmʔúː/,no,low,to shiver or tremble,,,
unit-32-verbs-body,kneel,verb,jilbeenfachisuu,jilbeeffachiisuu,/ˈd͡ʒɪlbeːnfɐt͡ʃɪsúː/,no,low,cause to kneel down,,,
unit-32-verbs-body,bend,verb,dabsuu,gonboobuu | dhommoysuu | duufuu | hookkessuu,/ˈdɐbsúː/,yes,medium,bend,,,
unit-32-verbs-body,stretch,verb,dhifachuu,dhisuu | diriirfachiisuu | diriirfachuu | diriirsuu,/ˈᶑɪfɐt͡ʃúː/,yes,low,stretch pleat or skin of animals,,,
unit-32-verbs-body,swell,verb,orbobbeechuu,xiillawuu | dhiitessuu | digaluu | furfuuruu,/ɔrbɔbːeːt͡ʃúː/,no,medium,to swell,,,
unit-32-verbs-body,bleed,verb,dhiiguu,dhiigsuu | funuunsuu | funuunuu | funuuna,/ˈᶑiːɡúː/,yes,high,to bleed,,,
unit-32-verbs-body,faint,verb,gaggabuu,gageabdoo | gaggaba | gaggabsuu | yeela'uu,/ˈɡɐɡːɐbúː/,no,medium,"tingle, faint",,,
