unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-33-verbs-daily,help,verb,deeggersiisuu,deeggeruu | faduu | hirbuu | hirphuu,/ˈdeːɡːɛrsiːsúː/,yes,medium,cause to support/help,,,
unit-33-verbs-daily,buy,verb,bituu,bitachuu | bichiisuu | daara bawuu | gati baasuu,/ˈbɪtúː/,yes,high,to buy,,,
unit-33-verbs-daily,sell,verb,gurgurachuu,gurguruu | makarachuu | nadiyyuu | qexuu,/ˈɡʊrɡʊrɐt͡ʃúː/,no,medium,sell,,,
unit-33-verbs-daily,pay,verb,kaffaluu,gabbaruu | kaffaltii | kafalachuu | kaffalsiisuu,,no,medium,to pay,,,
unit-33-verbs-daily,borrow,verb,ergifachuu,liqeeffachiisuu,/ɛrɡɪfɐt͡ʃúː/,yes,high,to borrow (for oneself),,,
unit-33-verbs-daily,lend,verb,ergisuu,ergisiisuu,/ɛrɡɪsúː/,yes,high,to lend (not money),,,
unit-33-verbs-daily,keep,verb,hambisuu,danquu | icciteessuu | adabachuu | dibaa,,no,high,"to save, keep",,,
unit-33-verbs-daily,find,verb,argachuu,ijibbachuu | dhabuu,/ɐrɡɐt͡ʃúː/,yes,high,to find,,,
unit-33-verbs-daily,lose,verb,gatuu,mo amuu | gawwaa'uu | lajooja'uu | teemma'uu,/ˈɡɐtúː/,no,medium,"throw away, lose",,,
unit-33-verbs-daily,search,verb,findiguu,qocachuu | sakatta'a | soqa | barbaachifachuu,/ˈfɪndɪɡúː/,yes,medium,"to search, to cultivate",,,
unit-33-verbs-daily,choose,verb,filuu,filachuu,/ˈfɪlúː/,yes,medium,to choose,,,
unit-33-verbs-daily,share,verb,addaanfudhachuu,hiruu | qooddamuu | qooduu | qooda,/ɐdːɑːnfʊᶑɐt͡ʃúː/,yes,medium,"share, take one share",,,
unit-33-verbs-daily,divide,verb,maddarruu,hiruu | qooduu | walqooduu | hirmaannaa,/ˈmɐdːɐrːúː/,no,medium,divide,,,
unit-33-verbs-daily,add,verb,dabaluu,ida'uu | itti dabaluu | dabalchiisuu | dabalachuu,/ˈdɐbɐlúː/,yes,high,to include,,,
unit-33-verbs-daily,begin,verb,eegaluu,calqabuu | jalqabuu | damma'uu | gadhafuu,/eːɡɐlúː/,yes,medium,"to start, begin",,,
unit-33-verbs-daily,finish,verb,fixuu,fixaanbaafachuu | cophsuu | raawwachuu | qadaaduu,/ˈfɪtʼúː/,yes,medium,to finish,,,
unit-33-verbs-daily,try,verb,carraaquu,badaduu | yaaluu | carraaqsisuu | safarachuu,/ˈt͡ʃʼɐrːɑːkʼúː/,yes,medium,strive/work hard,,,
unit-33-verbs-daily,use,verb,fayyadamuu,dantaa | faayidaa | duguuguu | ciqilfachuu,/ˈfɐjːɐdɐmúː/,yes,high,to use,,,
unit-33-verbs-daily,need,verb,barbaaduu,feesisuu | walfechuu | ergaramuu | hawwisiisuu,/ˈbɐrbɑːdúː/,yes,high,to need,,,
unit-33-verbs-daily,show,verb,agarsiisuu,doo'ii | dura qabuu | ilaalchisuu | agarsiisa,/ɐɡɐrsiːsúː/,yes,medium,"to show, indicate",,,
unit-33-verbs-daily,hide,verb,dhoksuu,aguuguu | awwaaluu | dhokfachuu | okachuu,/ˈᶑɔksúː/,yes,medium,hide,,,
unit-33-verbs-daily,meet,verb,walqunnamuu,sabsbamuu | foondirraa | qoollifachuu | itti ba'uu,/ˈwɐlkʼʊnːɐmúː/,no,high,"come to see each other, meet",,,
unit-33-verbs-daily,visit,verb,daaw'achuu,doowwachuu | doo'ii | doowwannaa | walgaafachuu,/ˈdɑːwʔɐt͡ʃúː/,yes,medium,to visit,,,
unit-33-verbs-daily,live,verb,jiraachuu,le'uu | itti jiraachuu | ababuu | walitti deebi'uu,/ˈd͡ʒɪrɑːt͡ʃúː/,no,medium,to live,,,
unit-33-verbs-daily,stay,verb,turuu,hafuu | bushuu | dhiisifachuu | dibamuu,,no,medium,to stay,,,
