unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-35-people,person,noun,geerartuu,abbaltuu | areedoo | arrabdoteessa | bocaa,/ˈɡeːrɐrtúː/,no,high,"a person, usually a man who is very good at sing a war song",,,
unit-35-people,youth,noun,dargoo,dargaggumma,/ˈdɐrɡóː/,yes,high,youth (single),,,
unit-35-people,stranger,noun,halagoomuu,,/ˈhɐlɐɡoːmúː/,no,low,"being stranger, not kin",,,
unit-35-people,neighbour,noun,ollaa,,,no,high,neighbour,,,
unit-35-people,enemy,noun,diina,adawwii | gaaddilee | dhibantaa | amajaajii,/ˈdiːnɐ/,yes,medium,enemy,,,
unit-35-people,tribe,noun,gosa,qomoo | lammii | gosoomsuu,,no,medium,"type, kind",,,
unit-35-people,nation,noun,biyya,,/ˈbɪjːɐ/,yes,high,"country, nation",,,
unit-35-people,relative,noun,horee,garuumsa | hangaa sadhaatawaa | firaantee | firadhiigaa,/ˈhɔréː/,no,medium,relative,,,
unit-35-people,orphan,noun,gasharee,ilma du'aa,,no,high,orphan,,,
unit-35-people,widow,noun,bosortii,afooloo,/ˈbɔsɔrtíː/,yes,medium,widow,,,
unit-35-people,bride,noun,ashilee,idaayyaa | amaamota | addooyyee | gonnobbee,/ɐʃɪléː/,yes,medium,bride,,,
unit-35-people,groom,noun,ooge,rakoo qaluu,/oːɡɛ/,no,low,present given by a bride groom,,,
unit-35-people,twin,noun,lakkuu,,,no,high,twin,,,
unit-35-people,group,noun,tuuta,qoqqooduu | tuutessuu | booyira | duroo,/ˈtuːtɐ/,no,medium,"team, group",,,
unit-35-people,citizen,noun,biyyoomaa,laammii | lammii | abbaa biyyaa,/ˈbɪjːoːmɑ́ː/,yes,medium,citizen,,,
unit-35-people,ancestor,noun,abuduroo,,/ɐbʊdʊróː/,yes,high,ancestor,,,
unit-35-people,descendant,noun,hortee,darbii dabarsoo,/ˈhɔrtéː/,no,high,"descendant, family",,,
unit-35-people,generation,noun,dhaloota,labata afaanii,/ˈᶑɐloːtɐ/,yes,high,generation,,,
unit-35-people,age,noun,umrii,dulloomuu | bardhagitee | dullum | gomboba,/ʊmríː/,no,medium,age/life,,,
unit-35-people,couple,noun,mirreessuu,deebii,/ˈmɪrːeːsːúː/,no,medium,"to combine, couple",,,
unit-35-people,company,noun,daggaa,kaampaanii,/ˈdɐɡːɑ́ː/,yes,medium,company,,,
unit-35-people,assembly,noun,mana walgayii,,/ˈmɐnɐ wɐlɡɐjíː/,no,low,assembly hall,,,
unit-35-people,meeting,noun,walga'ii,walqunnamtii | walga'uu,/ˈwɐlɡɐʔíː/,no,high,meeting,,,
unit-35-people,quarrel,noun,qoccolloo,walloluu | baabsaa | coomphoo | dubbii,/ˈkʼɔt͡ʃʼːɔlːóː/,no,medium,"quarrel, argument dispute",,,
unit-35-people,agreement,noun,dilaala,waligaltee | walta'iinsa | wulii | walta'insa,/ˈdɪlɑːlɐ/,yes,medium,agreement,,,
