unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-37-colours-and-shapes,purple,adj,bildiimoo,siddisee | bildiimessuu | bildiimaa,/ˈbɪldiːmóː/,yes,medium,purple,,,
unit-37-colours-and-shapes,dark,adj,cilaa'uu,bororoo | dukkanaa'uu | halkanaa'uu | limixaa'uu,/ˈt͡ʃʼɪlɑːʔúː/,yes,high,being charcoal,,,
unit-37-colours-and-shapes,bright,adj,bisinqillee,baarilee | jorroo | cululugsuu | cululuqfachuu,/ˈbɪsɪnkʼɪlːéː/,yes,low,bright red,,,
unit-37-colours-and-shapes,round,adj,marsaa,daabboo | gofocuu | inkoo | maagoftuu,/ˈmɐrsɑ́ː/,no,medium,round,,,
unit-37-colours-and-shapes,flat,adj,dalga,beeddee | jalqaba | batteessuu | damacaa,/ˈdɐlɡɐ/,yes,medium,horizontal/flat,,,
unit-37-colours-and-shapes,straight,adj,lommaa,loomaa | luuccessuu | oljechuu | solola'uu,/ˈlɔmːɑ́ː/,no,medium,straight,,,
unit-37-colours-and-shapes,crooked,adj,jalloo,qonyee | jallaa | jal'achuu | jallachuu,/ˈd͡ʒɐlːóː/,no,medium,crooked (feminine),,,
unit-37-colours-and-shapes,deep,adj,aanannoo,boolla'uu | bool'eessuu | boolleffachuu | cookuu,/ɑːnɐnːóː/,yes,low,deep green milky climbing plant,,,
unit-37-colours-and-shapes,thick,adj,furdaa,furdachuu | gaagubbaa | gobbuu | cororsaa,,no,high,thick,,,
unit-37-colours-and-shapes,thin,adj,loollii,qallaa | kuyyisa | goggogaa | huqqisuu,/ˈloːlːíː/,no,medium,thin,,,
unit-37-colours-and-shapes,sharp,adj,aaddoo,aʼa | dongora | dongoruu | muxxaawuu,/ɑːdːóː/,yes,low,sharp shooter,,,
unit-37-colours-and-shapes,blunt,adj,dooma,doomuu | doomsuu,/ˈdoːmɐ/,yes,high,pickaxe,,,
unit-37-colours-and-shapes,smooth,adj,mushulugsuu,mushuluqsuu | mushulugsa | bosonqora | morodamuu,/ˈmʊʃʊlʊɡsúː/,no,medium,to smooth,,,
unit-37-colours-and-shapes,rough,adj,saakarraa'uu,callabiyyoo | baalaansoofii | qugquuquu | quuquu,/ˈsɑːkɐrːɑːʔúː/,no,high,"become course, rough",,,
unit-37-colours-and-shapes,curved,adj,golba,goggoolboo | jallaa | jallachuu | cororsaa,/ˈɡɔlbɐ/,no,medium,"bowl- shaped, curved",,,
unit-37-colours-and-shapes,pointed,adj,dirmuu,hankaassee | togga 'amuu,/ˈdɪrmúː/,yes,low,hurt oneself by thrusting oneself on a pointed object.,,,
unit-37-colours-and-shapes,spotted,adj,hoolee,,/ˈhoːléː/,no,high,"colored, spotted",,,
unit-37-colours-and-shapes,striped,adj,holee,,/ˈhɔléː/,no,low,striped orspoted,,,
