unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-41-classroom,notebook,noun,yaadanno,,,no,high,notebook,,,
unit-41-classroom,dictionary,noun,dikshinarii,kuusjecha | galmee jechootaa | aseentoo,/ˈdɪkʃɪnɐríː/,yes,medium,dictionary,,,
unit-41-classroom,exercise,noun,gilgaala,ayyaana olkaa | shaakala | dabtara,/ˈɡɪlɡɑːlɐ/,no,medium,exercise,,,
unit-41-classroom,example,noun,fakkeenya,diruu | danda'uu | duroo | dadii,/ˈfɐkːeːɲɐ/,yes,high,example,,,
unit-41-classroom,quiz,noun,battalee,,/ˈbɐtːɐléː/,yes,high,small test/ quiz,,,
unit-41-classroom,mathematics,noun,herreega,,/ˈhɛrːeːɡɐ/,no,high,mathematics,,,
unit-41-classroom,subject,noun,lammii,matima | dirqam beenyaa | isheen | isin,/ˈlɐmːíː/,no,high,"kin, relative tribe",,,
unit-41-classroom,grade,noun,gulantaa,doorani,/ˈɡʊlɐntɑ́ː/,no,high,"grade,step, scale",,,
unit-41-classroom,certificate,noun,iqaama,dippiloma | ragaa dhalootaa | ragaa gaayilaa,/ɪkʼɑːmɐ/,no,high,certificate,,,
unit-41-classroom,education,noun,barnoota,,/ˈbɐrnoːtɐ/,yes,high,education,,,
unit-41-classroom,instruction,noun,eemara,,/eːmɐrɐ/,yes,high,"instruction,order",,,
unit-41-classroom,instructor,noun,barsiiftuu,barsiisaa,/ˈbɐrsiːftúː/,yes,medium,"teacher/coach/instructor/trainer, educator (female)",,,
unit-41-classroom,chart,noun,caatoo,taattoo,/ˈt͡ʃʼɑːtóː/,yes,medium,chart,,,
unit-41-classroom,diagram,noun,caasoo,,/ˈt͡ʃʼɑːsóː/,yes,high,diagram,,,
unit-41-classroom,alphabet,noun,arfii,harfii | qubee | a | A,/ɐrfíː/,yes,medium,alphabet,,,
unit-41-classroom,folder,noun,ukaankaa,ukaankaa haadhoo,/ʊkɑːnkɑ́ː/,no,high,folder,,,
unit-41-classroom,marker,noun,addabaasoo,-uu,/ɐdːɐbɑːsóː/,yes,high,marker,,,
unit-41-classroom,note,noun,nootaa,yaadachiisa | qalbeeffachuu,/ˈnoːtɑ́ː/,no,medium,note (music),,,
unit-41-classroom,examination,noun,qormaata,qoqqorachuu | dalaafii | qorqorti | darbuu,/ˈkʼɔrmɑːtɐ/,no,medium,examination,,,
unit-41-classroom,discipline,noun,namuusa,qummuuchisuu | qummuudachuu | naamusahojii | adabachuu,/ˈnɐmuːsɐ/,no,high,discipline,,,
unit-41-classroom,schedule,noun,sagantee,sagantaa hojii,,no,high,schedule,,,
unit-41-classroom,curriculum,noun,sirna barumsaa,,/ˈsɪrnɐ bɐrʊmsɑ́ː/,no,high,curriculum,,,
unit-41-classroom,register,noun,galmee,galmeessuu | galmeessisuu,/ˈɡɐlméː/,no,high,"register, archive",,,
unit-41-classroom,dormitory,noun,mana cisichaa,,/ˈmɐnɐ t͡ʃʼɪsɪt͡ʃɑ́ː/,no,high,"pension, dormitory",,,
unit-41-classroom,campus,noun,adaalloo,,/ɐdɑːlːóː/,yes,high,campus,,,
