unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-42-reading-writing,grammar,noun,caasluga,seerluga | hirmaata dubbii,/ˈt͡ʃʼɑːslʊɡɐ/,yes,medium,grammar,,,
unit-42-reading-writing,spelling,noun,qubeessa,,/ˈkʼʊbeːsːɐ/,no,high,"spelling, or ethnography",,,
unit-42-reading-writing,vowel,noun,dubbachiftu,dubbachiiftuu,/ˈdʊbːɐt͡ʃɪftʊ/,yes,medium,vowel,,,
unit-42-reading-writing,syllable,noun,birsaga,,/ˈbɪrsɐɡɐ/,yes,high,syllable,,,
unit-42-reading-writing,phrase,noun,gaalee,jirqubee,/ˈɡɑːléː/,no,high,any climbing plant,,,
unit-42-reading-writing,translation,noun,afnaqa,hiika,/ɐfnɐkʼɐ/,yes,high,translation,,,
unit-42-reading-writing,chapter,noun,boqonnaa,buufata,/ˈbɔkʼɔnːɑ́ː/,yes,medium,rest,,,
unit-42-reading-writing,novel,noun,asoosama,asoojaa,/ɐsoːsɐmɐ/,yes,medium,novel (work of fiction),,,
unit-42-reading-writing,poetry,noun,walaloo,,,no,high,poetry,,,
unit-42-reading-writing,author,noun,barreessaa,barreessituu,/ˈbɐrːeːsːɑ́ː/,yes,high,author (masc.),,,
unit-42-reading-writing,print,noun,maxxansoo,maxxansuu | maxxansiifachuu | maxxanuu | dukkaa,/ˈmɐtʼːɐnsóː/,no,high,print,,,
unit-42-reading-writing,comma,noun,qoodduu,,/ˈkʼoːdːúː/,no,high,"distributor, comma",,,
unit-42-reading-writing,apostrophe,noun,abaloo,,/ɐbɐlóː/,yes,high,apostrophe,,,
unit-42-reading-writing,prefix,noun,durarroo,,/ˈdʊrɐrːóː/,yes,high,prefix,,,
unit-42-reading-writing,suffix,noun,fumaayyii,-an | -essa | -siisuu,/ˈfʊmɑːjːíː/,yes,high,suffix,,,
unit-42-reading-writing,idiom,noun,cigoo,jechama,/ˈt͡ʃʼɪɡóː/,yes,high,idiom,,,
unit-42-reading-writing,adjective,noun,ibsa maqaa,maqeentuu,/ɪbsɐ mɐkʼɑ́ː/,no,high,adjective,,,
unit-42-reading-writing,pronoun,noun,maqadhaal,si | ana | sii | anaa,,no,high,pronoun,,,
unit-42-reading-writing,punctuation,noun,sirna tuqaalee,,/ˈsɪrnɐ tʊkʼɑːléː/,no,high,punctuation,,,
unit-42-reading-writing,synonym,noun,moggoyyaa,moggoo,,no,medium,synonym,,,
unit-42-reading-writing,glossary,noun,jibsoo,,/ˈd͡ʒɪbsóː/,no,high,glossary,,,
unit-42-reading-writing,footnote,noun,miljalee,,/ˈmɪld͡ʒɐléː/,no,high,footnote,,,
unit-42-reading-writing,stanza,noun,aanguu,anguu,/ɑːnɡúː/,yes,medium,stanza,,,
unit-42-reading-writing,sketch,noun,saxaxa,hacceeruu,/ˈsɐtʼɐtʼɐ/,no,medium,"draft, sketch, design.",,,
unit-42-reading-writing,manuscript,noun,barruuka,kurii,/ˈbɐrːuːkɐ/,yes,medium,manuscript,,,
