unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-43-shapes-measuring,circle,noun,agaggee,dumbulloo | korabobbee | naannitee | geengoo,/ɐɡɐɡːéː/,yes,medium,circle,,,
unit-43-shapes-measuring,triangle,noun,rogsadee,kofajoo | kofa sadee,,no,high,triangle,,,
unit-43-shapes-measuring,rectangle,noun,afroggee,,/ɐfrɔɡːéː/,yes,high,rectangle,,,
unit-43-shapes-measuring,oval,noun,molaalee,molaalachuu | molaalawuu,/ˈmɔlɑːléː/,no,high,"Oval, egg shaped.",,,
unit-43-shapes-measuring,sphere,noun,luulloo,zoodiyaak,/ˈluːlːóː/,no,high,sphere,,,
unit-43-shapes-measuring,cone,noun,koonii,biilaluu,/ˈkoːníː/,no,high,cone,,,
unit-43-shapes-measuring,cylinder,noun,qaboo,,/ˈkʼɐbóː/,no,high,"container, cylinder",,,
unit-43-shapes-measuring,line,noun,sarara,maaraa | xurree | mudhii | sararoo,/ˈsɐrɐrɐ/,no,medium,line,,,
unit-43-shapes-measuring,dot,noun,qabxii,,/ˈkʼɐbtʼíː/,no,high,"point, dot.",,,
unit-43-shapes-measuring,length,noun,dheerina,dhundhumuu | xaaqaa | dhawuu,/ˈᶑeːrɪnɐ/,yes,high,length,,,
unit-43-shapes-measuring,width,noun,dalgeeta,bal'ina | arbii,/ˈdɐlɡeːtɐ/,yes,medium,width,,,
unit-43-shapes-measuring,height,noun,hojjaa,,,no,high,height,,,
unit-43-shapes-measuring,depth,noun,tuujuba,,/ˈtuːd͡ʒʊbɐ/,no,high,"deep part of body of water, depth",,,
unit-43-shapes-measuring,measurement,noun,bikkooma,malakkee | qazirii | safartuu | farasullaa,/ˈbɪkːoːmɐ/,yes,medium,measurement,,,
unit-43-shapes-measuring,digit,noun,manoo,,/ˈmɐnóː/,no,high,digit,,,
unit-43-shapes-measuring,fraction,noun,hireentaa,,/ˈhɪreːntɑ́ː/,no,high,fraction,,,
unit-43-shapes-measuring,total,noun,waliigala,,/ˈwɐliːɡɐlɐ/,no,high,total,,,
unit-43-shapes-measuring,sum,noun,ida'ama,,,no,high,sum,,,
unit-43-shapes-measuring,quantity,noun,danata,daneeta,/ˈdɐnɐtɐ/,yes,medium,quantity,,,
unit-43-shapes-measuring,amount,noun,hammamtaa,barakatii | gurucii | haasisuu | akkaa ol buufachuu,/ˈhɐmːɐmtɑ́ː/,no,high,amount,,,
unit-43-shapes-measuring,pair,noun,mirree,cimdii | lakkooma | bolaalee | buufamuu,,no,medium,pair,,,
unit-43-shapes-measuring,percent,noun,dhibbeenta,,/ˈᶑɪbːeːntɐ/,yes,high,percent,,,
