unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-45-keeping-clean,soap,noun,adarqii,andarqii | saamunaa | oomoo,/ɐdɐrkʼíː/,yes,medium,soap,,,
unit-45-keeping-clean,comb,noun,faaqqee,filaa | miidoo | mushuxa | chookachuu,/ˈfɑːkʼːéː/,yes,medium,comb,,,
unit-45-keeping-clean,razor,noun,haaduu,chiggiree,,no,medium,knife,,,
unit-45-keeping-clean,scissors,noun,maqxuu,,,no,high,scissors,,,
unit-45-keeping-clean,toilet,noun,boolii,manbobbaa | mana fincaanii | arrigoo,/ˈboːlíː/,yes,medium,toilet,,,
unit-45-keeping-clean,shower,noun,tiifee,tiifuu | gonjollu | tittifuu,/ˈtiːféː/,no,medium,shower (of bath),,,
unit-45-keeping-clean,sponge,noun,liifaa,,,no,high,sponge,,,
unit-45-keeping-clean,cleanliness,noun,qulqullummaa,,/ˈkʼʊlkʼʊlːʊmːɑ́ː/,no,high,cleanliness,,,
unit-45-keeping-clean,dirt,noun,xurii,hoogana | hooganuu | seecca'uu,/ˈtʼʊríː/,no,high,dirt,,,
unit-45-keeping-clean,rubbish,noun,hanshaafa,hoosa | gataa | buyii,/ˈhɐnʃɑːfɐ/,no,medium,junk,,,
unit-45-keeping-clean,garbage,noun,balfaa,buquqaa | huuba,/ˈbɐlfɑ́ː/,yes,medium,"garbage, trash, waste",,,
unit-45-keeping-clean,washing,noun,miiccaa,dhiqannaa | cafaccafa | handoodee | miiccitoo,/ˈmiːt͡ʃʼːɑ́ː/,no,medium,washing (usually cloths),,,
unit-45-keeping-clean,bathing,noun,dhiqannaa,,/ˈᶑɪkʼɐnːɑ́ː/,yes,high,"bathing, washing",,,
unit-45-keeping-clean,perfume,noun,shittoo,dibata | marashii | urgoo,/ˈʃɪtːóː/,no,medium,perfume,,,
unit-45-keeping-clean,faucet,noun,hoombaa,,/ˈhoːmbɑ́ː/,no,high,faucet,,,
unit-45-keeping-clean,sieve,noun,gingilchaa,gingilfachuu | haadha ginglichaa,/ˈɡɪnɡɪlt͡ʃɑ́ː/,no,high,sieve,,,
unit-45-keeping-clean,polishing,noun,soofa,,/ˈsoːfɐ/,no,high,polishing,,,
unit-45-keeping-clean,purification,noun,qulqulleessa,,/ˈkʼʊlkʼʊlːeːsːɐ/,no,high,purification,,,
unit-45-keeping-clean,apron,noun,dalgee,marxifannaa | marxoo | marxisuu | marxuu,/ˈdɐlɡéː/,yes,medium,apron,,,
unit-45-keeping-clean,diaper,noun,huccuu fincaanii,,/ˈhʊt͡ʃʼːuː fɪnt͡ʃʼɑːníː/,no,high,diaper,,,
unit-45-keeping-clean,pajamas,noun,uffannaa halkanii,,/ʊfːɐnːɑː hɐlkɐníː/,no,high,pajamas,,,
unit-45-keeping-clean,wax,noun,gagaa,guurii | dungoo,/ˈɡɐɡɑ́ː/,yes,high,wax,,,
unit-45-keeping-clean,filter,noun,abaccarii,dhimbiibaa | abaccaruu | miluu | dhimbiibuu,/ɐbɐt͡ʃʼːɐríː/,yes,medium,"sweeper, filter",,,
unit-45-keeping-clean,filtration,noun,calalli,dhimbiiba,/ˈt͡ʃʼɐlɐlːɪ/,yes,high,filtration,,,
unit-45-keeping-clean,washer,noun,wushaala,,/ˈwʊʃɑːlɐ/,no,high,"washer, wedge",,,
