unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-46-clothes-more,jacket,noun,kooluu,,/ˈkoːlúː/,no,high,asylum,,,
unit-46-clothes-more,sweater,noun,shurraaba,,,no,high,sweater,,,
unit-46-clothes-more,socks,noun,miilee,,/ˈmiːléː/,no,high,socks,,,
unit-46-clothes-more,sandals,noun,caantaa,,/ˈt͡ʃʼɑːntɑ́ː/,yes,high,"slipper, sandals",,,
unit-46-clothes-more,boot,noun,astawallii,,/ɐstɐwɐlːíː/,yes,high,boot,,,
unit-46-clothes-more,gloves,noun,harkeellaa,,/ˈhɐrkeːlːɑ́ː/,no,high,gloves,,,
unit-46-clothes-more,underwear,noun,jalaanii,,,no,high,underwear,,,
unit-46-clothes-more,vest,noun,sadarya,,,no,high,vest,,,
unit-46-clothes-more,uniform,noun,walagoo,,/ˈwɐlɐɡóː/,no,high,uniform (of cloth),,,
unit-46-clothes-more,zip,noun,shaarneellaa,nooba | iyyaatoo teessoo,/ˈʃɑːrneːlːɑ́ː/,no,high,zip,,,
unit-46-clothes-more,collar,noun,mormee,calcallee,/ˈmɔrméː/,no,high,collar,,,
unit-46-clothes-more,lace,noun,teemsaa,,/ˈteːmsɑ́ː/,no,high,lace,,,
unit-46-clothes-more,purse,noun,koro'oo,cooruu,,no,high,purse,,,
unit-46-clothes-more,wallet,noun,ilbaa,korojoo,/ɪlbɑ́ː/,no,medium,wallet,,,
unit-46-clothes-more,umbrella,noun,dibaabee,agoobara | dibaaba | daatuu | dondaa,/ˈdɪbɑːbéː/,yes,medium,umbrella,,,
unit-46-clothes-more,garment,noun,wayaa,daara | oolbaa | jaanoo | muraa,/ˈwɐjɑ́ː/,no,medium,garment,,,
unit-46-clothes-more,silk,noun,arrii,haarrii | algee | habarir,/ɐrːíː/,yes,high,silk,,,
unit-46-clothes-more,flannel,noun,uffannaajalee,caabetaa,/ʊfːɐnːɑːd͡ʒɐléː/,no,high,flannel,,,
unit-46-clothes-more,embroidery,noun,kuullata,,/ˈkuːlːɐtɐ/,no,high,embroidery,,,
unit-46-clothes-more,veil,noun,haguuggii fuulaa,,/ˈhɐɡuːɡːiː fuːlɑ́ː/,no,high,veil,,,
unit-46-clothes-more,sheath,noun,satoo,,/ˈsɐtóː/,no,high,sheath,,,
unit-46-clothes-more,stocking,noun,lukeellaa,,/ˈlʊkeːlːɑ́ː/,no,high,stocking,,,
unit-46-clothes-more,accessories,noun,iddaannoo,,/ɪdːɑːnːóː/,no,high,accessories,,,
unit-46-clothes-more,badge,noun,iyyaatoo,,/ɪjːɑːtóː/,no,high,"tag, badge",,,
