unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-47-food-more,yogurt,noun,itittuu,hitittuu | aannan itittuu | itichuu,,no,medium,yogurt,,,
unit-47-food-more,pasta,noun,paastaa,,/ˈpɑːstɑ́ː/,yes,high,pasta,,,
unit-47-food-more,salad,noun,salaaxaa,,,no,high,salad,,,
unit-47-food-more,sandwich,noun,ambatiitoo,,/ɐmbɐtiːtóː/,yes,high,sandwich,,,
unit-47-food-more,pancake,noun,maxinoo,naccii,,no,high,pancake,,,
unit-47-food-more,popcorn,noun,hungaa,xaaxee,/ˈhʊnɡɑ́ː/,no,medium,see 'akaayii',,,
unit-47-food-more,oats,noun,hayisaa,matajaboo,/ˈhɐjɪsɑ́ː/,no,medium,oats,,,
unit-47-food-more,vinegar,noun,angaggee,,/ɐnɡɐɡːéː/,yes,high,vinegar,,,
unit-47-food-more,mustard,noun,sinaabii,,/ˈsɪnɑːbíː/,no,high,"mustard, sauce, seed or plant",,,
unit-47-food-more,ingredient,noun,heemara,bulbuluu,/ˈheːmɐrɐ/,no,high,ingredient,,,
unit-47-food-more,bacon,noun,foonjajii,,/ˈfoːnd͡ʒɐd͡ʒíː/,yes,high,bacon,,,
unit-47-food-more,cinnamon,noun,qarafaa,,,no,high,cinnamon,,,
unit-47-food-more,cumin,noun,abasuuda,absuuda | habasuuda | abasuuda adii | abasuuda gurraacha,/ɐbɐsuːdɐ/,yes,medium,cumin,,,
unit-47-food-more,syrup,noun,damma nadhii,,/ˈdɐmːɐ nɐᶑíː/,yes,high,syrup,,,
unit-47-food-more,mushroom,noun,amboshillaa,ingudaayee | shashara | harraagoo | horroqoo,/ɐmbɔʃɪlːɑ́ː/,yes,medium,mushroom,,,
unit-47-food-more,malt,noun,biqila,biqilfachuu,/ˈbɪkʼɪlɐ/,yes,high,"malt, fresh green shoots, sprouting grain",,,
unit-47-food-more,flavor,noun,dhandhama,dhandhamuu | lajooja'uu,/ˈᶑɐnᶑɐmɐ/,yes,high,"taste, flavor",,,
unit-47-food-more,relish,noun,dapha,ittoo | qettoo,/ˈdɐpʼɐ/,yes,high,relish,,,
unit-47-food-more,edible,noun,nyaatamaa,ashooka | baddeessa | biiqaa | zayituunaa,/ˈɲɑːtɐmɑ́ː/,no,high,"eat, edible",,,
unit-47-food-more,boiled,noun,affeellaa,aboolii | ashuuqqii | baqqana | foonaffeellii,/ɐfːeːlːɑ́ː/,yes,high,boiled (especially meat),,,
unit-47-food-more,toasted,noun,agaalabbii,,/ɐɡɑːlɐbːíː/,yes,high,"toasted (of grain, flour)",,,
unit-47-food-more,mouthful,noun,luqumi,qaphii | ciffachisuu | ciffachuu | qaphaa'uu,/ˈlʊkʼʊmɪ/,no,medium,mouthful,,,
