unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-48-fruit-more,lime,noun,habaraasaa,loomii | baraasa | baraashaa | hoofii,/ˈhɐbɐrɑːsɑ́ː/,no,medium,lime (chemical compound),,,
unit-48-fruit-more,peach,noun,kookii,,/ˈkoːkíː/,no,high,peach,,,
unit-48-fruit-more,watermelon,noun,luxxe,,/ˈlʊtʼːɛ/,no,high,watermelon,,,
unit-48-fruit-more,coconut,noun,bugii,,/ˈbʊɡíː/,yes,high,"coconut, coconut palm",,,
unit-48-fruit-more,peas,noun,carandada,ashuuqqii | hardooma | unkutachuu,/ˈt͡ʃʼɐrɐndɐdɐ/,yes,high,"boiled beans, peas, on crucifixion",,,
unit-48-fruit-more,ginger,noun,ginjibila,jijimbila,/ˈɡɪnd͡ʒɪbɪlɐ/,no,medium,ginger,,,
unit-48-fruit-more,chili,noun,mimmixa,daabbusee | xiriffee | hocola | qocqocaa,/ˈmɪmːɪtʼɐ/,no,medium,chili,,,
unit-48-fruit-more,fruits,noun,ija mukaa,gumarii | koshommii | mattaree | midhoo,/ɪd͡ʒɐ mʊkɑ́ː/,no,high,fruits/seeds of trees,,,
unit-48-fruit-more,vegetable,noun,ashaakiltii,kuduraa | bonee | gordii | liimmaa,/ɐʃɑːkɪltíː/,yes,medium,vegetable,,,
unit-48-fruit-more,beet,noun,dindaa,burii,/ˈdɪndɑ́ː/,yes,high,beet,,,
unit-48-fruit-more,berry,noun,goraa,hugufee | duuddoo,,no,high,berry,,,
unit-48-fruit-more,peanut,noun,ocholoonii,,,no,high,peanut,,,
unit-48-fruit-more,soybean,noun,ashanquree,,/ɐʃɐnkʼʊréː/,yes,high,soybean,,,
unit-48-fruit-more,rye,noun,omborii,,/ɔmbɔríː/,no,high,Rye,,,
unit-48-fruit-more,seedlings,noun,magartuu,,/ˈmɐɡɐrtúː/,no,high,"seedlings, proper name (fem)",,,
unit-48-fruit-more,stalk,noun,hagadaa,somaa | mujaa | qummoo | sandaaboo,/ˈhɐɡɐdɑ́ː/,no,medium,stalk,,,
unit-48-fruit-more,ripe,noun,bilchina,gaamaruu | samsuu | samuu | asheeta,/ˈbɪlt͡ʃɪnɐ/,yes,high,"ripe, maturity",,,
unit-48-fruit-more,harvesting,noun,haamicha,sabsii | imamii | imamuu | imamii baasuu,/ˈhɑːmɪt͡ʃɐ/,no,high,the act of mowing/harvesting,,,
unit-48-fruit-more,compost,noun,kosii,dikeessuu,,no,high,compost,,,
unit-48-fruit-more,fertile,noun,qaljii,gabbachuu,/ˈkʼɐld͡ʒíː/,no,high,"fertile, rich (soil)",,,
