unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-49-drinks-sweets,wine,noun,aynaba,hidda reeffaa | mana daadhii,/ɐjnɐbɐ/,yes,high,wine,,,
unit-49-drinks-sweets,sweetness,noun,mi'aayina,,/ˈmɪʔɑːjɪnɐ/,no,high,expensiveness,,,
unit-49-drinks-sweets,straw,noun,hichaacha,qashxii | barsii | hibbiqii | cidii,/ˈhɪt͡ʃɑːt͡ʃɐ/,no,medium,straw,,,
unit-49-drinks-sweets,flask,noun,faashkoo,,/ˈfɑːʃkóː/,yes,high,flask,,,
unit-49-drinks-sweets,jar,noun,siiba,jaaloo | huuroo | barcaa | cuggee,/ˈsiːbɐ/,no,medium,jar,,,
unit-49-drinks-sweets,beverage,noun,dhugdoo,,/ˈᶑʊɡdóː/,yes,high,"beverage, drink, strong drink",,,
unit-49-drinks-sweets,brewer,noun,naqxuu,,/ˈnɐkʼtʼúː/,no,high,brewer,,,
unit-49-drinks-sweets,brewery,noun,naqilla,,/ˈnɐkʼɪlːɐ/,no,high,brewery,,,
unit-49-drinks-sweets,whey,noun,aangubaa,,/ɑːnɡʊbɑ́ː/,yes,high,whey,,,
unit-49-drinks-sweets,sip,noun,abbuuqqannoo,abbuuqqii | habbuuqqannoo | hanbooqqannaa | unuu,/ɐbːuːkʼːɐnːóː/,yes,medium,"gulp, sip",,,
unit-49-drinks-sweets,canteen,noun,buraashee,,/ˈbʊrɑːʃéː/,yes,high,canteen,,,
unit-49-drinks-sweets,pitcher,noun,fuggee,moqorqoraa,/ˈfʊɡːéː/,yes,medium,pitcher,,,
unit-49-drinks-sweets,funnel,noun,dhullee,naqqii | naqxuu | dhimbiibaa,/ˈᶑʊlːéː/,yes,medium,drinking ground,,,
unit-49-drinks-sweets,steam,noun,hurka,,,no,high,steam,,,
unit-49-drinks-sweets,fermented,noun,bubbukaa'aa,budaayaa | siljoo | xafxafa | bilillee,/ˈbʊbːʊkɑːʔɑ́ː/,yes,high,fermented,,,
