unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-50-celebrations,birthday,noun,ashaabala,gubbee buufata,/ɐʃɑːbɐlɐ/,yes,high,birthday,,,
unit-50-celebrations,celebration,noun,ayyaaneffannaa,mareewoo | facaafachuu,/ɐjːɑːnɛfːɐnːɑ́ː/,yes,high,celebration,,,
unit-50-celebrations,festival,noun,dhangaa,jila | mareewoo | ukee | cabaloo,/ˈᶑɐnɡɑ́ː/,yes,medium,festival,,,
unit-50-celebrations,marriage,noun,fuudha,fuudhaafiheeruma | bultii | heeruma | abaabbaltii,/ˈfuːᶑɐ/,yes,medium,marriage (male),,,
unit-50-celebrations,party,noun,paartii,gogeessa | jaarmiyaa | dhaaba | deebii,/ˈpɑːrtíː/,yes,medium,party,,,
unit-50-celebrations,guests,noun,keessummoota,gaggeefachuu,/ˈkeːsːʊmːoːtɐ/,no,high,guests,,,
unit-50-celebrations,present,noun,argaa,ammii | ooge | si'ana | geega'oo,/ɐrɡɑ́ː/,yes,high,"gift, present",,,
unit-50-celebrations,christmas,noun,gannaa,,/ˈɡɐnːɑ́ː/,no,high,christmas,,,
unit-50-celebrations,valentine,noun,vaalantaayin,,/ˈvɑːlɐntɑːjɪn/,yes,high,valentine,,,
unit-50-celebrations,anniversary,noun,kistaana,,/ˈkɪstɑːnɐ/,no,high,"monument, statue",,,
unit-50-celebrations,invitation,noun,afeerraa,waamicha,/ɐfeːrːɑ́ː/,yes,medium,invitation,,,
unit-50-celebrations,greeting,noun,yooyyaa,harka fuudhuu | nagaa gaafachuu | uggumuu,/ˈjoːjːɑ́ː/,no,high,"greeting, salutation",,,
unit-50-celebrations,crown,noun,gomfoo,gonfoo | moottessuu | gonfuu,/ˈɡɔmfóː/,no,medium,crown,,,
unit-50-celebrations,photograph,noun,suura,,,no,high,photograph,,,
unit-50-celebrations,picture,noun,fakkii,suuraa | ogfakkii,/ˈfɐkːíː/,yes,medium,picture,,,
unit-50-celebrations,memory,noun,kuufannoo,qaxabii,/ˈkuːfɐnːóː/,no,medium,memory,,,
unit-50-celebrations,coronation,noun,mooteffannoo,,/ˈmoːtɛfːɐnːóː/,no,high,coronation,,,
unit-50-celebrations,commemoration,noun,yaadannoo,daaccii | kistaana,/ˈjɑːdɐnːóː/,no,high,commemoration,,,
unit-50-celebrations,decoration,noun,faaya,gonnobbee,/ˈfɑːjɐ/,yes,high,"decoration, omament.",,,
unit-50-celebrations,lullaby,noun,hururuu,hurursiisuu | urursiisuu,/ˈhʊrʊrúː/,no,high,lullaby,,,
unit-50-celebrations,chanting,noun,yeekkartii,,/ˈjeːkːɐrtíː/,no,high,chanting,,,
unit-50-celebrations,celebrating,noun,ayyaaneffannoo,masqala,/ɐjːɑːnɛfːɐnːóː/,yes,high,celebrating,,,
unit-50-celebrations,enjoyment,noun,boohartii,,/ˈboːhɐrtíː/,yes,high,"enjoyment, satisfaction",,,
unit-50-celebrations,entertainment,noun,bohaartii,mukuu ba'uu,/ˈbɔhɑːrtíː/,yes,high,entertainment,,,
unit-50-celebrations,ornament,noun,foroora,dirii | saakura | abeenta | gonnobbee,/ˈfɔroːrɐ/,yes,medium,ornament,,,
