unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-51-face-head,face,noun,fuula,kipha | wassee | goggoolboo | figgimsuu,/ˈfuːlɐ/,yes,high,face,,,
unit-51-face-head,forehead,noun,adda,bulloo | illee | booqaa | kiphuu,/ɐdːɐ/,yes,high,forehead,,,
unit-51-face-head,cheek,noun,maddii,boqota | daankaa,,no,high,cheek,,,
unit-51-face-head,chin,noun,maloolee,shangoobata,/ˈmɐloːléː/,no,medium,chin,,,
unit-51-face-head,jaw,noun,a'ama,boqota | manjalloo | mangagaa gubbaa | mangagaa jalaa,/ɐʔɐmɐ/,yes,high,jaw,,,
unit-51-face-head,eyelash,noun,nyaara,,,no,high,eyelash,,,
unit-51-face-head,nostril,noun,qaatee funyaanii,,/ˈkʼɑːteː fʊɲɑːníː/,no,high,nostril,,,
unit-51-face-head,gum,noun,ididdii,haancaa | alaanfattoo | alanfattoo | alteeta,/ɪdɪdːíː/,no,medium,gum,,,
unit-51-face-head,throat,noun,qoonqoo,kokkee | dodo'oo | aakkifachuu,,no,medium,throat,,,
unit-51-face-head,beard,noun,areeda,rifeensa areedaa | areeda baasuu,/ɐreːdɐ/,no,high,beard,,,
unit-51-face-head,moustache,noun,hephe,rifeensa afarsoo,/ˈhɛpʼɛ/,no,high,moustache,,,
unit-51-face-head,mustache,noun,afkarroo,areeda,/ɐfkɐrːóː/,yes,medium,mustache,,,
unit-51-face-head,skull,noun,buqqee mataa,,/ˈbʊkʼːeː mɐtɑ́ː/,yes,high,skull,,,
unit-51-face-head,brain,noun,hanqulla,surrii | hoji sammuu,/ˈhɐnkʼʊlːɐ/,no,medium,brain (medulla),,,
unit-51-face-head,wrinkle,noun,suntuuruu,shuntuuruu | minyaa | qoncoorsuu | suntuursuu,/ˈsʊntuːrúː/,no,medium,wrinkle,,,
unit-51-face-head,smile,noun,qummaadduu,seeqqachuu | qummaaduu | seequu | kofla,/ˈkʼʊmːɑːdːúː/,no,medium,sharp grass,,,
unit-51-face-head,tear,noun,imimmaan,immimamaan | biinxuu | ciruu | seexa'uu,/ɪmɪmːɑːn/,no,medium,tear,,,
unit-51-face-head,eyeball,noun,boolla ijaa,,/ˈboːlːɐ ɪd͡ʒɑ́ː/,yes,high,eyeball,,,
unit-51-face-head,eyelashes,noun,labooba,,/ˈlɐboːbɐ/,no,high,flame,,,
unit-51-face-head,palate,noun,laagaa,,/ˈlɑːɡɑ́ː/,no,high,palate,,,
unit-51-face-head,curl,noun,martuu,luuccaa,/ˈmɐrtúː/,no,medium,curl (type ot hair),,,
unit-51-face-head,tattoo,noun,niqisii,tumaa | tumuu | guraamalee | tumachuu,/ˈnɪkʼɪsíː/,no,medium,tattoo,,,
unit-51-face-head,scent,noun,foolii,fooliifuuchuu | fuunfachuu | suufuu,/ˈfoːlíː/,yes,medium,"smell, scent, odor",,,
