unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-52-limbs-bones,elbow,noun,ciqilee,ciqilchuu,/ˈt͡ʃʼɪkʼɪléː/,yes,high,elbow,,,
unit-52-limbs-bones,thumb,noun,abbuudduu,abbudduu | abgudduu | abhudduu | abudduu,/ɐbːuːdːúː/,yes,medium,thumb,,,
unit-52-limbs-bones,knuckle,noun,buusaa,kurkumuu,/ˈbuːsɑ́ː/,yes,high,knuckle,,,
unit-52-limbs-bones,hip,noun,huffaa,luqqeettuu | mataa tafaa,/ˈhʊfːɑ́ː/,no,medium,hip,,,
unit-52-limbs-bones,thigh,noun,gudeeda,mataa tafaa | gudeeda dhiigsuu,/ˈɡʊdeːdɐ/,no,high,"thigh, lap",,,
unit-52-limbs-bones,ankle,noun,kibirii,korony'oo | koomee | faanga'uu,/ˈkɪbɪríː/,no,medium,ankle,,,
unit-52-limbs-bones,heel,noun,shonoo,taakkoo | hirba | shonee,/ˈʃɔnóː/,no,medium,heel,,,
unit-52-limbs-bones,bone,noun,lafee,boqota | buqqa'a | daankaa | dhuka,,no,high,bone,,,
unit-52-limbs-bones,spine,noun,miqiqqirii,gadamsa | marsisuu | dafqisiisuu | foosisuu,,no,high,"spine, backbone",,,
unit-52-limbs-bones,joint,noun,haangii,lilimma | dachaafattuu | hududduu | uka,/ˈhɑːnɡíː/,no,medium,joint,,,
unit-52-limbs-bones,muscle,noun,antuutee,hantuuttee | maashaa | maashaalee | irree,/ɐntuːtéː/,yes,medium,muscle,,,
unit-52-limbs-bones,tendon,noun,morgaa,mogolee | ribuu | mogoluu,/ˈmɔrɡɑ́ː/,no,high,"tendon, nerve",,,
unit-52-limbs-bones,ligament,noun,ribuu,,/ˈrɪbúː/,no,high,ligament,,,
unit-52-limbs-bones,waist,noun,mudhii,awwadachuu,/ˈmʊᶑíː/,no,high,"waist, line",,,
unit-52-limbs-bones,armpit,noun,bobaa,komoo | uka | rifeensa bobaa,/ˈbɔbɑ́ː/,yes,medium,armpit,,,
unit-52-limbs-bones,buttocks,noun,fagaara,hudduu | kofoo,/ˈfɐɡɑːrɐ/,yes,high,buttocks,,,
unit-52-limbs-bones,pelvis,noun,qinxii,,/ˈkʼɪntʼíː/,no,high,"flank, loins, pelvis",,,
unit-52-limbs-bones,calves,noun,jabbilee,jabboota | busaayee | hambawoo | tugga'uu,/ˈd͡ʒɐbːɪléː/,no,medium,"plural of calf, calves",,,
unit-52-limbs-bones,fist,noun,aboottuu,dabanaasa | aboottee | haboottaa | haboottifachuu,/ɐboːtːúː/,yes,medium,fist,,,
unit-52-limbs-bones,abdomen,noun,macoo,garaa,/ˈmɐt͡ʃʼóː/,no,medium,"abdomen, belly",,,
unit-52-limbs-bones,posture,noun,naqa,sansaankaa | dhaabbata | ijjata,/ˈnɐkʼɐ/,no,medium,posture,,,
unit-52-limbs-bones,stride,noun,tarkaanfii,tarkaanfachuu,/ˈtɐrkɑːnfíː/,no,high,a stride/ step,,,
