unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-53-organs,lung,noun,somba,sombee,,no,high,lung,,,
unit-53-organs,liver,noun,tiruu,kochee | hakimii tiruu,/ˈtɪrúː/,no,high,liver,,,
unit-53-organs,kidney,noun,kalee,hephoo | odongoree,,no,high,kidney,,,
unit-53-organs,intestine,noun,mar'imaan,xeerii | mar'ummaan | macuree | mushii,/ˈmɐrʔɪmɑːn/,no,medium,"intestine,",,,
unit-53-organs,bladder,noun,afuuffee,hafuuffee,/ɐfuːfːéː/,yes,medium,bladder,,,
unit-53-organs,womb,noun,gadameessa,ulfa seexanaa,/ˈɡɐdɐmeːsːɐ/,no,high,"uterus, womb",,,
unit-53-organs,artery,noun,go'aa,hidda,/ˈɡɔʔɑ́ː/,no,medium,artery,,,
unit-53-organs,breath,noun,afuura,hafuura | afuursuu | ruhii | silliksuu,/ɐfuːrɐ/,yes,medium,breath.,,,
unit-53-organs,gland,noun,xandhacha,liqqamii | miciree xannachaa | ulfa seexanaa,/ˈtʼɐnᶑɐt͡ʃɐ/,no,high,gland,,,
unit-53-organs,hormone,noun,hoormoonii,,/ˈhoːrmoːníː/,no,high,hormone,,,
unit-53-organs,cell,noun,lubbiyyoo,miciree | dhagaa baatrii | hirmaata seelii | marsiyyaa miciree,/ˈlʊbːɪjːóː/,no,high,"germ, cell",,,
unit-53-organs,saliva,noun,logoga,xiiqqi,/ˈlɔɡɔɡɐ/,no,high,saliva,,,
unit-53-organs,urine,noun,fincaan,caancoo | uusoo,/ˈfɪnt͡ʃʼɑːn/,yes,high,urine,,,
unit-53-organs,marrow,noun,macharii,dhuka,/ˈmɐt͡ʃɐríː/,no,high,marrow,,,
unit-53-organs,bowels,noun,focoo,machoo | deeqqa'uu,/ˈfɔt͡ʃʼóː/,yes,medium,"bowels, entrails, insides",,,
unit-53-organs,embryo,noun,curraa,,/ˈt͡ʃʼʊrːɑ́ː/,yes,high,embryo,,,
unit-53-organs,mucus,noun,furrii,,/ˈfʊrːíː/,yes,high,mucus/ nasal discharge,,,
unit-53-organs,diaphragm,noun,afuddaa,,/ɐfʊdːɑ́ː/,yes,high,diaphragm,,,
unit-53-organs,oxygen,noun,hadhituu,,/ˈhɐᶑɪtúː/,no,high,oxygen,,,
unit-53-organs,vessel,noun,karfoo,aammoo | elemtuu | gongaa | hokolee,/ˈkɐrfóː/,no,high,vessel (for milking),,,
unit-53-organs,lobe,noun,nyabbaa,,/ˈɲɐbːɑ́ː/,no,high,lobe,,,
