unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-54-illness,bruise,noun,harriiqqaa,godaannisa | haxiixxaa,/ˈhɐrːiːkʼːɑ́ː/,no,medium,bruise,,,
unit-54-illness,blister,noun,dhubba,,/ˈᶑʊbːɐ/,yes,high,blister,,,
unit-54-illness,allergy,noun,adanyoo,,/ɐdɐɲóː/,yes,high,allergy,,,
unit-54-illness,infection,noun,bacawwii,mimm'oo,/ˈbɐt͡ʃʼɐwːíː/,yes,high,infection,,,
unit-54-illness,disease,noun,hilbiisa,dhukkuba | dhibee | addeessaa | awwaaroo,/ˈhɪlbiːsɐ/,no,medium,good for nothing,,,
unit-54-illness,malaria,noun,urguftuu,owaangayuu,/ʊrɡʊftúː/,no,high,malaria,,,
unit-54-illness,measles,noun,yagudufii,gifira,/ˈjɐɡʊdʊfíː/,no,medium,measles,,,
unit-54-illness,diarrhea,noun,albaasa,albaatii | xeensa | kaasaa | albaasuu,/ɐlbɑːsɐ/,yes,medium,diarrhea,,,
unit-54-illness,nausea,noun,locaa,lollojji | loccuu,,no,medium,nausea,,,
unit-54-illness,vomiting,noun,haqqisa,lollojji,/ˈhɐkʼːɪsɐ/,no,high,vomiting,,,
unit-54-illness,pill,noun,kinniinii,,,no,high,pill,,,
unit-54-illness,vaccine,noun,talaala,,/ˈtɐlɑːlɐ/,no,high,vaccine,,,
unit-54-illness,syringe,noun,marfee,,/ˈmɐrféː/,no,high,"syringe, a device used for injecting or drawing fluids through a membrane.",,,
unit-54-illness,plaster,noun,dhoobuu,maraga | dhoobsisuu,/ˈᶑoːbúː/,yes,high,"smear, plaster (mud)",,,
unit-54-illness,healing,noun,fayyina,,/ˈfɐjːɪnɐ/,yes,high,"healing, salivation",,,
unit-54-illness,eczema,noun,suuka,sibiji,/ˈsuːkɐ/,no,medium,eczema,,,
unit-54-illness,epilepsy,noun,afkuta,gageabdoo,/ɐfkʊtɐ/,yes,high,epilepsy,,,
unit-54-illness,migraine,noun,bowwoo jaanjessaa,,/ˈbɔwːoː d͡ʒɑːnd͡ʒɛsːɑ́ː/,yes,high,migraine,,,
unit-54-illness,rabies,noun,nyanyee,,,no,high,rabies,,,
unit-54-illness,leprosy,noun,qurcummaa,qurcaawuu,/ˈkʼʊrt͡ʃʼʊmːɑ́ː/,no,high,leprosy,,,
unit-54-illness,diarrhoea,noun,garaa kaasa,,,no,high,diarrhoea,,,
unit-54-illness,poisoning,noun,hadheessii,summaa'u nyaata,/ˈhɐᶑeːsːíː/,no,high,poIsoning,,,
unit-54-illness,antidote,noun,areertii,,/ɐreːrtíː/,yes,high,"antidote, antivenin",,,
unit-54-illness,vaccination,noun,birkaana,talaallii,/ˈbɪrkɑːnɐ/,yes,medium,vaccination,,,
unit-54-illness,coughing,noun,qufaa,qoqqofa'uu,,no,high,"cough, coughing",,,
