unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-57-feelings-fear,terror,noun,goolii,goolii diimaa,/ˈɡoːlíː/,no,high,"violence, disturbance, terror",,,
unit-57-feelings-fear,horror,noun,naasuu,,,no,high,horror,,,
unit-57-feelings-fear,panic,noun,shororkaa,baaraga,,no,medium,panic,,,
unit-57-feelings-fear,worry,noun,cinqaa,dhiphachuu | yaaddoo | yaadda'uu | mankaraaruu,/ˈt͡ʃʼɪnkʼɑ́ː/,yes,medium,worry/tension,,,
unit-57-feelings-fear,anxiety,noun,siqiqa,yaaddessuu,/ˈsɪkʼɪkʼɐ/,no,high,anxiety,,,
unit-57-feelings-fear,shock,noun,tuulama,suukanneessuu | rifachuu,/ˈtuːlɐmɐ/,no,medium,"shock, pile, stored",,,
unit-57-feelings-fear,hatred,noun,jibba,jibbina,,no,high,"hate, hatred",,,
unit-57-feelings-fear,jealousy,noun,inaaffi,weenna | hinaaffii | goomii,/ɪnɑːfːɪ/,no,medium,jealousy,,,
unit-57-feelings-fear,envy,noun,hinaaffii,goomii | inaafuu | goomachiisuu | walhinaafuu,,no,medium,envy,,,
unit-57-feelings-fear,revenge,noun,aaloo,ijaa | booree | dhiiga baasa | haaloo,/ɑːlóː/,yes,medium,protocol,,,
unit-57-feelings-fear,grudge,noun,komannaa,quuqqaa | komii | aalachuu,/ˈkɔmɐnːɑ́ː/,no,medium,a grudge,,,
unit-57-feelings-fear,silence,noun,calleensa,callisa,/ˈt͡ʃʼɐlːeːnsɐ/,yes,medium,silence,,,
unit-57-feelings-fear,bravery,noun,dhiirummaa,goonummaa | gootummaa,/ˈᶑiːrʊmːɑ́ː/,yes,medium,being a man,,,
unit-57-feelings-fear,surprise,noun,amankaaka,dinqisiisuu | raajii | maadeeffachuu | maalalchuu,/ɐmɐnkɑːkɐ/,yes,high,surprise,,,
unit-57-feelings-fear,anguish,noun,darara,injifachiisuu,/ˈdɐrɐrɐ/,yes,high,"anguish, misery, agony, problem",,,
unit-57-feelings-fear,despair,noun,hijibbaata,ijibbaata,/ˈhɪd͡ʒɪbːɑːtɐ/,no,medium,despair,,,
unit-57-feelings-fear,distress,noun,damacaa,rakkina | rakkachuu,/ˈdɐmɐt͡ʃʼɑ́ː/,yes,medium,flat stone for crushing cotton,,,
unit-57-feelings-fear,remorse,noun,seenaa,gara nyaattoo,,no,high,history,,,
unit-57-feelings-fear,bitterness,noun,hadheenya,,/ˈhɐᶑeːɲɐ/,no,high,bitterness,,,
unit-57-feelings-fear,enmity,noun,farrummaa,nyaaphummaa,/ˈfɐrːʊmːɑ́ː/,yes,medium,enmity,,,
unit-57-feelings-fear,hostility,noun,amajajummaa,,/ɐmɐd͡ʒɐd͡ʒʊmːɑ́ː/,yes,high,"hostility, antagonism",,,
unit-57-feelings-fear,humiliation,noun,salphina,,,no,high,disgrace,,,
unit-57-feelings-fear,disgust,noun,nuffii,gofonnonuu | suuka'uu,/ˈnʊfːíː/,no,medium,"disgust ,bore",,,
unit-57-feelings-fear,suspicion,noun,shakkii,cicannoo | bir'a | bir'achuu,,no,medium,doubt,,,
unit-57-feelings-fear,hesitation,noun,mamii,,/ˈmɐmíː/,no,high,hesitation,,,
