unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-58-character,generosity,noun,arjummaa,arjooma | raamata,/ɐrd͡ʒʊmːɑ́ː/,yes,medium,generosity,,,
unit-58-character,gentleness,noun,aannanummaa,dansuma,/ɑːnːɐnʊmːɑ́ː/,yes,medium,milky,,,
unit-58-character,politeness,noun,tuujubamaa,,/ˈtuːd͡ʒʊbɐmɑ́ː/,no,high,politeness,,,
unit-58-character,obedience,noun,abboomama,,/ɐbːoːmɐmɐ/,yes,high,obedience,,,
unit-58-character,cleverness,noun,abshaalummaa,qaruuxummaa | qaanqurooma,/ɐbʃɑːlʊmːɑ́ː/,yes,medium,cleverness,,,
unit-58-character,laziness,noun,dhibaa'ummaa,,/ˈᶑɪbɑːʔʊmːɑ́ː/,yes,high,laziness,,,
unit-58-character,arrogance,noun,oftuulummaa,,/ɔftuːlʊmːɑ́ː/,no,high,"arrogance, proudy chauvinisme, false pride,",,,
unit-58-character,selfishness,noun,doqnumma,doqnoomuu,/ˈdɔkʼnʊmːɐ/,yes,high,"meanness, selfishness",,,
unit-58-character,cruelty,noun,hammeenya,hammina,,no,medium,cruelty,,,
unit-58-character,coward,noun,nadheen,nadhoo,/ˈnɐᶑeːn/,no,medium,woman,,,
unit-58-character,liar,noun,buuftuu,uffee | haadha sobaa,/ˈbuːftúː/,yes,high,a woman who fans fire with a pair of bellows,,,
unit-58-character,thief,noun,hattuu,afarsaataa,,no,high,thief,,,
unit-58-character,fool,noun,jiraaroo,gowwoomsuu | faajjeessuu | gowwoomuu | faajawuu,/ˈd͡ʒɪrɑːróː/,no,high,fool,,,
unit-58-character,idiot,noun,gadareessa,gowwaa | fujujuu | yaraa,/ˈɡɐdɐreːsːɐ/,no,medium,idiot,,,
unit-58-character,bully,noun,sossodaachisuu,,/ˈsɔsːɔdɑːt͡ʃɪsúː/,no,high,"black maily, bully, threaten",,,
unit-58-character,manner,noun,akkii,cufaatii | kottonfannaa | baalagoomuu | xeebuu,/ɐkːíː/,yes,high,"situation, manner, condition",,,
unit-58-character,habit,noun,bartee,haraaraa,/ˈbɐrtéː/,yes,high,habit,,,
unit-58-character,cunning,noun,qarummaa,,/ˈkʼɐrʊmːɑ́ː/,no,high,intellectual,,,
unit-58-character,dignity,noun,manyaaqa,marabbaa | surraa | manyaaquu | maanyaaquu,/ˈmɐɲɑːkʼɐ/,no,medium,dignity,,,
unit-58-character,generous,noun,toltuu,toluu | arjoomuu,/ˈtɔltúː/,no,high,generous. (of fem),,,
unit-58-character,foolishness,noun,gowwummaa,,/ˈɡɔwːʊmːɑ́ː/,no,high,"foolishness, stupidity",,,
unit-58-character,stupidity,noun,dheegalumma,gowwummaa | raatummaa | wallaala,/ˈᶑeːɡɐlʊmːɐ/,yes,medium,"stupidity, ignorance",,,
unit-58-character,timid,noun,dhalfa,,/ˈᶑɐlfɐ/,yes,high,reproductive organ of a cow,,,
unit-58-character,careless,noun,garaagatuu,,/ˈɡɐrɑːɡɐtúː/,no,high,"over confident, careless",,,
unit-58-character,sincerity,noun,dugaadhaan,,/ˈdʊɡɑːᶑɑːn/,yes,high,sincerity,,,
