unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-59-relatives,cousin,noun,durbii,dubrii | ilma adeeraa | ilma eessumaa,/ˈdʊrbíː/,yes,medium,cousin,,,
unit-59-relatives,sibling,noun,daabaloo,garoo,/ˈdɑːbɐlóː/,yes,medium,sibling,,,
unit-59-relatives,siblings,noun,obbolaa,,/ɔbːɔlɑ́ː/,no,high,siblings,,,
unit-59-relatives,stepfather,noun,abbaaddaa,abbaa buddeenaa,/ɐbːɑːdːɑ́ː/,yes,high,stepfather,,,
unit-59-relatives,stepmother,noun,ayyaaddaa,,/ɐjːɑːdːɑ́ː/,yes,high,stepmother,,,
unit-59-relatives,infant,noun,wucii,daa'ima | sabiyyii,/ˈwʊt͡ʃʼíː/,no,medium,"young of birds and chickens,",,,
unit-59-relatives,toddler,noun,kurkura,,/ˈkʊrkʊrɐ/,no,high,toddler (of male child),,,
unit-59-relatives,youngster,noun,dardarumma,,/ˈdɐrdɐrʊmːɐ/,yes,high,youngster,,,
unit-59-relatives,teenager,noun,yarsuma,,,no,high,teenager,,,
unit-59-relatives,adult,noun,ga'eessa,namguddaa | xiqqaa guddaa | guddachuu,/ˈɡɐʔeːsːɐ/,no,medium,adult,,,
unit-59-relatives,spouse,noun,warra,,/ˈwɐrːɐ/,no,high,"family, household, relatives",,,
unit-59-relatives,homestead,noun,onnoo,,/ɔnːóː/,no,high,homestead,,,
unit-59-relatives,kinship,noun,qaccee,,/ˈkʼɐt͡ʃʼːéː/,no,high,whip,,,
unit-59-relatives,genealogy,noun,lakkoofsa sanyii,,/ˈlɐkːoːfsɐ sɐɲíː/,no,high,genealogy,,,
unit-59-relatives,dowry,noun,naqata,gabbara | tirmaa | dungusee | ufiisaa,/ˈnɐkʼɐtɐ/,no,medium,dowry,,,
unit-59-relatives,fiance,noun,kaadhima,,/ˈkɑːᶑɪmɐ/,no,high,"betrothed person, fiance",,,
unit-59-relatives,fiancee,noun,kaadhimaa,,,no,high,fiancee,,,
unit-59-relatives,bachelor,noun,qeerroo,leegummaa | qeerrummaa,,no,high,bachelor,,,
unit-59-relatives,mothers,noun,aayyolee,,/ɑːjːɔléː/,yes,high,mothers,,,
unit-59-relatives,parenthood,noun,abbaadhummaa,,/ɐbːɑːᶑʊmːɑ́ː/,yes,high,parenthood,,,
unit-59-relatives,infancy,noun,kichummaa,,/ˈkɪt͡ʃʊmːɑ́ː/,no,high,infancy,,,
unit-59-relatives,adolescence,noun,dargaggumma,saafila | dargaggoomuu,/ˈdɐrɡɐɡːʊmːɐ/,yes,medium,youth hood/adolescence,,,
unit-59-relatives,maternity,noun,haadhummaa,,/ˈhɑːᶑʊmːɑ́ː/,no,high,maternity,,,
