unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-60-friends,team,noun,gartuu,tuuta | garoo | qaroo | hojii garee,,no,medium,team,,,
unit-60-friends,visitor,noun,daaw'ataa,,/ˈdɑːwʔɐtɑ́ː/,yes,high,visitor,,,
unit-60-friends,conversation,noun,diddiirama,haasaa | qaaqa | haasaa bilbilaa,/ˈdɪdːiːrɐmɐ/,yes,medium,conversation,,,
unit-60-friends,talk,noun,qaaqa,odeessuu | qaaquu | aasa'uu | oduu,/ˈkʼɑːkʼɐ/,no,medium,"talk, conversation",,,
unit-60-friends,secret,noun,iccitii,dhoksaa | baalkosaa | maltummaa | danquu,,no,medium,secret,,,
unit-60-friends,trust,noun,amaanaa,abdachuu | amanachuu | kennata | yabeessa,/ɐmɑːnɑ́ː/,yes,high,trust,,,
unit-60-friends,argument,noun,falmii,atakaroo | dubbii | qoccolloo,/ˈfɐlmíː/,yes,medium,argument,,,
unit-60-friends,apology,noun,dhiifama,magaanteftachuu,/ˈᶑiːfɐmɐ/,yes,medium,"absolution, pardonable",,,
unit-60-friends,forgiveness,noun,faanchoo,araarii | aagii | maaruu,/ˈfɑːnt͡ʃóː/,yes,medium,forgiveness,,,
unit-60-friends,comrade,noun,jaallee,,/ˈd͡ʒɑːlːéː/,no,high,comrade,,,
unit-60-friends,follower,noun,faana dhahaa,,/ˈfɑːnɐ ᶑɐhɑ́ː/,yes,high,"follower, tracer",,,
unit-60-friends,guardian,noun,gudee,eegduu | hadraa | jaarii,/ˈɡʊdéː/,no,medium,a term used to address ones mother,,,
unit-60-friends,keeper,noun,eegduu,haragoo | karrooyyee,/eːɡdúː/,yes,high,"keeper, guardian, attendant (female)",,,
unit-60-friends,hostess,noun,keessummessituu,haadha keessummaa,/ˈkeːsːʊmːɛsːɪtúː/,no,high,hostess,,,
unit-60-friends,welcoming,noun,simannaa,,/ˈsɪmɐnːɑ́ː/,no,high,"reception, welcoming",,,
unit-60-friends,gossip,noun,baaltii,ususuu | maqaa dhawuu,/ˈbɑːltíː/,yes,medium,"gossip, hearsay, jokes",,,
unit-60-friends,reconciliation,noun,atoomsa,araara,/ɐtoːmsɐ/,yes,medium,arbitration /reconciliation,,,
unit-60-friends,disagreement,noun,walbadiinsa,waldiddaa | ciqilfamuu | ciqilfachuu | waldiduu,,no,medium,disagreement,,,
unit-60-friends,betrayal,noun,waakkii,,/ˈwɑːkːíː/,no,high,frugality or parsimony,,,
unit-60-friends,collaborator,noun,keettoo,,/ˈkeːtːóː/,no,high,spy one who follow-up an affair,,,
unit-60-friends,participant,noun,qooddataa,,/ˈkʼoːdːɐtɑ́ː/,no,high,"participant, character",,,
unit-60-friends,member,noun,miseensa,gogeessa | dhalataa | Oromoo | dhalata fardaa,/ˈmɪseːnsɐ/,no,medium,member,,,
unit-60-friends,membership,noun,miseensummaa,,/ˈmɪseːnsʊmːɑ́ː/,no,high,membership,,,
