unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-61-sky,sunrise,noun,bahiisa aduu,,/ˈbɐhiːsɐ ɐdúː/,yes,high,sunrise,,,
unit-61-sky,sunset,noun,seensa aduu,,,no,high,sunset,,,
unit-61-sky,daytime,noun,guyyaa,,/ˈɡʊjːɑ́ː/,no,high,"day, during the day, daytime",,,
unit-61-sky,midnight,noun,waarii,waari'uu,,no,high,midnight,,,
unit-61-sky,twilight,noun,basakkaa,dimimmisa,/ˈbɐsɐkːɑ́ː/,yes,medium,twilight,,,
unit-61-sky,shadow,noun,gaaddisa,gaadidduu | caayaa,/ˈɡɑːdːɪsɐ/,no,medium,shadow,,,
unit-61-sky,eclipse,noun,addidduu,golga aduu,/ɐdːɪdːúː/,yes,high,eclipse,,,
unit-61-sky,planet,noun,bakkallee,fakkardi | pilaaneetii | bakkallooma,/ˈbɐkːɐlːéː/,yes,medium,planet,,,
unit-61-sky,universe,noun,addunyaalee,marlaaltoo | ruuda,/ɐdːʊɲɑːléː/,yes,medium,universe,,,
unit-61-sky,galaxy,noun,ruuda,,/ˈruːdɐ/,no,high,galaxy,,,
unit-61-sky,space,noun,hawaa,ittaansamuu | hiddoo | qawweechaa | siqfata,/ˈhɐwɑ́ː/,no,high,space,,,
unit-61-sky,orbit,noun,dannaba,jeema | holqa mukaa,/ˈdɐnːɐbɐ/,yes,medium,orbit,,,
unit-61-sky,horizon,noun,dayeesa,giranba,/ˈdɐjeːsɐ/,yes,medium,horizon,,,
unit-61-sky,asteroid,noun,akkurjii,,/ɐkːʊrd͡ʒíː/,yes,high,asteroid,,,
unit-61-sky,zenith,noun,gubbee,,/ˈɡʊbːéː/,no,high,top of the head,,,
unit-61-sky,equinox,noun,cinguyyaa,,/ˈt͡ʃʼɪnɡʊjːɑ́ː/,yes,high,equinox,,,
unit-61-sky,hemisphere,noun,gamardoo,,/ˈɡɐmɐrdóː/,no,high,hemisphere,,,
unit-61-sky,altitude,noun,ol fageenya,,/ɔl fɐɡeːɲɐ/,no,high,altitude,,,
unit-61-sky,latitude,noun,dagala,,/ˈdɐɡɐlɐ/,yes,high,latitude,,,
unit-61-sky,globe,noun,mulullee,,/ˈmʊlʊlːéː/,no,high,"ophere,globe",,,
unit-61-sky,glimmer,noun,culaancullee,,/ˈt͡ʃʼʊlɑːnt͡ʃʼʊlːéː/,yes,high,gleam/ glimmer/ glint,,,
unit-61-sky,glowing,noun,finiina,dibaa | mukukkula | hamilee finiinaa,/ˈfɪniːnɐ/,yes,high,glowing,,,
unit-61-sky,midday,noun,guyyaa saafaa,waaree,/ˈɡʊjːɑː sɑːfɑ́ː/,no,high,"at noon, midday",,,
