unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-63-water,pond,noun,eela,,/eːlɐ/,yes,high,pond,,,
unit-63-water,puddle,noun,malbii,raaree | corroqa | bocoluu | bocorroquu,/ˈmɐlbíː/,no,medium,puddle,,,
unit-63-water,ocean,noun,maanya,garba,/ˈmɑːɲɐ/,no,medium,ocean,,,
unit-63-water,bay,noun,sarxii,haroo galaanaa | boora qamadii,/ˈsɐrtʼíː/,no,high,bay,,,
unit-63-water,beach,noun,caffoo,,/ˈt͡ʃʼɐfːóː/,yes,high,beach,,,
unit-63-water,wave,noun,danbalii,dambalii | ungulaala | lalachuu,/ˈdɐnbɐlíː/,yes,medium,wave,,,
unit-63-water,waterfall,noun,fincaa'aa,huursuu,/ˈfɪnt͡ʃʼɑːʔɑ́ː/,yes,high,waterfall,,,
unit-63-water,dam,noun,hidha,,/ˈhɪᶑɐ/,no,high,dam,,,
unit-63-water,canal,noun,yaa'a,bo'eessuu,/ˈjɑːʔɐ/,no,high,flow,,,
unit-63-water,swamp,noun,dhaqdhaqii,raaree | caffee,/ˈᶑɐkʼᶑɐkʼíː/,yes,medium,swamp,,,
unit-63-water,marsh,noun,dhadhaqii,caffee | leepho | dhidhimuu,/ˈᶑɐᶑɐkʼíː/,yes,medium,marsh,,,
unit-63-water,harbor,noun,malkee,,/ˈmɐlkéː/,no,high,"harbor, port",,,
unit-63-water,tributary,noun,jalliyaan,,/ˈd͡ʒɐlːɪjɑːn/,no,high,tributary,,,
unit-63-water,catchment,noun,kiliwwee,,/ˈkɪlɪwːéː/,no,high,catchment (area),,,
unit-63-water,delta,noun,dalaliyyaa,,/ˈdɐlɐlɪjːɑ́ː/,yes,high,delta,,,
unit-63-water,gully,noun,boroborii,dolool'oo,/ˈbɔrɔbɔríː/,yes,medium,gully,,,
unit-63-water,ditch,noun,bo'oo,murraa,/ˈbɔʔóː/,yes,high,ditch,,,
unit-63-water,oasis,noun,adaalqaljii,,/ɐdɑːlkʼɐld͡ʒíː/,yes,high,oasis,,,
unit-63-water,glacier,noun,kuusaa cabbii,,/ˈkuːsɑː t͡ʃʼɐbːíː/,no,high,glacier,,,
unit-63-water,leakage,noun,dhimmuu,dhimphuu,/ˈᶑɪmːúː/,yes,high,"leakage, usually rain",,,
unit-63-water,pipe,noun,ujummoo,aloolloo | hujummoo bishaanii,,no,high,"pipe, tube",,,
unit-63-water,dive,noun,culluxxee,lilimuu,/ˈt͡ʃʼʊlːʊtʼːéː/,yes,high,dive,,,
