unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-64-land,highland,noun,baddaa,ilaala,/ˈbɐdːɑ́ː/,yes,high,highland,,,
unit-64-land,canyon,noun,bowwaa,,/ˈbɔwːɑ́ː/,yes,high,"cave, canyon",,,
unit-64-land,gorge,noun,fodooddoo,qilee | foluu | hallayyaa qilee,/ˈfɔdoːdːóː/,yes,high,"gorge, i.e. opening",,,
unit-64-land,plain,noun,leexaa,alabicha | attaa | badaasaa | godoomuu,/ˈleːtʼɑ́ː/,no,high,un loaded draft animal,,,
unit-64-land,plateau,noun,koobii,abaxallaloo,/ˈkoːbíː/,no,high,"hill, plateau",,,
unit-64-land,jungle,noun,bosona,,/ˈbɔsɔnɐ/,yes,high,"forest, jungle",,,
unit-64-land,wilderness,noun,warab,ona | alloo | corree | lafa onaa,/ˈwɐrɐb/,no,medium,wilderness,,,
unit-64-land,boulder,noun,jigoo,,/ˈd͡ʒɪɡóː/,no,high,"boulder, landslip, land slide",,,
unit-64-land,pebble,noun,cancullee,qacaacullec | saddeeqa,/ˈt͡ʃʼɐnt͡ʃʼʊlːéː/,yes,medium,pebble,,,
unit-64-land,ground,noun,martata,dachee | qocqocaa | lafa | bullaa'uu,/ˈmɐrtɐtɐ/,no,medium,ground,,,
unit-64-land,ridge,noun,bungulluu,abaxallaloo | xiwoo | gadamsa,/ˈbʊnɡʊlːúː/,yes,medium,ridge,,,
unit-64-land,peak,noun,qarree,,,no,high,"summit, peak (of a mountain)",,,
unit-64-land,slope,noun,labbaa,,/ˈlɐbːɑ́ː/,no,high,"slope, area of steep land",,,
unit-64-land,topography,noun,adoolfa,hatila | teessuma lafaa,/ɐdoːlfɐ/,yes,medium,topography,,,
unit-64-land,peninsula,noun,edegoo,,/ɛdɛɡóː/,yes,high,peninsula,,,
unit-64-land,meadow,noun,araddee,,/ɐrɐdːéː/,yes,high,meadow,,,
unit-64-land,hollow,noun,qotaa,olqeessuu | harawwa | homborokkee | qasamii,/ˈkʼɔtɑ́ː/,no,medium,"fortification plow, hollow",,,
unit-64-land,mound,noun,guttee,kubee | kobbii | koobii | kaabii,/ˈɡʊtːéː/,no,medium,mound,,,
unit-64-land,trench,noun,beroo,,/ˈbɛróː/,yes,high,trench (protection for soldiers),,,
unit-64-land,terrace,noun,daaga,sangii,/ˈdɑːɡɐ/,yes,medium,terrace,,,
unit-64-land,boundary,noun,daangaa,dimbara | daarii | daangessuu,/ˈdɑːnɡɑ́ː/,yes,medium,boundary,,,
unit-64-land,landscape,noun,dalgeessa,caffaa,/ˈdɐlɡeːsːɐ/,yes,high,landscape,,,
unit-64-land,cavity,noun,boolla'oo,holqoo | keessa ilkaanii,/ˈboːlːɐʔóː/,yes,medium,cavity,,,
