unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-65-plants-more,bough,noun,dankuu,handaaraa,/ˈdɐnkúː/,yes,high,bough,,,
unit-65-plants-more,petal,noun,baaldaraa,baaldanee,/ˈbɑːldɐrɑ́ː/,yes,high,petal,,,
unit-65-plants-more,seeds,noun,abuura,ungaayee | beessalaa | damacuu | facaasuu,/ɐbuːrɐ/,yes,high,proposal,,,
unit-65-plants-more,shrub,noun,karabaa,geeshee,/ˈkɐrɐbɑ́ː/,no,medium,shrub,,,
unit-65-plants-more,timber,noun,saanqaa,jiima-gordannaa,,no,high,timber,,,
unit-65-plants-more,fern,noun,kaarroo,,/ˈkɑːrːóː/,no,high,fern,,,
unit-65-plants-more,lily,noun,jorroo,,/ˈd͡ʒɔrːóː/,no,high,lily,,,
unit-65-plants-more,clover,noun,siddisa,,,no,high,clover,,,
unit-65-plants-more,acacia,noun,gololee,doddota | doddotii | garbii | laaftoo,/ˈɡɔlɔléː/,no,high,valley,,,
unit-65-plants-more,eucalyptus,noun,baargamoo,,/ˈbɑːrɡɐmóː/,yes,high,eucalyptus,,,
unit-65-plants-more,juniper,noun,mi'eessaa,gaattiraa,,no,high,juniper,,,
unit-65-plants-more,algae,noun,saaphuyyee,waabara | saphaphuu,/ˈsɑːpʼʊjːéː/,no,high,algae,,,
unit-65-plants-more,twig,noun,felleencoo,cafaqaa | ulumaayaa | heennaa,/ˈfɛlːeːnt͡ʃʼóː/,yes,high,twig,,,
unit-65-plants-more,reed,noun,shambaqqoo,gobeensa | migira,/ˈʃɐmbɐkʼːóː/,yes,high,reed,,,
unit-65-plants-more,flax,noun,qonxar,,/ˈkʼɔntʼɐr/,no,high,flax,,,
unit-65-plants-more,botany,noun,barnooqila,,/ˈbɐrnoːkʼɪlɐ/,yes,high,botany,,,
unit-65-plants-more,vegetation,noun,magaroo,barbadoo,/ˈmɐɡɐróː/,no,high,vegetation,,,
unit-65-plants-more,ebony,noun,harsammeesa,,/ˈhɐrsɐmːeːsɐ/,no,high,ebony,,,
unit-65-plants-more,cane,noun,agadaa,hagadaa | qawwisa | abraasaa | alaanfatoo,/ɐɡɐdɑ́ː/,yes,high,cane,,,
unit-65-plants-more,resin,noun,haancaa,,/ˈhɑːnt͡ʃʼɑ́ː/,no,high,"gum, resin (of sycamore)",,,
