unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-66-farm-crops,plow,noun,maarashaa,hagaayuu | bu'ii | qotaa,,no,medium,plow,,,
unit-66-farm-crops,teff,noun,xaafii,algaasee | daabii | durbucoo | dummunyii,/ˈtʼɑːfíː/,no,high,"teff, Ethiopian staple food (also in Oromia)",,,
unit-66-farm-crops,sugarcane,noun,meejoo,,,no,high,sugarcane,,,
unit-66-farm-crops,fertilizer,noun,xaa'oo,dikee | dikee ammyyaa | gaayii,,no,medium,fertilizer,,,
unit-66-farm-crops,dung,noun,faandoo,caancoo | kaboota | koboota | qurba,/ˈfɑːndóː/,yes,high,"excrement (of mule, horse..), dung",,,
unit-66-farm-crops,plantation,noun,danfisuu,jalasoqa,/ˈdɐnfɪsúː/,yes,high,plantation,,,
unit-66-farm-crops,farmland,noun,ooyru,,/oːjrʊ/,no,high,"farm, farmland",,,
unit-66-farm-crops,granary,noun,gingoo,riiqa | gombisaa | dagoogoo | darabaa,/ˈɡɪnɡóː/,no,medium,granary,,,
unit-66-farm-crops,agriculture,noun,qonnaa,qonna | qochisiisaa | makiinaa qonnaa | meeshaa qonnaa,,no,medium,agriculture,,,
unit-66-farm-crops,fertility,noun,qaljummaa,cabaloo | Ateetee | gawwaa'uu,/ˈkʼɐld͡ʒʊmːɑ́ː/,no,high,fertility,,,
unit-66-farm-crops,deforestation,noun,cirgeeda,,/ˈt͡ʃʼɪrɡeːdɐ/,yes,high,deforestation,,,
unit-66-farm-crops,milking,noun,elemaa,dhaltii | dhaltoolee | eleffannaa | elmannaa,/ɛlɛmɑ́ː/,yes,high,milking,,,
unit-66-farm-crops,grazing,noun,qoqoruu,darabaa | hiddookaluu | qorqaa | yuusaa,/ˈkʼɔkʼɔrúː/,no,medium,"pick a bone, grazing",,,
unit-66-farm-crops,rations,noun,cafaqoo,galaa,/ˈt͡ʃʼɐfɐkʼóː/,yes,medium,rations/ food that one carries along on journey.,,,
unit-66-farm-crops,sickle,noun,haamtuu,hamtuufi burrisa,,no,high,sickle,,,
unit-66-farm-crops,hectare,noun,hektaara,,/ˈhɛktɑːrɐ/,no,high,hectare,,,
unit-66-farm-crops,harness,noun,mi'a fardaa,luugamuu | garjalee | qomoo,/ˈmɪʔɐ fɐrdɑ́ː/,no,medium,harness,,,
