unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-67-wild-more,tiger,noun,qeerransa,qeerramsa | deeroo | ilmoo qeerransaa,/ˈkʼeːrːɐnsɐ/,no,medium,tiger,,,
unit-67-wild-more,ape,noun,hilluu,qamalee | buuqqajee,/ˈhɪlːúː/,no,medium,"clever, cunning: a nick name for ape",,,
unit-67-wild-more,badger,noun,hamaagota,hamaar,/ˈhɐmɑːɡɔtɐ/,no,high,"badger, genet",,,
unit-67-wild-more,cub,noun,kulbee,saafela | ilmoo sardiida,/ˈkʊlbéː/,no,medium,"young of a lion, cub",,,
unit-67-wild-more,predator,noun,adamsooyyee,,/ɐdɐmsoːjːéː/,yes,high,predator,,,
unit-67-wild-more,beast,noun,hillisa,furroo | firixa | baataa | qeerranqaraar,/ˈhɪlːɪsɐ/,no,high,beast,,,
unit-67-wild-more,carcass,noun,raqa,goflola,/ˈrɐkʼɐ/,no,high,"carcass, rotten",,,
unit-67-wild-more,jaguar,noun,jaafoo,,/ˈd͡ʒɑːfóː/,no,high,jaguar,,,
unit-67-wild-more,panda,noun,paandaa,,/ˈpɑːndɑ́ː/,yes,high,panda,,,
unit-67-wild-more,colt,noun,darmee,nyaangoo | ilmoo fardaa,/ˈdɐrméː/,yes,medium,colt,,,
unit-67-wild-more,cubs,noun,ilmoo leencaa,,/ɪlmoː leːnt͡ʃʼɑ́ː/,no,high,cubs,,,
unit-67-wild-more,kitten,noun,ilmoo adurree,,/ɪlmoː ɐdʊrːéː/,no,high,kitten/offspring of a cat,,,
unit-67-wild-more,puppy,noun,cuquu,xuuxillaa | buchillaa,/ˈt͡ʃʼʊkʼúː/,yes,medium,puppy,,,
unit-67-wild-more,pony,noun,gufaayyii,,/ˈɡʊfɑːjːíː/,no,high,pony,,,
unit-67-wild-more,mules,noun,gaangee,,,no,high,mules,,,
unit-67-wild-more,weasel,noun,tuqaa,,/ˈtʊkʼɑ́ː/,no,high,"weasel, a kind of rat",,,
unit-67-wild-more,scavenger,noun,funaantuu,,/ˈfʊnɑːntúː/,yes,high,scavenger,,,
unit-67-wild-more,venom,noun,hancufa jawwee,,/ˈhɐnt͡ʃʼʊfɐ d͡ʒɐwːéː/,no,high,venom,,,
unit-67-wild-more,burrow,noun,qiliilee,imamii,/ˈkʼɪliːléː/,no,high,"abyss, burrow/hole",,,
unit-67-wild-more,habitat,noun,bidoollee,,/ˈbɪdoːlːéː/,yes,high,habitat,,,
unit-67-wild-more,mammals,noun,hootiyyee,,/ˈhoːtɪjːéː/,no,high,mammals,,,
unit-67-wild-more,creature,noun,huumamaa,looyaa | roobaan jireetti,/ˈhuːmɐmɑ́ː/,no,high,creature,,,
