unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-68-birds-fish,raven,noun,arraagessa,harraageessa,/ɐrːɑːɡɛsːɐ/,yes,medium,"crow, raven",,,
unit-68-birds-fish,peacock,noun,jorraa,,/ˈd͡ʒɔrːɑ́ː/,no,high,peacock,,,
unit-68-birds-fish,partridge,noun,gogorrii,sooritee | shaara,/ˈɡɔɡɔrːíː/,no,medium,partridge,,,
unit-68-birds-fish,gill,noun,asaassii,giilii,/ɐsɑːsːíː/,yes,high,gill,,,
unit-68-birds-fish,whale,noun,qurxubajaa,,/ˈkʼʊrtʼʊbɐd͡ʒɑ́ː/,no,high,whale,,,
unit-68-birds-fish,turtle,noun,qocaa,hamaraa,,no,high,turtle,,,
unit-68-birds-fish,pelican,noun,aallaattii,handoolessa | haadha waaqoo,/ɑːlːɑːtːíː/,yes,high,pelican,,,
unit-68-birds-fish,quail,noun,aburdaallaa,dimbiriqqee | kiirolee | kiilolee,/ɐbʊrdɑːlːɑ́ː/,yes,medium,quail,,,
unit-68-birds-fish,roost,noun,qooxii,gebexii,/ˈkʼoːtʼíː/,no,high,"plat form, roost",,,
unit-68-birds-fish,wings,noun,qochoo,baabur baallee,/ˈkʼɔt͡ʃóː/,no,high,a potato- like edible root plant,,,
unit-68-birds-fish,yolk,noun,boorkillee,miciraa,/ˈboːrkɪlːéː/,yes,medium,yolk,,,
unit-68-birds-fish,shell,noun,qashii,elellaan | ilillaana | qalahaa | giixoo,/ˈkʼɐʃíː/,no,medium,to shell,,,
unit-68-birds-fish,snare,noun,qamaaxirii,kiyyeessuu | shaara | xiixaa,/ˈkʼɐmɑːtʼɪríː/,no,high,"snare, trap",,,
