unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-69-insects-reptiles,cockroach,noun,balballaa,bararii,/ˈbɐlbɐlːɑ́ː/,yes,medium,cockroach,,,
unit-69-insects-reptiles,lice,noun,injiraan,nyaattuu | beeccoo | injiraa'uu | injireessuu,/ɪnd͡ʒɪrɑːn/,yes,high,lice,,,
unit-69-insects-reptiles,cobra,noun,xaraa,oo'aa | mar'ataa | mardhataa,/ˈtʼɐrɑ́ː/,no,medium,cobra,,,
unit-69-insects-reptiles,python,noun,jawwee,,/ˈd͡ʒɐwːéː/,no,high,"python, dragon",,,
unit-69-insects-reptiles,chameleon,noun,gaararraa,,/ˈɡɑːrɐrːɑ́ː/,no,high,chameleon,,,
unit-69-insects-reptiles,dragonfly,noun,awwaatiisa,sonsa bishaanii,/ɐwːɑːtiːsɐ/,yes,high,dragonfly,,,
unit-69-insects-reptiles,reptile,noun,kalafarra lootu,,/ˈkɐlɐfɐrːɐ loːtʊ/,no,high,reptile,,,
unit-69-insects-reptiles,mite,noun,sasa'oo,,/ˈsɐsɐʔóː/,no,high,louse/nit of chickens/mite,,,
unit-69-insects-reptiles,nit,noun,hinjojjii,injijjii | cinaa'uu | sasa'oo,/ˈhɪnd͡ʒɔd͡ʒːíː/,no,medium,"nit, louse eggs",,,
unit-69-insects-reptiles,leech,noun,dhulaandhula,ulaandhula,/ˈᶑʊlɑːnᶑʊlɐ/,yes,medium,leech,,,
unit-69-insects-reptiles,parasite,noun,akankarreettii,weennoo | dhortuu | digaloo | eertoo,/ɐkɐnkɐrːeːtːíː/,yes,high,parasite,,,
unit-69-insects-reptiles,pests,noun,nyaataa,,/ˈɲɑːtɑ́ː/,no,high,"verin, pests",,,
unit-69-insects-reptiles,swarm,noun,cibraa,,/ˈt͡ʃʼɪbrɑ́ː/,yes,high,"regiment, swarm",,,
