unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-70-rocks-metals,gravel,noun,cirracha,korata,/ˈt͡ʃʼɪrːɐt͡ʃɐ/,yes,medium,sand,,,
unit-70-rocks-metals,copper,noun,girjaa,beesaa | kallachoo,/ˈɡɪrd͡ʒɑ́ː/,no,high,copper,,,
unit-70-rocks-metals,brass,noun,habbisa,,/ˈhɐbːɪsɐ/,no,high,brass,,,
unit-70-rocks-metals,tin,noun,qorqorroo,qorqoorroo,,no,medium,tin,,,
unit-70-rocks-metals,lead,noun,dilaalii,hogganuu | geggeessuu | masakuu | qabee,/ˈdɪlɑːlíː/,yes,high,lead,,,
unit-70-rocks-metals,charcoal,noun,dhamala,cilee | kasala | cileeffachuu | cilaa'uu,/ˈᶑɐmɐlɐ/,yes,medium,charcoal,,,
unit-70-rocks-metals,coal,noun,dhagaa cilee,arroojjii | cilaalluu | cilgaasii,/ˈᶑɐɡɑː t͡ʃʼɪléː/,yes,high,coal,,,
unit-70-rocks-metals,petroleum,noun,peetirooliyeemii,,/ˈpeːtɪroːlɪjeːmíː/,yes,high,petroleum,,,
unit-70-rocks-metals,diamond,noun,digaa,durrii | moogaa,/ˈdɪɡɑ́ː/,yes,medium,diamond,,,
unit-70-rocks-metals,crystal,noun,booralloo,boorawuu | baalcii,/ˈboːrɐlːóː/,yes,high,crystal,,,
unit-70-rocks-metals,marble,noun,waashee,,/ˈwɑːʃéː/,no,high,marble,,,
unit-70-rocks-metals,cement,noun,mansaa,,/ˈmɐnsɑ́ː/,no,high,sand,,,
unit-70-rocks-metals,brick,noun,xuubii,daankaya,,no,medium,brick,,,
unit-70-rocks-metals,rubber,noun,barabaasoo,laastikii,/ˈbɐrɐbɑːsóː/,yes,high,rubber (usually of sandals),,,
unit-70-rocks-metals,wire,noun,habbee,shiboo | xaaxaatee | xaaxeffachuu,/ˈhɐbːéː/,no,medium,wire,,,
unit-70-rocks-metals,emerald,noun,hahaabaa magariisaa,,/ˈhɐhɑːbɑː mɐɡɐriːsɑ́ː/,no,high,emerald,,,
unit-70-rocks-metals,ruby,noun,baalcii,,/ˈbɑːlt͡ʃʼíː/,yes,high,flint obsidian crystal,,,
unit-70-rocks-metals,ore,noun,gordana,wayyuu,/ˈɡɔrdɐnɐ/,no,high,ore,,,
unit-70-rocks-metals,shale,noun,hambaa qaamaa,,/ˈhɐmbɑː kʼɑːmɑ́ː/,no,high,shale,,,
unit-70-rocks-metals,magma,noun,kaalloo,,/ˈkɑːlːóː/,no,high,magma,,,
unit-70-rocks-metals,pigment,noun,bilfee,,/ˈbɪlféː/,yes,high,pigment,,,
unit-70-rocks-metals,varnish,noun,vaarnishii,,/ˈvɑːrnɪʃíː/,yes,high,varnish,,,
unit-70-rocks-metals,chlorine,noun,kiloorinii,,/ˈkɪloːrɪníː/,no,high,chlorine,,,
unit-70-rocks-metals,nitrate,noun,dikaa,,/ˈdɪkɑ́ː/,yes,high,beating/striking,,,
unit-70-rocks-metals,mineral,noun,albuuda,finfinnee | kuusa albuudaa | soogidda albuudaa,/ɐlbuːdɐ/,yes,high,mineral,,,
