unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-71-town-places,hamlet,noun,golobee,,/ˈɡɔlɔbéː/,no,high,"hamlet, locality",,,
unit-71-town-places,suburb,noun,magalimoggoo,,/ˈmɐɡɐlɪmɔɡːóː/,no,high,suburb,,,
unit-71-town-places,park,noun,paarkii,caayaa,/ˈpɑːrkíː/,yes,high,park,,,
unit-71-town-places,restaurant,noun,mansoora,mana nyaataa,/ˈmɐnsoːrɐ/,no,high,restaurant,,,
unit-71-town-places,hostel,noun,hosteela,,/ˈhɔsteːlɐ/,no,high,hostel,,,
unit-71-town-places,temple,noun,daasoo,dasoo | mana amantii,/ˈdɑːsóː/,yes,medium,temple,,,
unit-71-town-places,museum,noun,godambaa,,/ˈɡɔdɐmbɑ́ː/,no,high,museum,,,
unit-71-town-places,castle,noun,masar durii,,/ˈmɐsɐr dʊríː/,no,high,castle,,,
unit-71-town-places,cemetery,noun,hujubaa,dallaa awwaalaa,/ˈhʊd͡ʒʊbɑ́ː/,no,high,cemetery,,,
unit-71-town-places,shrine,noun,eddoo amantii,qoolloo,/ɛdːoː ɐmɐntíː/,yes,medium,shrine,,,
unit-71-town-places,stadium,noun,dirree kubbaa,,/ˈdɪrːeː kʊbːɑ́ː/,yes,high,stadium,,,
unit-71-town-places,arena,noun,aggaadoo,,/ɐɡːɑːdóː/,yes,high,arena,,,
unit-71-town-places,booth,noun,daasa,mana bilbiloo,/ˈdɑːsɐ/,yes,high,"tent, hut, booth",,,
unit-71-town-places,salon,noun,hagicha,ilfinyi | gorduuba | mana dabbasaa | mana cibiraa,/ˈhɐɡɪt͡ʃɐ/,no,medium,salon,,,
unit-71-town-places,monument,noun,siidaa,kistaana,,no,medium,monument,,,
unit-71-town-places,settlement,noun,qubannoo,qubata | qubsuma | herreega buusuu,/ˈkʼʊbɐnːóː/,no,medium,settlement,,,
unit-71-town-places,colony,noun,dagabaasa,,/ˈdɐɡɐbɑːsɐ/,yes,high,colony,,,
unit-71-town-places,fort,noun,daannoo,daattoo,/ˈdɑːnːóː/,yes,medium,fort,,,
