unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-72-shops,merchant,noun,naggaadee,,/ˈnɐɡːɑːdéː/,no,high,merchant,,,
unit-72-shops,client,noun,beedee,,/ˈbeːdéː/,yes,high,"client, customer",,,
unit-72-shops,cashier,noun,maslaqxuu,,/ˈmɐslɐkʼtʼúː/,no,high,cashier,,,
unit-72-shops,butcher,noun,suguyyaa,qaluu,/ˈsʊɡʊjːɑ́ː/,no,high,"butcher, abattoir",,,
unit-72-shops,grocery,noun,girooserii,,/ˈɡɪroːsɛríː/,no,high,grocery,,,
unit-72-shops,discount,noun,hir'isa,,/ˈhɪrʔɪsɐ/,no,high,discount,,,
unit-72-shops,receipt,noun,naga'ee,,,no,high,receipt,,,
unit-72-shops,sale,noun,gurgura,gurgursiisuu,/ˈɡʊrɡʊrɐ/,no,high,sale,,,
unit-72-shops,queue,noun,tarree,,/ˈtɐrːéː/,no,high,"line, row/ queue",,,
unit-72-shops,merchandise,noun,mi'a daldalaa,meeshaa daldalaa,/ˈmɪʔɐ dɐldɐlɑ́ː/,no,medium,merchandise,,,
unit-72-shops,retailer,noun,charcharii,qexxuu | abbaa dhaabaa,/ˈt͡ʃɐrt͡ʃɐríː/,yes,high,retailer,,,
unit-72-shops,supplies,noun,mi'a hojii,,/ˈmɪʔɐ hɔd͡ʒíː/,no,high,supplies,,,
unit-72-shops,auction,noun,araajii,nadiyaa | caalbasii | nadiyyuu,/ɐrɑːd͡ʒíː/,yes,medium,auction,,,
unit-72-shops,bid,noun,caalbasii,koree caal baasii,/ˈt͡ʃʼɑːlbɐsíː/,yes,high,"auction, tender, bid",,,
unit-72-shops,customs,noun,ashuura,muka abbaa,/ɐʃuːrɐ/,yes,high,"tax, customs",,,
unit-72-shops,commodity,noun,shaqaxa,,/ˈʃɐkʼɐtʼɐ/,no,high,commodity,,,
unit-72-shops,stock,noun,sadafii qawwee,dilbii | kaabii | horii coomaa | meeshaa daldalaa,/ˈsɐdɐfiː kʼɐwːéː/,no,high,stock,,,
unit-72-shops,store,noun,mankuusa,suuqii | kaa'uu | coruu | mana kuusaa,/ˈmɐnkuːsɐ/,no,medium,"store, ware house",,,
