unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-73-money,cent,noun,farankaa,alaada | beesaa | taamuna,/ˈfɐrɐnkɑ́ː/,yes,high,"coin, cent",,,
unit-73-money,cents,noun,neeraa,niiraa | chinkoo | dumbulloo | meezoo,/ˈneːrɑ́ː/,no,medium,cents,,,
unit-73-money,dollar,noun,doolaarii,doolaara,/ˈdoːlɑːríː/,yes,medium,dollar,,,
unit-73-money,payment,noun,kaffaltii,gargaarii | jargii | qabdii | haftoo horii,/ˈkɐfːɐltíː/,no,high,"pay, payment",,,
unit-73-money,credit,noun,duubee,gulbata,/ˈduːbéː/,yes,medium,credit,,,
unit-73-money,savings,noun,guduunfaa,,/ˈɡʊduːnfɑ́ː/,no,high,a firm knot,,,
unit-73-money,budget,noun,baajata,baajata atoomaa | burqaa bajataa | hirqu baajataa,/ˈbɑːd͡ʒɐtɐ/,yes,high,budget,,,
unit-73-money,rent,noun,kireeffachuu,kireessuu | kiraa,/ˈkɪreːfːɐt͡ʃúː/,no,medium,to rent (for self),,,
unit-73-money,fee,noun,kaffaltii ogummaa,,/ˈkɐfːɐltiː ɔɡʊmːɑ́ː/,no,high,fee,,,
unit-73-money,charity,noun,baalcha,arjooma | raamata,/ˈbɑːlt͡ʃɐ/,yes,medium,gift,,,
unit-73-money,capitalism,noun,dilbeeltuu,,/ˈdɪlbeːltúː/,yes,high,capitalism,,,
unit-73-money,deposit,noun,cimmisa,keeyyata,/ˈt͡ʃʼɪmːɪsɐ/,yes,medium,deposit,,,
unit-73-money,dividend,noun,qoodama,,/ˈkʼoːdɐmɐ/,no,high,"allotment,dividend",,,
unit-73-money,allowance,noun,durgoo,dirgoo,/ˈdʊrɡóː/,yes,medium,allowance,,,
unit-73-money,pension,noun,soorama,mana cisichaa | soorama ba'uu,/ˈsoːrɐmɐ/,no,high,pension,,,
unit-73-money,ransom,noun,wajoo,,/ˈwɐd͡ʒóː/,no,high,ransom,,,
unit-73-money,bribe,noun,gunaa,matta aa,,no,high,bribe,,,
unit-73-money,wager,noun,jirraa,nokkorroo | seetoo,/ˈd͡ʒɪrːɑ́ː/,no,medium,"bet, wager",,,
unit-73-money,lottery,noun,lootarii,,/ˈloːtɐríː/,no,high,lottery,,,
unit-73-money,riches,noun,qabeenya,,/ˈkʼɐbeːɲɐ/,no,high,"wealth ,property, riches",,,
unit-73-money,prosperity,noun,duniyaa,deebana,/ˈdʊnɪjɑ́ː/,yes,high,wealth/prosperity,,,
unit-73-money,expense,noun,baasii,farjii,/ˈbɑːsíː/,yes,high,expense,,,
unit-73-money,fare,noun,kaffaltii geejibaa,gaggeessa,/ˈkɐfːɐltiː ɡeːd͡ʒɪbɑ́ː/,no,high,fare,,,
