unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-74-jobs-more,mechanic,noun,makaanikii,,/ˈmɐkɑːnɪkíː/,no,high,mechanic,,,
unit-74-jobs-more,engineer,noun,maandisa,maandisii,,no,high,engineer,,,
unit-74-jobs-more,lawyer,noun,abukaatoo,,/ɐbʊkɑːtóː/,yes,high,"advocate, lawyer",,,
unit-74-jobs-more,policeman,noun,torobbee,,/ˈtɔrɔbːéː/,no,high,policeman/ woman,,,
unit-74-jobs-more,waiter,noun,dhiyeessaa,,/ˈᶑɪjeːsːɑ́ː/,yes,high,"boy, waiter",,,
unit-74-jobs-more,secretary,noun,barreessituu,barreessaa,/ˈbɐrːeːsːɪtúː/,yes,medium,secretary (fem.),,,
unit-74-jobs-more,journalist,noun,galalchaa,,/ˈɡɐlɐlt͡ʃɑ́ː/,no,high,"negotiator, conciliator",,,
unit-74-jobs-more,reporter,noun,agabaasaa,,/ɐɡɐbɑːsɑ́ː/,yes,high,reporter,,,
unit-74-jobs-more,artist,noun,jifaaraa,,/ˈd͡ʒɪfɑːrɑ́ː/,no,high,"one who beautifies, decorator, artist",,,
unit-74-jobs-more,architect,noun,ogeessa ijaarsaa,,/ɔɡeːsːɐ ɪd͡ʒɑːrsɑ́ː/,no,high,architect,,,
unit-74-jobs-more,professor,noun,pirofeesarii,,/ˈpɪrɔfeːsɐríː/,no,high,professor,,,
unit-74-jobs-more,editor,noun,gulaaltuu,,/ˈɡʊlɑːltúː/,no,high,editor,,,
unit-74-jobs-more,publisher,noun,maxxansiisaa,,/ˈmɐtʼːɐnsiːsɑ́ː/,no,high,publisher,,,
unit-74-jobs-more,historian,noun,ogeessa seenaa,,/ɔɡeːsːɐ seːnɑ́ː/,no,high,historian,,,
unit-74-jobs-more,economist,noun,hayyuu dinagdee,,/ˈhɐjːuː dɪnɐɡdéː/,no,high,economist,,,
unit-74-jobs-more,mathematician,noun,hayyuu herreegaa,,/ˈhɐjːuː hɛrːeːɡɑ́ː/,no,high,mathematician,,,
unit-74-jobs-more,naturalist,noun,ka uumama qoratu,,/ˈkɐ uːmɐmɐ kʼɔrɐtʊ/,no,high,naturalist,,,
unit-74-jobs-more,miner,noun,albuuda baaftuu,,/ɐlbuːdɐ bɑːftúː/,yes,high,miner,,,
unit-74-jobs-more,tanner,noun,cawwaa,duugduu | faaqii,/ˈt͡ʃʼɐwːɑ́ː/,yes,medium,tanner,,,
unit-74-jobs-more,janitor,noun,qulqulleessituu,,,no,high,janitor,,,
unit-74-jobs-more,porter,noun,hammaalaa,hammaaluu | hammaalummaa,/ˈhɐmːɑːlɑ́ː/,no,medium,porter,,,
unit-74-jobs-more,admiral,noun,abboga,,/ɐbːɔɡɐ/,yes,high,admiral,,,
unit-74-jobs-more,captain,noun,aankumaala,kappiteenii | nurgaa | kaappiteenii doonii,/ɑːnkʊmɑːlɐ/,yes,medium,captain,,,
unit-74-jobs-more,employee,noun,ojjetaa,obarayyuu,/ɔd͡ʒːɛtɑ́ː/,no,medium,"worker, employee (male)",,,
unit-74-jobs-more,employer,noun,obarayyaa,,/ɔbɐrɐjːɑ́ː/,no,high,employer,,,
