unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-75-tools-building,blade,noun,feellaa,milaacii | qarabaa | chiggiree | ceekuu,/ˈfeːlːɑ́ː/,yes,medium,blade,,,
unit-75-tools-building,drill,noun,maaburiqi,marbugqii | maburuqii,/ˈmɑːbʊrɪkʼɪ/,yes,medium,drill,,,
unit-75-tools-building,bolt,noun,aguraa,danqaraa | ugguraa | balaqqeettii | kakawwee,/ɐɡʊrɑ́ː/,yes,medium,appellant,,,
unit-75-tools-building,wrench,noun,kiyyabbee,,/ˈkɪjːɐbːéː/,no,high,wrench,,,
unit-75-tools-building,shovel,noun,akaafaa,hakaafaa | gunjulluu | akaafuu,/ɐkɑːfɑ́ː/,yes,medium,shovel,,,
unit-75-tools-building,rake,noun,haatee,mashaawara,/ˈhɑːtéː/,no,medium,rake,,,
unit-75-tools-building,ladder,noun,kortoo,riqaa | xafxafoo | yaabbannoo,/ˈkɔrtóː/,no,medium,ladder,,,
unit-75-tools-building,chain,noun,foncaa,funcaa | fuuncaa | qoranyaa | walaaddii,/ˈfɔnt͡ʃʼɑ́ː/,yes,medium,chain,,,
unit-75-tools-building,paint,noun,hallaama,halluu | dibuu | halluu dibuu,/ˈhɐlːɑːmɐ/,no,medium,paint,,,
unit-75-tools-building,plank,noun,suuqaa,deresuma,/ˈsuːkʼɑ́ː/,no,high,"rafter, plank",,,
unit-75-tools-building,screwdriver,noun,miccirtuu,,/ˈmɪt͡ʃʼːɪrtúː/,no,high,"Serew, screwdriver",,,
unit-75-tools-building,machete,noun,gajaraa,,,no,high,machete,,,
unit-75-tools-building,clippers,noun,murtuu,,/ˈmʊrtúː/,no,high,"clippers, cutter",,,
unit-75-tools-building,cutter,noun,taloo,murtuu,/ˈtɐlóː/,no,medium,cutter (of hair),,,
unit-75-tools-building,mortar,noun,mooyyee,mansaa | tomaa | tumaa,/ˈmoːjːéː/,no,medium,mortar,,,
unit-75-tools-building,wedge,noun,hushaala,wushaala | hushaalsisuu,/ˈhʊʃɑːlɐ/,no,medium,wedge,,,
unit-75-tools-building,spindle,noun,calii,dirmoo | foohuu,/ˈt͡ʃʼɐlíː/,yes,high,spindle,,,
unit-75-tools-building,anchor,noun,gadiitoo,,/ˈɡɐdiːtóː/,no,high,"anchor, a tool used to moor a vessel to the bottom of a sea or river to resist movement.",,,
unit-75-tools-building,barrel,noun,barmeelii,dogoogoo | naqqii | barmeela sibiilaa | funyaan qawwee,/ˈbɐrmeːlíː/,yes,high,barrel/ a big metal container,,,
unit-75-tools-building,plug,noun,suuqqata,saaguu,/ˈsuːkʼːɐtɐ/,no,high,"plug, selecting of female",,,
unit-75-tools-building,glue,noun,haphee,hapheessuu | itti maxxanuu | dhoqoneessuu,,no,medium,glue,,,
unit-75-tools-building,cork,noun,buushii,cuqqaaluu | cuqqaalsisuu,/ˈbuːʃíː/,yes,high,cork,,,
unit-75-tools-building,mould,noun,bobbocuu,samsiisuu | harrii biddeenaa | samsuu,/ˈbɔbːɔt͡ʃʼúː/,yes,medium,"shape, mould",,,
unit-75-tools-building,apparatus,noun,miqindaa,,/ˈmɪkʼɪndɑ́ː/,no,high,apparatus,,,
