unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-76-machines,taxi,noun,taaksii,,,no,high,taxi,,,
unit-76-machines,tractor,noun,tiraaktari,makiinaa qonnaa,/ˈtɪrɑːktɐrɪ/,no,high,tractor,,,
unit-76-machines,airplane,noun,roophilaa,xiyyaara | baabur baallee,/ˈroːpʼɪlɑ́ː/,no,medium,airplane,,,
unit-76-machines,tire,noun,gommaa,dadhabuu | hiffisuu,,no,medium,tire (for a wheel),,,
unit-76-machines,brake,noun,fireenii,,/ˈfɪreːníː/,yes,high,brake,,,
unit-76-machines,battery,noun,tiriikaa,dhagaa baatrii,/ˈtɪriːkɑ́ː/,no,high,battery,,,
unit-76-machines,generator,noun,maddisaa,,,no,high,generator (of electricity),,,
unit-76-machines,machine,noun,maashinii,zanyaa | quncifu | makiinaa hodhaa | meeshaa madaalaa,,no,high,machine,,,
unit-76-machines,fan,noun,afarsaa,hafarsaa | afarsuu | hafarsuu | derguu,/ɐfɐrsɑ́ː/,yes,medium,fan,,,
unit-76-machines,refrigerator,noun,diilallessaa,,/ˈdiːlɐlːɛsːɑ́ː/,yes,high,refrigerator,,,
unit-76-machines,elevator,noun,meggoo,,/ˈmɛɡːóː/,no,high,elevator,,,
unit-76-machines,automobile,noun,motobilii,otomobilii,/ˈmɔtɔbɪlíː/,no,medium,automobile,,,
unit-76-machines,dynamo,noun,dinaamoo,,/ˈdɪnɑːmóː/,yes,high,dynamo,,,
unit-76-machines,propeller,noun,balaambaleettii,,/ˈbɐlɑːmbɐleːtːíː/,yes,high,propeller,,,
unit-76-machines,pedal,noun,hirkoo mallaa,ejjannoo,/ˈhɪrkoː mɐlːɑ́ː/,no,high,pedal,,,
unit-76-machines,cable,noun,fufoo,,/ˈfʊfóː/,yes,high,cable,,,
unit-76-machines,mixer,noun,gaashartuu,,/ˈɡɑːʃɐrtúː/,no,high,mixer,,,
unit-76-machines,heater,noun,o'iftuu,,/ɔʔɪftúː/,no,high,heater,,,
unit-76-machines,telescope,noun,fagiidhoo,teeleskooppii,/ˈfɐɡiːᶑóː/,yes,medium,telescope,,,
unit-76-machines,microphone,noun,noolaa,,,no,high,microphone,,,
unit-76-machines,telegraph,noun,meeshaa telegiraamaa,teelegiraama qilleensaa,/ˈmeːʃɑː tɛlɛɡɪrɑːmɑ́ː/,no,medium,telegraph,,,
unit-76-machines,cassette,noun,hajalaa,,/ˈhɐd͡ʒɐlɑ́ː/,no,high,cassette,,,
unit-76-machines,adapter,noun,amansaa,,/ɐmɐnsɑ́ː/,yes,high,adapter,,,
unit-76-machines,canister,noun,dhebbee,,/ˈᶑɛbːéː/,yes,high,canister,,,
