unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-77-travel,tourist,noun,tuuristii,emaltuu | imaltuu,/ˈtuːrɪstíː/,no,medium,tourist,,,
unit-77-travel,visa,noun,habisee,habiisee dabartii | habiisee seensaa,/ˈhɐbɪséː/,no,high,visa,,,
unit-77-travel,suitcase,noun,subbaa,,/ˈsʊbːɑ́ː/,no,high,"suitcase, leather bag",,,
unit-77-travel,guide,noun,qajeelchaa,qajeelchituu | taliigduu | qajeelchuu | ooggansiisuu,/ˈkʼɐd͡ʒeːlt͡ʃɑ́ː/,no,medium,one who corrects (exam papers etc.),,,
unit-77-travel,mile,noun,maayilii,,/ˈmɑːjɪlíː/,no,high,mile,,,
unit-77-travel,transit,noun,dabroo,habiisee dabartii,/ˈdɐbróː/,yes,high,transit,,,
unit-77-travel,wanderer,noun,labduu,xallisiisuu,/ˈlɐbdúː/,no,high,wanderer (fem),,,
unit-77-travel,pilgrimage,noun,muuda,hajii,/ˈmuːdɐ/,no,high,pilgrimage,,,
unit-77-travel,migration,noun,godaansa,,,no,high,migration,,,
unit-77-travel,promenade,noun,daaddisa,,/ˈdɑːdːɪsɐ/,yes,high,promenade,,,
unit-77-travel,escort,noun,dabaaluu,,/ˈdɐbɑːlúː/,yes,high,to escort,,,
unit-77-travel,navigation,noun,milaayyaa,addeela,/ˈmɪlɑːjːɑ́ː/,no,medium,navigation,,,
unit-77-travel,compass,noun,agarsootee,,/ɐɡɐrsoːtéː/,yes,high,compass,,,
unit-77-travel,camping,noun,qubachuu,,/ˈkʼʊbɐt͡ʃúː/,no,high,come down to the ground settle of birds,,,
unit-77-travel,tent,noun,duskaana,waaroo | daasa | dongora,/ˈdʊskɑːnɐ/,yes,medium,tent,,,
unit-77-travel,shortcut,noun,qaxxaamura,karaa kuteessa,/ˈkʼɐtʼːɑːmʊrɐ/,no,high,shortcut,,,
