unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-78-directions,tunnel,noun,hulluuqquu,,/ˈhʊlːuːkʼːúː/,no,high,tunnel,,,
unit-78-directions,traffic,noun,tiraafikii,ibsaa tiraafikaa,/ˈtɪrɑːfɪkíː/,no,high,traffic,,,
unit-78-directions,pole,noun,michichila,dongora | helichoo | horduu | utubachuu,/ˈmɪt͡ʃɪt͡ʃɪlɐ/,no,high,pole,,,
unit-78-directions,column,noun,qarxiyyaa,tarjaa,/ˈkʼɐrtʼɪjːɑ́ː/,no,medium,column,,,
unit-78-directions,diagonal,noun,shaffaxa,habalaka,/ˈʃɐfːɐtʼɐ/,no,high,"act of being denying,",,,
unit-78-directions,parallel,noun,cenaayii,,/ˈt͡ʃʼɛnɑːjíː/,yes,high,parallel,,,
unit-78-directions,dimension,noun,akkamii,,/ɐkːɐmíː/,yes,high,dimension,,,
unit-78-directions,threshold,noun,afaala,,/ɐfɑːlɐ/,yes,high,threshold,,,
unit-78-directions,gutter,noun,fincoo,,/ˈfɪnt͡ʃʼóː/,yes,high,"eaves, gutter",,,
unit-78-directions,hinge,noun,hokkolloo,aguura,/ˈhɔkːɔlːóː/,no,medium,hinge,,,
unit-78-directions,opposite,noun,faallaa,habalaa | sanyoo | jecha faallaa,/ˈfɑːlːɑ́ː/,yes,high,opposite,,,
unit-78-directions,underneath,noun,garajalee,garjalee | carabamuu | jalasoquu | jalagadhiisuu,/ˈɡɐrɐd͡ʒɐléː/,no,high,underneath (beneath),,,
unit-78-directions,range,noun,lafa dheedichaa,kaleeffama | morgoga | roggee,/ˈlɐfɐ ᶑeːdɪt͡ʃɑ́ː/,no,high,range,,,
unit-78-directions,zone,noun,zoonii,baddadaroolee | baqqoo | basaqaa | goree,/ˈzoːníː/,yes,high,zone,,,
unit-78-directions,section,noun,daadiyyaa,,/ˈdɑːdɪjːɑ́ː/,yes,high,"department, section",,,
unit-78-directions,placement,noun,ramadama,,/ˈrɐmɐdɐmɐ/,no,high,"placement, allocation",,,
unit-78-directions,site,noun,bakkallaa,eddoola | iddoola | bakka | iddoola saphaphuu,/ˈbɐkːɐlːɑ́ː/,yes,medium,site,,,
